"TNAME"	"SUBKINGDOM"	"INFRAKINGDOM"	"SUPERPHYLUM"	"PHYLUM"	"SUBPHYLUM"	"INFRAPHYLUM"	"SUPERCLASS"	"CLASS"	"SUBCLASS"	"INFRACLASS"	"SUPERORDER"	"ORDER"	"SUBORDER"	"INFRAORDER"	"SUPERFAMILY"	"FAMILY"	"SUBFAMILY"	"TRIBE"	"SUBTRIBE"	"GENUS"	"SPECIES"	"NUMOCC"	"otufin"	"otufin2"
"ORIBATIDA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"SARCOPTIFORMES"	"ORIBATIDA"	NA	NA	NA	NA	NA	NA	NA	NA	27	NA	NA
"CHELOMIDEOPSIS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"ARRENUROIDEA"	"ATHIENEMANNIIDAE"	NA	NA	NA	"CHELOMIDEOPSIS"	NA	2	"TROMBIDIFORMES"	"TROMBIDIFORMES"
"ATHIENEMANNIIDAE"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"ARRENUROIDEA"	"ATHIENEMANNIIDAE"	NA	NA	NA	NA	NA	1	"TROMBIDIFORMES"	"TROMBIDIFORMES"
"MIDEOPSIS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"ARRENUROIDEA"	"MIDEOPSIDAE"	NA	NA	NA	"MIDEOPSIS"	NA	8	"TROMBIDIFORMES"	"TROMBIDIFORMES"
"HYDRODROMA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"HYDRYPHANTOIDEA"	"HYDRODROMIDAE"	NA	NA	NA	"HYDRODROMA"	NA	1	"TROMBIDIFORMES"	"TROMBIDIFORMES"
"PANISOPSIS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"HYDRYPHANTOIDEA"	"HYDRYPHANTIDAE"	NA	NA	NA	"PANISOPSIS"	NA	2	"TROMBIDIFORMES"	"TROMBIDIFORMES"
"PROTZIA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"HYDRYPHANTOIDEA"	"HYDRYPHANTIDAE"	NA	NA	NA	"PROTZIA"	NA	27	"TROMBIDIFORMES"	"TROMBIDIFORMES"
"WANDESIA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"HYDRYPHANTOIDEA"	"HYDRYPHANTIDAE"	NA	NA	NA	"WANDESIA"	NA	2	"TROMBIDIFORMES"	"TROMBIDIFORMES"
"ATRACTIDES"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"HYGROBATOIDEA"	"HYGROBATIDAE"	NA	NA	NA	"ATRACTIDES"	NA	16	"TROMBIDIFORMES"	"TROMBIDIFORMES"
"HYGROBATES"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"HYGROBATOIDEA"	"HYGROBATIDAE"	NA	NA	NA	"HYGROBATES"	NA	18	"TROMBIDIFORMES"	"TROMBIDIFORMES"
