"SUBKINGDOM"	"INFRAKINGDOM"	"SUPERPHYLUM"	"PHYLUM"	"SUBPHYLUM"	"INFRAPHYLUM"	"SUPERCLASS"	"CLASS"	"SUBCLASS"	"INFRACLASS"	"SUPERORDER"	"ORDER"	"SUBORDER"	"INFRAORDER"	"SUPERFAMILY"	"FAMILY"	"SUBFAMILY"	"TRIBE"	"SUBTRIBE"	"GENUS"	"SPECIES"	"TAXON"	"taxaname.orig"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"SARCOPTIFORMES"	"ORIBATIDA"	NA	NA	NA	NA	NA	NA	NA	NA	"ORIBATIDA"	"Oribatida"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"ARRENUROIDEA"	"ATHIENEMANNIIDAE"	NA	NA	NA	"CHELOMIDEOPSIS"	NA	"CHELOMIDEOPSIS"	"Chelomideopsis"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"ARRENUROIDEA"	"ATHIENEMANNIIDAE"	NA	NA	NA	NA	NA	"ATHIENEMANNIIDAE"	"Athienemanniidae"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"ARRENUROIDEA"	"MIDEOPSIDAE"	NA	NA	NA	"MIDEOPSIS"	NA	"MIDEOPSIS"	"Mideopsis"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"HYDRYPHANTOIDEA"	"HYDRODROMIDAE"	NA	NA	NA	"HYDRODROMA"	NA	"HYDRODROMA"	"Hydrodroma"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"HYDRYPHANTOIDEA"	"HYDRYPHANTIDAE"	NA	NA	NA	"PANISOPSIS"	NA	"PANISOPSIS"	"Panisopsis"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"HYDRYPHANTOIDEA"	"HYDRYPHANTIDAE"	NA	NA	NA	"PROTZIA"	NA	"PROTZIA"	"Protzia"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"HYDRYPHANTOIDEA"	"HYDRYPHANTIDAE"	NA	NA	NA	"WANDESIA"	NA	"WANDESIA"	"Wandesia"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"HYGROBATOIDEA"	"HYGROBATIDAE"	NA	NA	NA	"ATRACTIDES"	NA	"ATRACTIDES"	"Atractides"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"HYGROBATOIDEA"	"HYGROBATIDAE"	NA	NA	NA	"HYGROBATES"	NA	"HYGROBATES"	"Hygrobates"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"HYGROBATOIDEA"	"LIMNESIIDAE"	NA	NA	NA	"LIMNESIA"	NA	"LIMNESIA"	"Limnesia"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"HYGROBATOIDEA"	"PIONIDAE"	NA	NA	NA	"NAUTARACHNA"	NA	"NAUTARACHNA"	"Nautarachna"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"HYGROBATOIDEA"	"PIONIDAE"	NA	NA	NA	"PIONA"	NA	"PIONA"	"Piona"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"HYGROBATOIDEA"	"UNIONICOLIDAE"	NA	NA	NA	"UNIONICOLA"	NA	"UNIONICOLA"	"Unionicola"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"LEBERTIOIDEA"	"LEBERTIIDAE"	NA	NA	NA	"ESTELLOXUS"	NA	"ESTELLOXUS"	"Estelloxus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"LEBERTIOIDEA"	"LEBERTIIDAE"	NA	NA	NA	"LEBERTIA"	NA	"LEBERTIA"	"Lebertia"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"LEBERTIOIDEA"	"OXIDAE"	NA	NA	NA	"OXUS"	NA	"OXUS"	"Oxus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"LEBERTIOIDEA"	"SPERCHONTIDAE"	NA	NA	NA	"SPERCHON"	NA	"SPERCHON"	"Sperchon"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"LEBERTIOIDEA"	"SPERCHONTIDAE"	NA	NA	NA	"SPERCHONOPSIS"	NA	"SPERCHONOPSIS"	"Sperchonopsis"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"LEBERTIOIDEA"	"TORRENTICOLIDAE"	NA	NA	NA	"TESTUDACARUS"	NA	"TESTUDACARUS"	"Monatractides"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"LEBERTIOIDEA"	"TORRENTICOLIDAE"	NA	NA	NA	"TESTUDACARUS"	NA	"TESTUDACARUS"	"Testudacarus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"LEBERTIOIDEA"	"TORRENTICOLIDAE"	NA	NA	NA	"TORRENTICOLA"	NA	"TORRENTICOLA"	"Torrenticola"
