SAMPLE_NUMBER,AvgOfDepth
02O_08,2.166666667
02O_09,2.333333333
02O_10,2.833333333
02O_12,2.833333333
02O_15,1.5625
02P_08,2.666666667
02P_09,2.666666667
02P_10,3.5
02P_12,1.666666667
02P_15,1.357142857
05B_08,2
05B_09,1.5
05B_10,2.166666667
05B_12,1.666666667
07CHR013259_15,3.875
07CHR045515_15,6.1875
07CHR045515_16,6.8125
07CHR070059_15,3.375
07CHR070059_16,4.357142857
07CHR234411_15,4.9375
07CHR234411_16,4.640625
07GRN022903_16,3.392857143
07GRN077319_15,4.4375
07GRN077319_16,4.9375
07GRN208791_15,6.5625
07HAR025863_15,4.777777778
07HAR025863_16,4.2875
07HAR055371_15,1.6875
07HAR070087_15,1.4375
07HAR070087_16,2.125
07LMS016051_14,6.5
07LMS026663_15,11.75
07LMS026663_16,10.875
07LMS029443_15,9.0625
07LMS033235_15,4.875
07LMS033235_16,6.125
07LMS055075_15,2.6875
07LMS055075_16,3.53125
07LMS093027_15,9.5625
07LMS093027_16,9.875
07LMS103591_16,5.625
07LMS213875_16,9.75
07LNT062039_16,8.46875
07LNT075179_16,3.25
07LNT130827_16,10.825
07PAT001415_14,4.25
07PAT001415_15,3.4375
07PAT001415_16,5.25
07PAT166087_16_R,6
07PAT187623_16_R,12.75
07PAT228627_16,4.21875
07PAT231079_16,3.15625
07RAG002867_14,5.4375
07RAG002867_15,1.3125
07RAG002867_16,3.21875
07RAG004615_15,4.4875
07RAG004615_16,6.3125
07RAG012515_14,7
07RAG012515_15,4.59375
07RAG012515_16,5
07RAG016851_14,3.21875
07RAG018227_14,4.4375
07RAG018227_15,4.40625
07RAG018227_16,6.125
07RAG022147_14,3.125
07RAG022147_15,2.6875
07RAG022147_16,1.875
07RAG042787_15,5.96875
07RAG042787_16,7.78125
07RAG043443_15,5.6875
07RAG043443_16,6.75
07RAG054215_15,7.357142857
07RAG065475_15,2.875
07SFS009443_15,6.1875
07SFS009443_16,8.4375
07SFS011059_14,9.5
07SFS011059_15,8.5625
07SFS011059_16,8.65625
07SFS011475_14,7.4375
07SFS011475_15,6.75
07SFS011475_16_R,5.796875
07SFS041891_15,8.1875
07SFS041891_16,12.8875
07SFS066611_15,2.25
07SFS066611_16,3.875
07STL005879_14,2.527777778
07STL080295_15,6.1875
07STL080295_16,10.6875
07STL184007_15,5.3125
07STL184007_16,7.03125
07STL195271_15,8.625
07TKL047047_16,5.375
07TKL072439_16,2.857142857
08BEA3312_02,1.083333333
08BEA3312_03,2
08BEA3312_05,4.833333333
08BEA3312_06,1.9
08BEA3312_07,2.886666667
08BEA3312_08,1.833333333
08BEA3312_09,2.5
08BEA3312_10,2.666666667
08BEA3312_11,2.5
08BEA3312_12,2.3125
08BEA3312_13,1.666666667
08BEA3312_14,2.5
