SAMPLE_NUMBER,NUM_LWD
08WES1340_09,16
08ISS4742_14,25
08CED5046_09,6
08EAS1502_06,0
08EAS1502_07,0
08EAS1502_08,0
08EAS1502_10,0
02O_09,0
05B_10,
08BEA3312_10,0
08BEA3325_07,0
08BEA3478_05,0
08BEA3478_06,0
08BEA3478_09,0
08BEA3478_10,0
08BEA3571_06,0
08BEA3571_10,0
08BEA3650_05,0
08BEA3650_06,0
08BEA3650_08,0
08BEA3650_10,0
08BEA3737_05,0
08BEA3737_08,10
08BEA3737_10,0
08CED2433_06,0
08CED2433_08,0
08EAS2058_05,5
08EAS2191_05,0
08EAS2191_06,2
08EAS2272_06,0
08EAS2272_08,0
08EAS2546_07,0
08EAS2546_08,0
08EVA3474_05,0
08EVA3474_07,0
08EVA3474_08,0
08EVA3474_09,0
08EVA3555_10,0
08EVA3637_08,0
08EVA3637_09,0
08EVA3637_10,0
08EVA3642_06,0
08EVA3642_07,0
08SAM3045_08,0
08SAM3045_09,0
08SAM3045_10,0
09MID2426_05,0
09MID2426_09,0
09MID2426_10,0
09MIL0340_05,0
09MIL0340_10,0
08EVA3642_10,0
08EVA3813_07,0
08ISS3877_08,
08ISS3958_08,0
08ISS4294_05,0
08ISS4294_06,0
08ISS4294_07,0
08ISS4294_08,0
08ISS4294_09,0
08ISS4294_10,
08ISS4573_08,0
08ISS4748_07,0
08ISS4748_08,0
08ISS4884_07,0
08LAK2827_07,0
08LAK2827_08,0
08LAK2827_09,0
08LAK2827_10,0
08LAK3627_07,0
08LAK3627_10,0
08LAK3628_05,0
08LAK3628_08,0
08LAK3628_10,0
08LAK3880_07,0
08LAK3880_08,
08LAK3880_09,0
08LIT2488_08,0
08LIT2603_06,0
08LIT2603_10,0
08LIT2682_06,0
08NOR1100_03,0
08NOR1362_07,0
08NOR1362_08,
08NOR2028_08,0
08NOR2306_08,2
08NOR2306_10,0
08SAM1914_05,0
08SAM1914_07,0
02O_10,2
02P_10,1
02P_09,1
05B_09,4
08BEA3312_02,2
08BEA3312_03,
08BEA3312_05,7
08BEA3312_06,3
08BEA3312_07,4
08BEA3312_08,3
08BEA3312_09,0
08BEA3312_11,1
08BEA3312_12,3
08BEA3321_02,0
08BEA3321_03,4
08BEA3321_05,4
08BEA3321_06,7
08BEA3321_07,2
08BEA3321_08,5
08BEA3321_09,1
08BEA3321_10,1
08BEA3321_11,2
08BEA3325_02,
08BEA3325_03,0
08EVA3474_02,0
08EVA3474_03,3
08EVA3474_06,1
08BEA3474_10,1
08BEA3474_12,1
08BEA3478_02,0
08BEA3478_03,
08BEA3478_07,0
08BEA3478_08,0
08BEA3478_11,0
08BEA3571_02,0
08BEA3571_03,
08BEA3571_05,8
08BEA3571_07,1
08BEA3571_08,1
08BEA3571_09,1
08BEA3571_11,0
08BEA3650_02,
08BEA3650_03,0
08BEA3650_07,0
