PSSB_SAMPID,PSSB_SITID,PSSB_VISID,tblSampleEvent_SAMPLE_NUMBER,SITE_ID,SampleDate,Time,tblRiffleGroup_SAMPLE_NUMBER,Reach_Length_ft,Number_of_Riffles_Sampled,Streambank_Stability,RiffleNumber,Riffle_Flow_Distance_ft,Riffle_Flow_Time_sec_Rep1,Riffle_Flow_Time_sec_Rep2,Riffle_Flow_Time_sec_Rep3
11833,156,7239,08ISS4742_14,08ISS4742,9/10/2014 0:00:00,12/30/1899 12:00:00,08ISS4742_14,158.5,3,2,1,5,1.64,2.35,1.71
11833,156,7239,08ISS4742_14,08ISS4742,9/10/2014 0:00:00,12/30/1899 12:00:00,08ISS4742_14,158.5,3,2,2,9,2.51,2.22,2.08
11833,156,7239,08ISS4742_14,08ISS4742,9/10/2014 0:00:00,12/30/1899 12:00:00,08ISS4742_14,158.5,3,2,3,5,1.71,1.88,1.9
4107,205,2542,08WES1340_09,08WES1340,8/4/2009 0:00:00,,08WES1340_09,60,3,2,1,10,8,6,9
4107,205,2542,08WES1340_09,08WES1340,8/4/2009 0:00:00,,08WES1340_09,60,3,2,2,3,1.5,2,1.5
4107,205,2542,08WES1340_09,08WES1340,8/4/2009 0:00:00,,08WES1340_09,60,3,2,3,6,3,4,4
8235,240,5475,09LOW0753_13,09LOW0753,8/26/2013 0:00:00,12/30/1899 9:15:00,09LOW0753_13,140,4,2,,4,4.48,4.31,4.22
12839,121,7942,08CED2518_15,08CED2518,8/13/2015 0:00:00,12/30/1899 8:24:00,08CED2518_15,138.3,3,3,,5,5,4.57,4.15
12839,121,7942,08CED2518_15,08CED2518,8/13/2015 0:00:00,12/30/1899 8:24:00,08CED2518_15,138.3,3,3,,5,3.6,3.34,3.84
8232,242,5469,09MID1374_13,09MID1374,8/21/2013 0:00:00,12/30/1899 9:54:00,09MID1374_13,102.15,4,2,,4,4.11,3.64,3
4916,521,3086,02O_10,02O,8/19/2010 0:00:00,12/30/1899 10:30:00,02O_10,100,,3,1,5,6.94,7.78,5.9
4916,521,3086,02O_10,02O,8/19/2010 0:00:00,12/30/1899 10:30:00,02O_10,100,,3,2,5,4.47,4.82,3.97
4916,521,3086,02O_10,02O,8/19/2010 0:00:00,12/30/1899 10:30:00,02O_10,100,,3,3,5,5.44,6.09,6.16
3853,522,2313,02P_09,02P,8/17/2009 0:00:00,,02P_09,135,,4,1,5,3.5,3.3,3.1
3853,522,2313,02P_09,02P,8/17/2009 0:00:00,,02P_09,135,,4,2,5,4.8,4.8,3.6
3853,522,2313,02P_09,02P,8/17/2009 0:00:00,,02P_09,135,,4,3,5,3.2,2.4,3.9
4153,520,2580,05B_09,05B,8/19/2009 0:00:00,12/30/1899 11:00:00,05B_09,48,,4,1,3,4.37,4.16,4.17
4153,520,2580,05B_09,05B,8/19/2009 0:00:00,12/30/1899 11:00:00,05B_09,48,,4,2,4,4.37,3.63,3.37
4153,520,2580,05B_09,05B,8/19/2009 0:00:00,12/30/1899 11:00:00,05B_09,48,,4,3,4,6.05,4.46,4.63
4919,520,3087,05B_10,05B,8/19/2010 0:00:00,12/30/1899 9:00:00,05B_10,54,,3,1,4,3.06,7.09,6.07
4919,520,3087,05B_10,05B,8/19/2010 0:00:00,12/30/1899 9:00:00,05B_10,54,,3,2,3,3.69,3.68,3.97
4919,520,3087,05B_10,05B,8/19/2010 0:00:00,12/30/1899 9:00:00,05B_10,54,,3,3,3,3.12,3.02,2.47
3204,110,1950,08BEA3312_03,08BEA3312,8/7/2003 0:00:00,12/30/1899 14:15:00,08BEA3312_03,,,,1,3,3.45,3.51,3.36
3204,110,1950,08BEA3312_03,08BEA3312,8/7/2003 0:00:00,12/30/1899 14:15:00,08BEA3312_03,,,,2,3,4.45,3.71,4.71
3204,110,1950,08BEA3312_03,08BEA3312,8/7/2003 0:00:00,12/30/1899 14:15:00,08BEA3312_03,,,,3,3,2.61,2.71,2.83
933,110,833,08BEA3312_05,08BEA3312,8/15/2005 0:00:00,12/30/1899 13:00:00,08BEA3312_05,,,,1,7,4.35,2.96,2.37
933,110,833,08BEA3312_05,08BEA3312,8/15/2005 0:00:00,12/30/1899 13:00:00,08BEA3312_05,,,,2,7,3.6,4.11,6.07
