SAMPLE_NUMBER,WW,BF,Expr1
02O_08,2.4,7.556666667,0.317600353
02O_09,3.413333333,7.943333333,0.429710449
02O_10,3.806666667,7.666666667,0.496521739
02O_12,2.25,4.913333333,0.457937585
02O_15,4.45,6.55,0.679389313
02P_08,5,7.333333333,0.681818182
02P_09,3.276666667,6.86,0.477648202
02P_10,4.6,7.69,0.598179454
02P_12,5.3,8.433333333,0.628458498
02P_15,5.675,7.825,0.725239617
05B_08,4.666666667,13.33333333,0.35
05B_09,2.026666667,11.41666667,0.177518248
05B_10,4.333333333,11,0.393939394
05B_12,6.666666667,17.44,0.382262997
07CHR013259_15,23.625,30,0.7875
07CHR045515_15,27.625,42,0.657738095
07CHR045515_16,24.66666667,36.66666667,0.672727273
07CHR070059_15,10.675,15.225,0.701149425
07CHR070059_16,10.25,16.25,0.630769231
07CHR234411_15,23.25,35.375,0.657243816
07CHR234411_16,16.125,39,0.413461538
07GRN022903_16,17.25,33.25,0.518796992
07GRN077319_15,9,40,0.225
07GRN077319_16,26,42.33333333,0.614173228
07GRN208791_15,28,55,0.509090909
07HAR025863_15,7.9,18.65,0.423592493
07HAR025863_16,6,11,0.545454545
07HAR055371_15,4.233333333,11.23333333,0.376854599
07HAR070087_15,6.325,11.1,0.56981982
07HAR070087_16,7.333333333,9.166666667,0.8
07LMS016051_14,74.375,371.75,0.200067249
07LMS026663_15,113,214,0.528037383
07LMS026663_16,115.5,165,0.7
07LMS029443_15,165,185,0.891891892
07LMS033235_15,16.25,24.3,0.66872428
07LMS033235_16,17.425,29.5,0.590677966
07LMS055075_15,10.625,15.375,0.691056911
07LMS055075_16,10.825,15.75,0.687301587
07LMS093027_15,215,250,0.86
07LMS093027_16,183,195,0.938461538
07LMS103591_16,28,41,0.682926829
07LMS213875_16,216,252,0.857142857
07LNT062039_16,59.7,81.9,0.728937729
07LNT075179_16,6.375,10,0.6375
07LNT130827_16,48,66,0.727272727
07PAT001415_14,6.05,14.675,0.412265758
07PAT001415_15,5.08,17.66,0.287655719
07PAT001415_16,10.5,14,0.75
07PAT166087_16_R,12.5,27.5,0.454545455
07PAT187623_16_R,13,17,0.764705882
07PAT228627_16,8.6,18.83333333,0.456637168
07PAT231079_16,5.575,8.55,0.652046784
07RAG002867_14,11.9025,23.7575,0.500999684
07RAG002867_15,7.55,11.225,0.672605791
07RAG002867_16,11.75,15.625,0.752
07RAG004615_15,61.5,69.75,0.88172043
07RAG004615_16,53.75,63.5,0.846456693
07RAG012515_14,29.05,78.75,0.368888889
07RAG012515_15,23.6,41.175,0.573163327
07RAG012515_16,25.66666667,63.66666667,0.403141361
07RAG016851_14,4.74,18.35,0.258310627
07RAG018227_14,21.29,42.625,0.499472141
07RAG018227_15,19.725,37.35,0.52811245
07RAG018227_16,19.33333333,33.66666667,0.574257426
07RAG022147_14,5.75,11.5,0.5
07RAG022147_15,8.45,12.55,0.673306773
07RAG022147_16,13.625,13.5,1.009259259
07RAG042787_15,30.75,74.5,0.412751678
07RAG042787_16,20.53333333,65.33333333,0.314285714
07RAG043443_15,46.75,68.75,0.68
07RAG043443_16,41,1494.75,0.027429336
07RAG054215_15,15.9,60.3,0.263681592
07RAG065475_15,8.6,15.15,0.567656766
07SFS009443_15,80.33333333,94.33333333,0.851590106
07SFS009443_16,70.3,85.6,0.821261682
07SFS011059_14,63,105,0.6
07SFS011059_15,69.66,167.66,0.415483717
07SFS011059_16,61.5,105,0.585714286
07SFS011475_14,100,115,0.869565217
07SFS011475_15,54.5,180,0.302777778
07SFS011475_16_R,60,213.9,0.280504909
07SFS041891_15,60.5,100.5,0.60199005
07SFS041891_16,83.7,114.6,0.730366492
07SFS066611_15,4.875,11.5,0.423913043
07SFS066611_16,7.5,10.5,0.714285714
07STL005879_14,14.05,29.225,0.48075278
07STL080295_15,135,170,0.794117647
07STL080295_16,71,85,0.835294118
07STL184007_15,130,138,0.942028986
07STL184007_16,100.5,126,0.797619048
07STL195271_15,153,240,0.6375
07TKL047047_16,14.33333333,21.83333333,0.65648855
07TKL072439_16,7.266666667,13,0.558974359
08BEA3312_02,3.166666667,,
08BEA3312_03,4.19,,
08BEA3312_05,13.33333333,17.33333333,0.769230769
08BEA3312_06,4.116666667,12.1,0.340220386
08BEA3312_07,4.886666667,6.663333333,0.733366683
08BEA3312_08,4.833333333,10.91666667,0.442748092
08BEA3312_09,4.583333333,13.16666667,0.348101266
08BEA3312_10,4.566666667,11.76666667,0.388101983
08BEA3312_11,5.733333333,11.76666667,0.487252125
08BEA3312_12,5.325,8.175,0.651376147
08BEA3312_13,4.333333333,5.333333333,0.8125
08BEA3312_14,5.05,9.7,0.520618557
08BEA3312_15,5.125,12.925,0.396518375
08BEA3312_16,4.725,9.23,0.51191766
08BEA3321_02,9.315,,
08BEA3321_03,11.80333333,,
08BEA3321_05,9,9,1
08BEA3321_06,12.30666667,20.51,0.600032504
08BEA3321_07,19.5,4,4.875
08BEA3321_08,14.165,24.125,0.587150259
08BEA3321_09,11.91666667,11.91666667,1
08BEA3321_10,13.66666667,16.33333333,0.836734694
08BEA3321_11,19.5,20,0.975
08BEA3321_13,14.1,15.5,0.909677419
08BEA3321_14,7.15,15.575,0.459069021
08BEA3321_15,20.06666667,19.06666667,1.052447552
08BEA3321_16,21,21,1
08BEA3325_02,6.026666667,,
08BEA3325_03,5.306666667,,
08BEA3325_07,6.415,7.995,0.802376485
08BEA3474_10,22.23333333,25.66666667,0.866233766
08BEA3474_12,22.225,32.9,0.675531915
08BEA3474_13,30.5,45,0.677777778
08BEA3474_14,26.7,35,0.762857143
08BEA3474_15,23.425,38.875,0.602572347
08BEA3474_16,22.525,22.725,0.99119912
08BEA3478_02,4.86,,
08BEA3478_03,4.25,,
08BEA3478_05,3.666666667,6.666666667,0.55
08BEA3478_06,4.996666667,6.61,0.755925366
08BEA3478_07,4.86,14.55566667,0.333890581
08BEA3478_08,3.776666667,8.366666667,0.451394422
08BEA3478_09,3.6,6.983333333,0.515513126
08BEA3478_10,3.783333333,7.4,0.511261261
08BEA3478_11,4.526666667,7.47,0.605979473
08BEA3478_12,4.566666667,6.033333333,0.756906077
08BEA3478_13,3.5,5,0.7
08BEA3478_14,5.7,7.566666667,0.753303965
08BEA3478_15,5.85,7.95,0.735849057
08BEA3571_02,15.9,,
08BEA3571_03,20.5,,
08BEA3571_05,19.33333333,21,0.920634921
08BEA3571_06,19,30.665,0.619598891
08BEA3571_07,19.13666667,19.69333333,0.971733243
08BEA3571_08,19.21,22.42,0.856824264
08BEA3571_09,19.58333333,22.08333333,0.886792453
08BEA3571_10,18.5,22.33333333,0.828358209
08BEA3571_11,23.25,23.25,1
08BEA3571_12,24.5,29.33,0.835322196
08BEA3571_13,24.7,28.2,0.875886525
08BEA3571_14,17.5,27.2,0.643382353
08BEA3571_15,22.4,24.7,0.906882591
08BEA3571_16,24.9,26,0.957692308
08BEA3650_02,19.7,,
08BEA3650_03,67.42,,
08BEA3650_05,21,23,0.913043478
08BEA3650_06,21.75,23,0.945652174
08BEA3650_07,17.5,20.5,0.853658537
08BEA3650_08,18,24.5,0.734693878
08BEA3650_09,20,22,0.909090909
08BEA3650_10,20.5,23.75,0.863157895
08BEA3650_11,18.72,23,0.813913043
08BEA3650_12,21.2,22.93333333,0.924418605
08BEA3650_13,19.25,21.5,0.895348837
08BEA3650_14,25.1,27,0.92962963
08BEA3650_15,24.66666667,25,0.986666667
08BEA3650_15_R,23.66666667,28.33333333,0.835294118
08BEA3650_16,21.7,23,0.943478261
08BEA3737_02,4.833333333,,
08BEA3737_03,7.056666667,,
08BEA3737_05,5.5,5.666666667,0.970588235
08BEA3737_06,4.276666667,8.223333333,0.520064856
08BEA3737_07,6.75,8.803333333,0.766755017
08BEA3737_08,6.283333333,13.1,0.479643766
08BEA3737_09,7.166666667,9.25,0.774774775
08BEA3737_10,6.5,8.833333333,0.735849057
08BEA3737_11,3.613333333,9.443333333,0.382633251
08BEA3737_12,4.775,9.25,0.516216216
08BEA3737_13,3.425,10.15,0.337438424
08BEA3737_14,5.1,11.525,0.442516269
08BEA3737_15,3.925,12.625,0.310891089
08BEA3737_15_R,4,11.7,0.341880342
08BEA3737_16,7.25,9.875,0.734177215
08BEA3747_02,8.14,,
08BEA3747_03,61.02666667,,
08BEA3747_05,32.75,36.5,0.897260274
08BEA3747_06,81.5,84.42,0.96541104
08BEA3747_07,45.44333333,97.33333333,0.466883562
08BEA3747_08,19.94333333,24.19333333,0.824331772
08BEA3747_09,17.5,50,0.35
08BEA3747_10,33.22,50.83333333,0.653508197
08BEA3747_11,25.36,46,0.551304348
08BEA3747_12,36.3,60.925,0.595814526
08BEA3747_13,20.4,53,0.38490566
08BEA3747_14,32.25,43.75,0.737142857
08BEA3747_15,36.1,58.5,0.617094017
08BEA3747_15_R,15,26.66666667,0.5625
08BEA3747_16,16,22,0.727272727
08BEA3826_02,7.46,,
08BEA3826_03,2.863333333,,
08BEA3826_05,22,28.66666667,0.76744186
08BEA3826_06,3.86,20.33333333,0.189836066
08BEA3826_07,4.33,10,0.433
08BEA3826_08,4.783333333,9.82,0.487101154
08BEA3826_09,4.666666667,9,0.518518519
08BEA3826_10,5.633333333,12.36666667,0.455525606
08BEA3826_11,7.443333333,13.58,0.548109966
08BEA3826_12,3.8925,8.3975,0.463530813
08BEA3826_13,4.625,9,0.513888889
08BEA3826_14,5.175,14.025,0.368983957
08BEA3826_15,4.425,14.75,0.3
08BEA3826_16,8,12,0.666666667
08BEA3914_02,5.42,,
08BEA3914_15,5.8425,33.25,0.175714286
08BEA3914_16,4.98,19.25,0.258701299
08CED2433_02,6.666666667,,
08CED2433_03,5.64,,
08CED2433_05,5.625,8,0.703125
08CED2433_06,6.665,0,
08CED2433_07,5.053333333,14.47233333,0.349171983
08CED2433_08,6.916666667,9.582,0.72183956
08CED2433_09,7.666666667,7.833333333,0.978723404
08CED2433_10,6.766666667,8.8,0.768939394
08CED2433_11,8.25,10.58333333,0.779527559
08CED2433_12,6.633333333,11.33333333,0.585294118
08CED2433_13,6.65,12.65,0.5256917
08CED2433_14,7.55,11.3,0.668141593
08CED2433_15,6.5,9.3375,0.696117805
08CED2433_16,6.5,25.6,0.25390625
08CED2518_02,5.5,,
08CED2518_03,9.776666667,,
08CED2518_05,9.583333333,12.33333333,0.777027027
08CED2518_06,8.21,10.455,0.785270206
08CED2518_07,6.943333333,13.052,0.531974665
08CED2518_08,9.612333333,15.36,0.625802951
08CED2518_09,11,13.58333333,0.809815951
08CED2518_10,7.333333333,16.66666667,0.44
08CED2518_11,7.66,8.5,0.901176471
08CED2518_12,7.175,9.775,0.734015345
08CED2518_13,7.46,12.75,0.585098039
08CED2518_14,9.3925,11.6425,0.806742538
08CED2518_15,7.233333333,8.6,0.841085271
08CED2518_16,7.5,11.5,0.652173913
08CED2711_02,7.333333333,,
08CED2711_03,6.416666667,,
08CED2711_05,6,19.66666667,0.305084746
08CED2711_06,9.443333333,13.28,0.711094378
