SAMPLE_NUMBER,pools_per_ft
08ISS4742_14,0.018927445
08WES1340_09,0.033333333
02O_09,0
02O_10,0.01
02P_10,0.009615385
02P_09,0.014814815
05B_09,0.041666667
05B_10,0.074074074
08BEA3312_02,
08BEA3312_03,
08BEA3312_05,
08BEA3312_06,0.058139535
08BEA3312_07,0.035714286
08BEA3312_08,0.043956044
08BEA3312_09,0.034090909
08BEA3312_10,0.046511628
08BEA3312_11,0.03030303
08BEA3321_02,
08BEA3321_03,
08BEA3321_05,
08BEA3321_06,0
08BEA3321_07,0.044444444
08BEA3321_08,0.030769231
08BEA3321_09,0.015151515
08BEA3321_10,
08BEA3321_11,0
08BEA3325_02,
08BEA3325_03,
08BEA3325_07,0.035714286
08EVA3474_02,
08EVA3474_03,
08EVA3474_05,
08EVA3474_06,0.018181818
08EVA3474_07,0
08EVA3474_08,0.002739726
08EVA3474_09,0
08BEA3474_10,0
08BEA3478_02,
08BEA3478_03,
08BEA3478_05,
08BEA3478_06,0.081081081
08BEA3478_07,0
08BEA3478_08,
08BEA3478_09,0.008264463
08BEA3478_10,0.0125
08BEA3478_11,0.02020202
08BEA3571_02,
08BEA3571_03,
08BEA3571_05,
08BEA3571_06,0.021428571
08BEA3571_07,0.041666667
08BEA3571_08,0.03
08BEA3571_09,0.016949153
08BEA3571_10,0.011904762
08BEA3571_11,0
08BEA3650_02,
08BEA3650_03,
08BEA3650_05,
08BEA3650_06,0.017391304
08BEA3650_07,0
08BEA3650_08,0
08BEA3650_09,0.025
08BEA3650_10,0
08BEA3650_11,0.003546099
08BEA3737_02,
08BEA3737_03,
08BEA3737_05,
08BEA3737_06,0.058139535
08BEA3737_07,0.069767442
08BEA3737_08,0.021978022
08BEA3737_09,0.02189781
08BEA3737_10,0.0625
08BEA3737_11,0.078947368
08BEA3747_02,
08BEA3747_03,
08BEA3747_05,
08BEA3747_06,0.049180328
08BEA3747_07,0.03125
08BEA3747_08,0.020833333
08BEA3747_09,0.030769231
08BEA3747_10,0.028368794
08BEA3747_11,0.011764706
08BEA3826_02,
08BEA3826_03,
08BEA3826_05,
08BEA3826_06,0.108108108
08BEA3826_07,0
08BEA3826_08,0.016666667
08BEA3826_09,0.046153846
08BEA3826_10,0.031746032
08BEA3826_11,0
08BEA3914_02,
08CED2433_02,
08CED2433_03,
08CED2433_05,
08CED2433_06,0.02189781
08CED2433_07,0.026785714
08CED2433_08,0
08CED2433_09,0.0625
08CED2433_10,0.02173913
08CED2433_11,0.016
08CED2518_02,
08CED2518_03,
08CED2518_05,
08CED2518_06,0.02
08CED2518_07,0.034883721
08CED2518_08,0.014285714
08CED2518_09,0.011235955
08CED2518_10,0.017699115
08CED2518_11,0
08CED2711_02,
08CED2711_03,
08CED2711_05,
08CED2711_06,0.074074074
08CED2711_08,0.113636364
08CED2711_09,0.06122449
08CED2711_10,0.030612245
08CED2711_11,0.043478261
08CED2898_02,
08CED2898_03,
08CED2898_05,
08CED2898_06,0
08CED2898_07,0
08CED2898_08,0
08CED2898_09,0
08CED2898_10,
08CED2898_11,0
08CED4115_02,
08CED4192_02,
08CED4192_03,
08CED4192_05,
08CED4192_06,0.038461538
08CED4192_07,0.02
08CED4192_08,0.012820513
08CED4192_09,0.021276596
08CED4192_10,0.021978022
08CED4192_11,0.006329114
08CED4479_02,
08CED4479_03,
08CED4479_05,
08CED4479_06,0.043478261
08CED4479_07,0.392156863
08CED4479_08,0.16
08CED4479_09,0
08CED4975_02,
08CED4975_03,
08CED4975_05,
08CED4975_06,0.058823529
08CED4975_07,0.047619048
08CED4975_08,0.046511628
