"CodeNum","CodeName","FullName","Acentrella_insignificans","Acentrella_turbida","Acneus","Agapetus","Agraylea","Allocosmoecus","Ameletus","Amiocentrus","Amphizoa","Ampumixis","Anagapetus","Antocha","Apatania","Arctopsyche","Asellidae","Atherix","Attenella","Baetis_alius","Baetis_bicaudatus","Baetis_flavistriga","Baetis_notos","Baetis_tricaudatus","Blephariceridae","Brachycentrus","Calineuria","Callibaetis","Capniidae","Caudatella","Centroptilum","Ceratopogoninae","Chelifera/Metachela","Cheumatopsyche","Chironomini","Cinygma","Cinygmula","Claassenia_sabulosa","Cleptelmis","Clinocera","Coenagrionidae","Corbicula","Cordulegastridae","Corixidae","Corydalidae","Cryptochia","Cryptolabis","Cultus","Curculionidae","Desmona","Despaxia","Deuterophlebia","Diamesinae","Dicosmoecus_atripes","Dicosmoecus_gilvipes","Dicranota","Diphetor_hageni","Diura","Dixa","Dixella","Dolichopodidae","Dolophilodes","Doroneuria","Drunella_coloradensis/flavilinea","Drunella_doddsi","Drunella_grandis","Drunella_pelosa","Drunella_spinifera","Dubiraphia","Dytiscidae","Ecclisocosmoecus","Ecclisomyia","Epeorus_albertae","Epeorus_deceptivus","Epeorus_grandis","Epeorus_longimanus","Ephemerella","Ephydridae","Eubrianax_edwardsi","Farula","Ferrissia","Fluminicola","Forcipomyiinae","Gammarus","Glossosoma","Glutops","Goera","Goeracea","Gomphidae","Gumaga","Haliplidae","Helichus","Helicopsyche","Hemerodromia","Heptagenia","Hesperoconopa","Hesperoperla_pacifica","Heterlimnius","Heteroplectron","Hexatoma","Hirudinea","Hyalella","Hydatophylax","Hydraena","Hydrophilidae","Hydropsyche","Hydroptila","Ironodes","Isoperla","Juga","Kathroperla","Kogotus/Rickera","Labiobaetis","Lara","Lepidostoma","Leptoceridae","Leucotrichia","Libellulidae","Limnophila","Limonia","Lymnaeidae","Malenka","Margaritifera","Maruina","Megarcys","Meringodixa","Metrichia","Micrasema","Microcylloepus","Molophilus","Moselia","Muscidae","Narpus","Nematoda","Nemoura","Neophylax_occidentalis","Neophylax_rickeri","Neophylax_splendens","Neothremma","Neotrichia","Nixe/Leucocruta","Ochrotrichia","Ochthebius","Odontoceridae","Oligochaeta","Oligophlebodes","Onocosmoecus","Optioservus","Ordobrevia","Oreogeton","Ormosia","Orthocladiinae","Ostracoda","Palaegapetus","Paraleptophlebia","Paraperla","Parapsyche_almota","Parapsyche_elsis","Pedicia","Pedomoecus","Pericoma/Telmatoscopus","Perlinodes","Petrophila","Philocasca","Physidae","Pilaria","Planorbidae","Plumiperla","Podmosta","Podonominae","Polycentropodidae","Pristinicola","Procloeon","Prodiamesinae","Prosimulium","Prostoia","Prostoma","Protoptila","Psephenus","Pseudochironomini","Pseudolimnophila","Pseudostenophylax","Psychoda","Psychoglypha","Psychomyia","Pteronarcella","Pteronarcys","Ptychopteridae","Rhabdomastix","Rhithrogena","Rhyacophila_Alberta_Gr_","Rhyacophila_Angelita_Gr_","Rhyacophila_Betteni_Gr_","Rhyacophila_blarina","Rhyacophila_Brunnea_Gr_","Rhyacophila_Coloradensis_Gr_","Rhyacophila_Grandis_Gr_","Rhyacophila_Hyalinata_Gr_","Rhyacophila_Iranda_Gr","Rhyacophila_Lieftincki_Gr_","Rhyacophila_narvae","Rhyacophila_Nevadensis_Gr_","Rhyacophila_Oreta Gr_","Rhyacophila_pellisa/valuma","Rhyacophila_Rotunda_Gr_","Rhyacophila_Vagrita_Gr_","Rhyacophila_Verrula_Gr_","Rhyacophila_Vofixa_Gr_","Serratella_teresa","Serratella_tibialis","Setvena","Sialis","Sierraperla","Simulium","Skwala","Soliperla","Soyedina","Sphaeriidae","Stratiomyidae","Suwallia","Sweltsa","Tabanidae","Taeniopterygidae","Talitridae","Tanypodinae","Tanytarsini","Thaumalea","Timpanoga_hecuba","Tipula","Tricorythodes","Trombidiformes","Turbellaria","Valvata","Visoka","Wiedemannia","Wormaldia","Yoraperla","Zaitzevia","Zapada_cinctipes","Zapada_columbiana","Zapada_frigida","Zapada_Oregonensis_Gr_"
284,"00001JDE","00001JDE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,2,0,0,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,310,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,9,61,0,0,0,0,1,0,0,0,0,0,13,0,2,0,0,0
297,"00001WSE","00001WSE",0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,24,0,0,2,0,0,2,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,8,0,0,0,0,1,2,0,0,0,0,2,0,0,0,1,0,44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,49,3,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,6,0,1,0,2,0,0,0,9,0,0,1,0,0,0,29,0,0,1,0,0,0,0,0,0,0,0,0,10,0,1,0,0,5,1,0,0,0,12,13,0,2,0,0,64,0,0,59,0,0
12,"00002CSR","00002CSR",0,0,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,104,0,0,1,0,0,0,0,1,0,0,14,0,40,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,15,0,0,0,0,0,0,12,0,0,60,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,5,0,0,0,0,0,1,11,0,0,0,3,4,0,0,0,0,10,0,0,1,0,16,0,22,0,0,0,0
89,"00002JDE","00002JDE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2,0,243,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,7,27,0,0,0,0,25,26,0,3,0,0,3,0,0,24,0,0
378,"00002REM","00002REM",0,0,0,2,0,0,1,0,0,2,0,0,0,3,0,0,1,0,0,0,0,189,0,0,8,0,0,0,0,2,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,67,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,22,0,0,0,2,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,4,0,0,2,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,3,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,96,0,0,0,0,0,1,0,0,0,0,3,19,0,0,0,0,3,0,0,0,0,11,0,4,2,0,0,0
422,"00002WSE","00002WSE",0,0,0,12,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,59,0,0,5,0,1,0,0,0,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,23,0,0,3,0,0,0,0,0,29,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,3,0,0,0,2,0,0,0,16,0,0,19,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,0,0,0,0,3,0,28,1,0,0,0
410,"00003CSR","00003CSR",0,0,0,17,0,0,0,0,0,0,0,0,37,38,0,0,0,0,0,0,0,1,0,0,24,0,0,0,0,0,1,0,0,44,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11,3,12,0,0,0,0,2,0,0,0,0,0,0,83,0,0,0,0,0,4,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,34,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,10,0,0,0,0,3,0,0,1,0,0,4,9,0,0,0,0
137,"00003JDE","00003JDE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,5,0,0,8,0,1,0,0,35,0,0,0,0,14,1,0,0,0,1,14,0,1,0,0,0
279,"00003REM","00003REM",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,31,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,4,11,13,0,1,0,0,0,0,19,0,5,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,23,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,28,0,1,5,0,6,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,0,0,9,1,0,1,0,0
28,"00003WSE","00003WSE",0,0,0,0,0,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,19,0,0,0,0,1,0,0,14,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,16,0,0,0,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,10,0,3,0,3,0,0,0,0,5,0,0,0,0,0,0,32,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,3,0,0,0,4,112,0,0,1,0,13,0,0,0,0,2,1,4,4,0,0,0
