OBJECTID,Join_Count,TARGET_FID,Name,STR_LVL
1,1,0,08WES0905,1
2,1,1,08WES0903,1
3,1,2,08WES0622,2
4,1,3,08BEA3747,1
5,1,4,08BEA3571,2
6,1,5,08BEA3826,2
7,1,6,08BEA3312,2
8,1,7,08BEA3478,2
9,1,8,08EVA3642,2
10,1,9,08BEA3474,1
11,1,10,08EVA3555,1
12,2,11,08EVA3640,3
13,1,12,08EVA3637,2
14,1,13,08NOR2115,1
15,1,14,08LIT2781,1
16,1,15,08NOR2306,1
17,1,16,08LIT2685,1
18,1,17,08NOR1370,1
19,1,18,08WES1178,1
20,2,19,08LIT2682,1
21,1,20,08LIT2585,1
22,1,21,08BEA3321,3
23,2,22,08SAM1914,2
24,1,23,08SAM2865,2
25,1,24,08SAM2862,2
26,1,25,08SAM2674,2
27,1,26,08SAM3047,3
28,1,27,08BEA3737,2
29,1,28,08BEA3650,1
30,1,29,08EAS1536,1
31,1,30,08WES0629,2
32,1,31,08EAS2191,1
33,1,32,08SAM0000,2
34,1,33,08EVA3813,2
35,1,34,08LAK3121,1
36,1,35,08EAS2272,1
37,1,36,08NOR1362,1
38,3,37,09MIL0340,3
39,1,38,09SOO1134,1
40,1,39,09SOO1022,2
41,1,40,09COV1165,1
42,1,41,09SOO1130,1
43,1,42,09SOO0943,1
44,1,43,09MIL0390,2
45,1,44,09MID1537,2
46,2,45,08LAK3627,1
47,1,46,08LAK3540,1
48,1,47,08LAK2827,1
49,1,48,08LAK3880,1
50,1,49,08EAS2446,1
51,1,50,08LAK3616,1
52,1,51,08EAS2540,2
53,1,52,08EAS1964,1
54,1,53,08WES1037,1
55,2,54,08EAS2058,1
56,1,55,08EAS2631,1
57,1,56,08WES1340,1
58,1,57,08WES1490,1
59,1,58,09DUW0225,2
60,1,59,09DUW0277,2
61,1,60,08WES1579,2
62,1,61,08CED2433,2
63,2,62,09LOW0325,3
64,0,63,09BLA0817,
65,1,64,08CED2518,2
66,1,65,08CED2898,2
67,1,66,08ISS4735,2
68,1,67,08ISS4730,2
69,1,68,08ISS4724,2
70,1,69,08CED5046,3
71,1,70,08CED5032,2
72,2,71,08CED4975,3
73,1,72,09JEN1357,1
74,1,73,09JEN1318,1
75,1,74,09MID2426,2
76,1,75,09DUW0091,2
77,1,76,VashShing,1
78,1,77,VashChris,1
79,2,78,08CED2711,2
80,1,79,09BLA0772,3
81,2,80,09BLA0771,3
82,1,81,09BLA0768,2
83,1,82,09BLA0722,4
84,1,83,09BLA0675,3
85,1,84,09BLA0716,3
86,1,85,08CED4192,2
87,1,86,09SOO1283,2
88,1,87,09BLA0756,3
89,1,88,09SOO1209,2
90,2,89,09LOW0753,2
91,2,90,09LOW0751,2
92,1,91,09LOW0788,2
93,1,92,08LAK3628,1
94,1,93,08LAK3879,1
95,1,94,08ISS3877,1
96,2,95,08LAK3699,1
97,1,96,08ISS3962,1
98,1,97,08ISS4573,3
99,1,98,08ISS4748,2
100,1,99,08ISS4884,2
101,1,100,08ISS4294,2
102,1,101,09COV1756,2
103,1,102,09COV1862,3
104,1,103,09COV1418,1
105,1,104,09DEE2211,1
106,1,105,09DEE2163,1
107,1,106,09MID1958,2
108,1,107,09MID1374,2
109,1,108,09DEE2294,1
110,1,109,09MID1744,2
111,1,110,09MID1817,2
112,1,111,09DEE2208,1
113,1,112,09NEW1657,1
114,1,113,09NEW2128,2
115,1,114,09NEW2102,1
116,1,115,09NEW2151,1
117,1,116,08NOR1756,1
118,1,117,08NOR1750,1
119,1,118,08LIT2603,1
120,1,119,08LIT2602,1
121,2,120,08LIT2692,1
122,1,121,08SAM3045,2
123,1,122,08SAM2855,2
124,1,123,08EAS2546,5
125,1,124,08ISS3958,1
126,1,125,09NEW2076,2
127,1,126,07CHR070059,2
128,1,127,07HAR025863,2
129,1,128,07HAR070087,2
130,1,129,07PAT001415,3
131,1,130,07PAT187623,1
132,1,131,07PAT231079,3
133,1,132,07RAG002867,2
134,1,133,07RAG004615,1
135,1,134,07RAG018227,2
136,2,135,07RAG022147,3
137,1,136,07RAG042787,1
138,1,137,07RAG043443,1
139,1,138,07TKL096551,2
140,2,139,08BEA3914,2
141,1,140,Evans Creek Trib #0108,2
142,1,141,09COV1864,3
143,1,142,Miller_Cove,1
144,1,143,Miller_SWSSD,1
145,1,144,WalkerPreserve,2
146,1,145,BSE_1_MudMtnRd,2
147,1,146,BSE_21_GolfCrs,2
148,2,147,BSE_8_268hAveSE,2
149,1,148,07HAR055371,1
150,1,149,07PAT166087,2
151,1,150,07PAT228627,2
152,1,151,28A,1
153,1,152,WRIA08_WS_Survey,1
154,1,153,Stensland Upper,2
155,1,154,53E,2
156,1,155,07CHR045515,1
157,1,156,07LMS093027,1
158,1,157,07LMS103591,2
159,2,158,07LMS213875,1
160,1,159,07LNT062039,1
161,1,160,07LNT075179,2
162,2,161,07SFS009443,1
163,1,162,07SFS011059,1
164,1,163,07SFS011475,1
165,2,164,07SFS041891,1
166,1,165,07SFS066611,2
167,2,166,07STL080295,1
168,1,167,07STL184007,1
169,1,168,07TKL047047,2
170,1,169,07TKL072439,2
171,1,170,07GRN022903,1
172,1,171,07GRN077319,1
173,1,172,07LMS026663,1
174,1,173,07LMS033235,2
175,1,174,07LMS055075,2
176,2,175,07LNT130827,1
177,1,176,07LST069191,2
178,2,177,07CHR234411,1
179,0,178,ManzBain,
180,0,179,KCSSWM-010,
181,0,180,BIO06600-CHUC02,
182,0,181,KCSSWM-056,
183,0,182,KCSSWM-057,
