ObjectID,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,Total_Length
340,349,1,07CHR234411 - CHERRY_1,2,2,3,650.106754745956891
341,371,1,07STL080295 - TOLT_MTH,1,2,35,1179.068523040849186
342,314,1,08EAS1964 - 0440,2,1,59,149.971230203750764
343,381,1,08EAS2191 - A456,2,2,61,185.724628799483384
344,343,1,08EVA3555 - B484,2,2,67,128.193231265967285
345,325,1,08ISS3877 - 0631,1,1,72,370.584060591094385
346,336,1,08ISS3958 - A631,2,1,73,3789.529830003166353
347,335,1,08LAK3121 - A620,1,1,83,1237.483044149141506
348,338,1,08LAK3540 - A680,1,1,84,440.186204654651419
349,378,1,08LAK3616 - X630,2,2,85,336.414926614113085
350,339,1,08LAK3627 - A685,1,1,86,318.836126179407017
351,340,1,08LAK3628 - A690,1,1,87,245.639790809375285
352,337,1,08LAK3879 - A670,2,2,89,1967.480662533637087
353,322,1,08LIT2585 - 0478,2,1,91,1943.118887766570197
354,366,1,08LIT2692 - S478,2,1,96,11.821193165517395
355,344,1,08NOR1362 - BB470,2,2,98,48.628913572792065
356,351,1,08NOR2306 - D474,1,2,103,506.150047373668997
357,330,1,08WES0903 - A432,1,2,114,109.646463953305783
358,360,1,09COV1756 - LSIN9,1,1,131,1869.863625549873859
359,309,1,09MID1537 - 0321,1,1,148,2760.639996911574144
360,329,1,09SOO0943 - A320,1,2,160,43.097281572322309
361,353,1,09SOO1209 - G320,1,1,164,219.265789542821040
362,375,1,28A - VA42A,2,1,166,102.681267140627313
363,345,1,BSE_1_MudMtnRd - BSE_1MUDMTNRD,2,1,169,209.661559265166630
364,372,1,VashShing - VA12A,2,2,181,774.508466925490666
