SITE_ID,SAMPLE_NUMBER,SampleID,Sand (A),Very Fine Gravel (B),Very Fine Gravel (C),Fine Gravel (D),Fine Gravel (E),Medium Gravel (F),Medium Gravel (G),Course Gravel (H),Course Gravel (I),Very Course Gravel (J),Very Course Gravel (K),Small Cobble (L),Medium Cobble (M),Large Cobble (N),Very Large Cobble (O),Small Boulder (P),Medium Boulder (Q),Large Boulder (R)
08ISS4742,08ISS4742_14,2381,17,0,0,4,2,4,12,20,23,22,14,2,0,0,0,0,0,0
09BLA0771,09BLA0771_13,1567,7,1,1,5,3,9,24,20,17,8,4,0,0,1,0,0,0,0
08SAM2855,08SAM2855_13,1559,7,0,4,8,3,5,8,7,6,20,17,20,2,4,5,0,0,0
08EVA4077,08EVA4077_13,1568,1,1,1,5,5,9,22,21,19,11,6,2,0,0,0,0,0,0
08EAS1536,08EAS1536_13,1571,13,16,5,5,6,2,9,13,14,17,9,3,0,0,0,0,0,0
08EAS2191,08EAS2191_13,1572,5,21,6,4,6,19,31,16,10,1,1,0,0,0,0,0,0,0
08SAM1914,08SAM1914_13,1570,8,7,6,5,5,11,17,27,18,9,11,5,1,1,0,0,0,0
09DEE2163,09DEE2163_13,1573,16,0,1,0,7,3,12,32,21,4,0,2,2,0,0,0,0,0
09NEW1657,09NEW1657_13,1575,3,5,0,5,5,4,6,8,8,10,7,11,20,9,2,3,0,0
08WES0905,08WES0905_13,1576,3,0,4,1,5,9,13,14,23,17,16,7,1,0,0,0,0,0
09COV1864,09COV1864_13,1578,2,0,1,2,6,14,6,17,4,7,10,13,12,2,1,4,1,0
09DEE2211,09DEE2211_13,1580,4,0,1,3,7,8,19,17,26,19,10,3,2,2,0,0,0,0
09MID1744,09MID1744_13,1579,19,0,0,2,5,6,11,15,21,14,10,20,8,2,1,3,2,0
09NEW2128,09NEW2128_13,1581,6,1,2,1,0,5,6,13,13,24,27,13,7,2,0,0,0,0
09MID1817,09MID1817_13,1582,21,7,4,7,7,6,15,9,14,6,11,4,2,4,0,2,1,0
09COV1862,09COV1862_13,1583,14,6,4,9,7,7,18,17,14,5,2,0,0,0,0,0,0,0
08SAM2674,08SAM2674_13,1584,18,0,0,2,4,7,13,12,20,17,3,3,1,0,0,0,0,0
08EAS2446,08EAS2446_13,1585,12,6,6,9,9,9,12,26,10,9,3,4,1,0,0,0,0,0
08SAM2862,08SAM2862_13,1586,18,2,1,1,3,8,11,7,14,20,8,8,2,0,0,0,0,0
08EVA3813,08EVA3813_13,1587,18,0,1,6,16,12,20,19,6,5,2,0,0,1,0,0,0,0
08SAM2865,08SAM2865_13,1588,26,0,1,8,5,6,14,13,8,4,11,3,2,2,0,0,0,0
08WES1579,08WES1579_13,1589,26,6,3,6,8,17,19,12,8,5,1,3,0,0,0,0,0,0
09LOW0325,09LOW0325_13,1590,7,1,3,0,3,7,9,17,12,16,4,8,2,5,3,6,2,0
09DEE2294,09DEE2294_13,1591,1,0,0,0,1,2,4,1,4,10,11,23,19,16,1,10,1,0
08EVA3637,08EVA3637_13,1593,12,3,2,6,4,12,12,8,23,13,6,5,1,0,0,0,0,0
08WES1178,08WES1178_13,1595,5,3,7,4,5,9,11,10,17,15,11,10,2,0,0,0,0,0
09BLA0768,09BLA0768_13,1596,9,3,4,2,2,12,14,16,14,11,12,12,3,0,0,0,0,0
08BEA3747,08BEA3747_13,1598,8,5,0,6,8,14,12,13,20,16,8,0,1,0,1,1,0,0
08LAK3540,08LAK3540_13,1599,4,1,1,4,7,18,19,24,21,12,7,0,0,0,0,0,0,0
09COV1165,09COV1165_13,1601,9,5,1,1,1,5,6,8,10,13,16,13,12,11,3,2,0,0
08EAS1964,08EAS1964_13,1600,1,0,0,1,2,5,10,19,30,25,20,6,1,0,0,0,0,0
