Subkingdom,Phylum,Subphylum,Superclass,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Custom Subfamily,Tribe,Genus Group,Subtribe,Genus,Species Group,Subgenus,Species,Subspecies,Taxon Name,TSN,Taxonomic Rank,Excluded
,Annelida,,,Clitellata,Oligochaeta,,,Haplotaxida,Lumbricina,,,Lumbricidae,,,,,,,,,,,Lumbricidae,69165,Family,TRUE
,Annelida,,,Clitellata,Oligochaeta,,,Lumbriculida,,,,Lumbriculidae,,,,,,Eiseniella,,,tetraedra,,Eiseniella tetraedra,-121,Species,TRUE
,Arthropoda,Chelicerata,,Arachnida,,,,,,,,,,,,,,,,,,,Arachnida,82708,Class,TRUE
,Arthropoda,Chelicerata,,Arachnida,,,,Araneae,,,,,,,,,,,,,,,Araneae,82732,Order,TRUE
,Arthropoda,Chelicerata,,Arachnida,,,,Opiliones,,,,,,,,,,,,,,,Opiliones,82753,Order,TRUE
,Arthropoda,Chelicerata,,Arachnida,,,,Pseudoscorpiones,,,,,,,,,,,,,,,Pseudoscorpiones,690741,Order,TRUE
,Arthropoda,Chelicerata,,Arachnida,Acari,,,,,,,,,,,,,,,,,,Acari,733321,Subclass,FALSE
,Arthropoda,Crustacea,,Branchiopoda,Phyllopoda,,,Diplostraca,Cladocera,,,,,,,,,,,,,,Cladocera,83832,Suborder,TRUE
,Arthropoda,Crustacea,,Malacostraca,Eumalacostraca,,Peracarida,Isopoda,,,,,,,,,,,,,,,Isopoda,92120,Order,TRUE
,Arthropoda,Crustacea,,Malacostraca,Eumalacostraca,,Peracarida,Isopoda,Anthuridea,,,,,,,,,,,,,,Anthuridea,92143,Suborder,FALSE
,Arthropoda,Crustacea,,Malacostraca,Eumalacostraca,,Peracarida,Isopoda,Asellota,,,,,,,,,,,,,,Asellota,92650,Suborder,FALSE
,Arthropoda,Crustacea,,Malacostraca,Eumalacostraca,,Peracarida,Isopoda,Calabozoida,,,,,,,,,,,,,,Calabozoida,621166,Suborder,FALSE
,Arthropoda,Crustacea,,Malacostraca,Eumalacostraca,,Peracarida,Isopoda,Epicaridea,,,,,,,,,,,,,,Epicaridea,93076,Suborder,FALSE
,Arthropoda,Crustacea,,Malacostraca,Eumalacostraca,,Peracarida,Isopoda,Flabellifera,,,,,,,,,,,,,,Flabellifera,92224,Suborder,FALSE
,Arthropoda,Crustacea,,Malacostraca,Eumalacostraca,,Peracarida,Isopoda,Flabellifera,,,Sphaeromatidae,,,,,,Gnorimosphaeroma,,,,,Gnorimosphaeroma,92295,Genus,TRUE
,Arthropoda,Crustacea,,Malacostraca,Eumalacostraca,,Peracarida,Isopoda,Gnathiidea,,,,,,,,,,,,,,Gnathiidea,92121,Suborder,FALSE
,Arthropoda,Crustacea,,Malacostraca,Eumalacostraca,,Peracarida,Isopoda,Microcerberidea,,,,,,,,,,,,,,Microcerberidea,93071,Suborder,FALSE
,Arthropoda,Crustacea,,Malacostraca,Eumalacostraca,,Peracarida,Isopoda,Oniscidea,,,,,,,,,,,,,,Oniscidea,93223,Suborder,FALSE
,Arthropoda,Crustacea,,Malacostraca,Eumalacostraca,,Peracarida,Isopoda,Oniscidea,Ligiamorpha,,Ligiidae,,,,,,Ligia,,,,,Ligia,93226,Genus,TRUE
,Arthropoda,Crustacea,,Malacostraca,Eumalacostraca,,Peracarida,Isopoda,Oniscidea,Ligiamorpha,,Ligiidae,,,,,,Ligidium,,,,,Ligidium,93233,Genus,TRUE
,Arthropoda,Crustacea,,Malacostraca,Eumalacostraca,,Peracarida,Isopoda,Oniscidea,Ligiamorpha,Armadilloidea,Armadillidiidae,,,,,,Armadillidium,,,,,Armadillidium,93249,Genus,TRUE
,Arthropoda,Crustacea,,Malacostraca,Eumalacostraca,,Peracarida,Isopoda,Oniscidea,Ligiamorpha,Armadilloidea,Cylisticidae,,,,,,Cylisticus,,,,,Cylisticus,553075,Genus,TRUE
