Gauge,Site
1-May,08EAS2631
12099600,BSE_1_MudMtnRd
12109500,09SOO1283
12112600,09SOO0943
12113347,09BLA0675
12118500,08CED4192
12119500,08EAS2058
12119600,08EAS1964
12121600,08ISS3877
12121700,08LAK3699
12121700,WAM06600-062567
12121815,08LAK3540
12121830,08LAK3628
12126000,08NOR2115
12126100,08NOR2306
12141500,07LMS093027
12144000,07SFS011059
12147000,07GRN077319
12147470,07LNT062039
02e,08BEA3650
02f,08BEA3747
02L,08BEA3571
02M2,08BEA3826
02N,Stensland Upper
BC0114,Stensland Upper
02Q,08BEA3478
03a,09BLA0772
03a,09BLA0771
03b,09BLA0768
03c,09BLA0722
05A,07CHR234411
06B,08EAS2446
09d,09COV1756
13a,09DUW0225
15c,08LAK3879
15h,08LAK3627
16b,08EAS1536
18a,08EVA3555
25c,08ISS4294
28a,28A
30A,08LIT2585
30AN,08LIT2682
31c,08CED2518
31p,08CED2433
31q,08CED4975
32c,09LOW0751
35c,08WES0903
40b,09MID1537
41c,09MIL0340
41c,09MIL0390
42a,Miller_Cove
42AA,Miller_SWSSD
43a,VashShing
44H,09NEW2128
48b,07PAT166087
51c,08SAM2674
51d,08SAM2862
51O,08SAM0000
53e,53E
54h,09SOO1022
54i,09SOO1209
56b,08NOR1370
67a,08LAK3616
BC0119,08BEA3312
EC0107,08EVA3642
ha4,09DUW0091
LB2,08LIT2781
MB_MW1,BSE_8_268thAveSE
RPWS_EVALSS,08EVA3640
RPWS_EVALSS,Evans Creek Trib #0108
RPWS_EVAMS,08EVA3813
Tolt3,07STL080295
Chico,KCSSWM-057
Chico,KCSSWM-056
Ilahee,KCSSWM-010
Manzanita,ManzBain
Chuckanut,BIO06600-CHUC02
