"","variable","meanall"
"39","Chironomidae",99.7888181158858
"161","Oligochaeta",98.4332327131306
"25","Baetis.rhodani.group",97.8662114067474
"1","Acari",93.138201608221
"209","Simuliidae",93.0769001231272
"234","Zapada.cinctipes",86.3423762721369
"204","Rhyacophila",83.616458777265
"216","Sweltsa",77.5820843548616
"155","Nemata",69.2886622853652
"122","Hydropsyche",69.2518760323098
"92","Glossosoma",67.8898607450126
"60","Dicranota",64.0007945403578
"105","Hemerodromiinae",61.628128241686
"153","Narpus",58.5332995741237
"164","Optioservus",55.980463715889
"143","Malenka",53.699578917587
"210","Skwala",51.572104432186
"212","Sphaeriidae",50.9910685162924
"172","Paraleptophlebia_.Neoleptophlebia",50.3343092862211
"53","Crangonyx",49.986710239134
"110","Heterlimnius.corpulentus",49.6225078023575
"61","Diphetor.hageni",49.169486219904
"224","Trepaxonemata",47.9853635208413
"62","Dixa",42.006700483871
"36","Ceratopogoninae",40.2395418745023
"109","Hesperoperla.pacifica",37.3606218079763
"131","Lara",37.208136475166
"203","Rhithrogena",35.3308578731499
"239","Kogotus.Rickera.Cultus",34.7586246251835
"174","Parapsyche",34.6731748037429
"133","Lepidostoma",30.0380358854896
"237","Zapada.Oregonensis.Group",29.9512211460711
"232","Zaitzevia",27.8788390303887
"230","Wormaldia",26.2376296913389
"42","Cinygmula",25.2821960093107
"41","Cinygma",24.1055228156669
"45","Cleptelmis.addenda",23.6615524869166
"15","Antocha.monticola",23.3802031630508
"149","Micrasema",22.1646097594565
"31","Calineuria.californica",22.1077612536681
"193","Psychodidae",21.1086071142982
"222","Tipula",21.0857359626158
"68","Drunella.doddsii",20.2924379035325
"126","Ironodes",19.311745758715
"81","Ephemerella.tibialis",19.1004056197948
"135","Leuctridae",18.7015590686057
"183","Planorbidae",18.6296587265706
"94","Glutops",18.5314838818445
"158","Neophylax",17.7295749174722
"80","Ephemerella.excrucians.group",15.2174049292018
"198","Pteronarcys",15.1508028573689
"78","Epeorus",14.2640129624254
"20","Attenella",13.7495569352089
"124","Hydroptila",12.9930802282077
"154","Neaviperla_.Suwallia",12.8247709660351
"238","Clinocerinae",12.2001075931842
"127","Isoperla",11.4464877543816
"30","Caecidotea",10.286651242292
"2","Acentrella",9.53447581852236
"72","Dytiscidae",8.96216397515904
"13","Ancylidae",8.5247417495525
"136","Limnephilidae",7.92010908196419
"181","Physidae",7.80923966160855
"185","Pleuroceridae.s.l.",7.79440063614625
"231","Yoraperla",7.76879328668443
"88","Forcipomyiinae",7.72970171453112
"173","Paraperla",7.68422108049688
"67","Doroneuria",7.66328411867739
"70","Drunella.grandis.group",7.46318861371896
"112","Hexatoma",7.33134620255271
"167","Ostracoda",7.04676980990643
"59","Dicosmoecus",6.97450144235314
"119","Hydrobiidae.s.l.",6.8925692846347
"40","Chloroperlidae",6.73266677568106
"28","Brachycentrus",6.37734767611271
"169","Pacifastacus",5.96149928315108
"189","Prostoma",5.94511256590214
"33","Capniidae",5.78911116137857
"211","Soyedina",5.68313320279204
"123","Hydropsychidae",5.56266691071022
"139","Limnophila",5.31657345444532
"18","Arctopsyche",4.94051950461348
"194","Psychoglypha",4.93625269117299
"93","Glossosomatidae",4.86259325804569
"221","Timpanoga.hecuba",4.85430294536941
"220","Thaumaleidae",4.68828766925288
"75","Empididae",4.65282457901812
"196","Pteronarcella",4.4844889281163
"129","Kathroperla",4.45820985710011
"145","Maruina",4.26493768518724
"178","Perlidae",4.04821370922891
"107","Heptageniidae",4.00368858435176
"48","Copepoda",3.87795371786185
"208","Sialis",3.60977000184046
"162","Oligophlebodes",3.36878979742565
"142","Lymnaeidae",3.36793842066063
"16","Apatania",3.26184937444733
"125","Hydrozoa",3.1258765557549
"121","Hydrophilidae",3.01758544773823
"148","Meringodixa",3.00605158088508
"200","Ptychoptera",2.93737764666314
"99","Gomphidae",2.91764020852287
"82","Ephemerellidae",2.90271972635925
"6","Ameletus",2.75850219508645
"117","Hydraena",2.7498747265922
"66","Dolophilodes",2.69307008836009
"140","Limonia",2.6260167054327
"163","Onocosmoecus",2.59736256352453
"26","Blephariceridae",2.38658009960064
"69","Drunella.flavilinea_coloradensis",2.25174360517965
"171","Paraleptophlebia.Bicornuta.Group",2.24156473412449
"240","Uenoidae..s.l.",2.12448606937991
"9","Amphipoda",2.11966529196072
"229","Visoka.cataractae",2.06115219723481
"202","Rhabdomastix",1.97842882881195
"4","Agapetus",1.93832093679392
"176","Pedicia",1.91131001602585
"223","Tipulidae.s.l.",1.90032534914085
"34","Caudatella",1.8504326869811
"165","Oreogeton",1.83106854074806
"74","Ecclisomyia",1.78655425158541
"86","Erpobdella",1.72848818517898
"157","Nemouridae",1.58072943650478
"3","Afghanurus",1.55491143132806
"132","Lepidoptera",1.55319984873088
"150","Molophilus",1.48815773896764
"235","Zapada.columbiana",1.48086284408356
"159","Neothremma",1.45792746179072
"11","Anafroptilum",1.41382064880373
"187","Polycentropus.s.l.",1.41363021840699
"130","Labiobaetis",1.39741348911039
"236","Zapada.frigida",1.33850969709664
"91","Glossiphoniidae",1.32888644398316
"29","Brychius",1.29628349088129
"144","Margaritifera.falcata",1.28121903127396
"83","Ephydridae",1.22229986613216
"207","Serratella.levis_micheneri",1.198729092392
"65","Dolichopodidae",1.1365096808373
"180","Philopotamidae",1.1150275497233
"111","Heteroplectron",1.1084480466295
"233","Zapada",1.10600115743793
"38","Cheumatopsyche",1.08625590739417
"63","Dixella",1.07112479147311
"56","Cystobranchus.salmositicus",1.03697472363773
"201","Ramellogammarus",0.997353183087505
"54","Cryptochia",0.977757769841341
"166","Ormosia",0.958928300568502
"8","Amiocentrus",0.876161896196635
"89","Gammarus",0.831913826617098
"147","Megarcys",0.828575920615907
"12","Anagapetus",0.810834139295419
"182","Pilaria",0.730545116471994
"191","Protoptila",0.716757180396134
"227","Ulomorpha",0.714011936922154
"43","Claassenia.sabulosa",0.661672437768
"44","Cladocera",0.655955748816804
"218","Tabanidae",0.636955882678128
"97","Goeracea",0.575040863885621
"184","Plecoptera",0.538428055035107
"197","Pteronarcyidae",0.504732857674034
"115","Hyalella",0.471966700661082
"87","Farula",0.46880118580433
"175","Parthina",0.466813728705551
"50","Corixidae",0.463163622185534
"64","Dixidae",0.462695617762595
"22","Baetis",0.443692084558958
"35","Ceratopogonidae",0.422500221261831
"5","Allocosmoecus",0.421781780772375
"134","Leptoceridae",0.404849357211287
"116","Hydatophylax",0.38843955520222
"27","Brachycentridae",0.360770620879615
"146","Matriella.teresa",0.358242978212018
"108","Hesperoconopa",0.352597179222566
"113","Hirudinea",0.345670531965477
"228","Unionidae",0.345186986053859
"151","Muscidae",0.335521177819754
"214","Stratiomyidae",0.325136961562811
"205","Sciomyzidae",0.312838193771552
"47","Coenagrionidae",0.312213807919391
"219","Taeniopterygidae",0.301800677740527
"226","Tricorythodes",0.299332392985644
"168","Oxyethira",0.265186899990227
"85","Erioptera",0.259561559871157
"79","Ephemerella.aurivillii",0.254949531265321
"24","Baetis.fuscatus.group",0.225943646996279
"104","Haliplus",0.214749006645628
"114","Holorusia.hespera",0.212652844231792
"192","Psephenidae",0.211181884114215
"120","Hydrochus",0.210037115419383
"23","Baetis.alius.group",0.205897381947158
"49","Cordulegaster",0.203867572288625
"55","Culicidae",0.168174339161694
"213","Staphylinidae",0.15952185981219
"195","Psychomyia",0.155861418598501
"160","Ochthebius",0.148630411788307
"206","Scirtidae",0.146756067808699
"52","Crangonyctidae",0.146198830409357
"10","Ampumixis.dispar",0.108807825189572
"179","Perlinodes.aurea",0.105816167008752
"152","Mystacides",0.10530528000674
"177","Peltodytes",0.10530528000674
"128","Isopoda",0.10476279826125
"215","Stygobromus",0.104261831395199
"100","Gonomyia",0.103831006086645
"137","Limnephiloidea",0.102698207540553
"190","Protanyderus",0.102698207540553
"14","Anisoptera",0.102206874652695
"98","Goeridae",0.101896154527733
"17","Apataniidae",0.100579047947469
"101","Gumaga",0.0730994152046784
"73","Ecclisocosmoecus",0.0634115409004439
"96","Goera",0.0634115409004439
"138","Limnichidae",0.0634115409004439
"46","Clostoeca",0.05720823798627
"7","Americorophium",0.0565930956423316
"95","Gnorimosphaeroma",0.0565930956423316
"103","Haliplidae",0.0565930956423316
"188","Polychaeta",0.0565930956423316
"76","Empididae.Genus.A",0.0531632110579479
"141","Lipsothrix",0.0531632110579479
"199","Ptilodactylidae",0.0531632110579479
"19","Atherix",0.0515995872033024
"71","Drunella.pelosa",0.0515995872033024
"21","Austrolimnophila",0.0510986203372509
"58","Decapoda",0.0510986203372509
"84","Epiphragma",0.0510986203372509
"186","Plumiperla",0.0510986203372509
"102","Gyrinidae",0.0506072874493927
"32","Calopteryx",0.050125313283208
"37","Cheilotrichia",0.050125313283208
"106","Heptagenia",0.0487329434697856
"118","Hydraenidae",0.0487329434697856
"156","Nematomorpha",0.0487329434697856
"170","Palaemonidae",0.0487329434697856
"57","Dasyhelea",0.0474158368895211
"90","Gastropoda",0.0469924812030075
"51","Corydalidae",0
"77","Eocosmoecus",0
"217","Syrphidae",0
"225","Trichoptera",0
