"","SiteName","SampleName","SampleDate","RiffleDepth"
"1","08ISS3877","08ISS3877_17",2017-07-19 10:15:00,9.40625
"2","09MIL0390","09MIL0390_17",2017-07-20 02:00:00,3.65625
"3","08EAS2540","08EAS2540_17",2017-07-20 09:15:00,2.0625
"4","08ISS3962","08ISS3962_17",2017-07-20 09:15:00,8.25
"5","09MIL0340","09MIL0340_17",2017-07-20 11:30:00,4.4375
"6","08ISS4748","08ISS4748_17",2017-07-20 13:15:00,8.9375
"7","08LAK3121","08LAK3121_17",2017-07-20 13:29:59,3.075
"8","08BEA3747","08BEA3747_17",2017-07-24 09:44:59,6.5625
"9","08BEA3571","08BEA3571_17",2017-07-24 12:15:00,4.875
"10","08WES0622","08WES0622_17",2017-07-25 08:30:00,1.75
"11","08WES0905","08WES0905_17",2017-07-25 10:35:00,2.8125
"12","08WES0903","08WES0903_17",2017-07-25 13:29:59,4.4375
"13","09BLA0768","09BLA0768_17",2017-07-26 08:45:00,5.0625
"14","09NEW2102","09NEW2102_17",2017-07-26 08:59:59,3.6875
"15","08EVA3637","08EVA3637_17",2017-07-26 10:29:59,1.9375
"16","09COV1756","09COV1756_17",2017-07-26 11:59:59,4.625
"17","09BLA0771","09BLA0771_17",2017-07-26 13:00:00,2.09375
"18","09COV1862","09COV1862_17",2017-07-26 14:00:00,2.5
"19","08SAM2855","08SAM2855_17",2017-07-27 09:30:00,1.90625
"20","08BEA3474","08BEA3474_17",2017-07-27 10:29:59,7.59375
"21","08WES1178","08WES1178_17",2017-07-27 11:00:00,1.8125
"22","08SAM3047","08SAM3047_17",2017-07-27 11:59:59,1.625
"23","08WES0629","08WES0629_17",2017-07-27 13:15:00,3.5
"24","09JEN1357","09JEN1357_17",2017-07-30 23:59:59,7.1875
"25","08CED5046","08CED5046_17",2017-07-31 09:15:00,5.90625
"26","08LIT2585","08LIT2585_17",2017-07-31 10:45:00,4.5625
"27","09JEN1318","09JEN1318_17",2017-07-31 11:00:00,8.21875
"28","08CED5032","08CED5032_17",2017-07-31 11:45:00,4.9375
"29","08CED4975","08CED4975_17",2017-07-31 14:00:00,2.0625
