"","Sample.Code","Total_Richness","E_Richness","P_Richness","T_Richness","Clin_Richness","LL_Richness","Intol_Richness","Dom_Abund","Tol_Abund","Pred_Abund","Tot_Abund","Tol_Percent","Pred_Percent","Dom_Percent","Tot_Richness_Score","E_Richness_Score","P_Richness_Score","T_Richness_Score","Cling_Richness_Score","LL_Richness_Score","Intol_Richness_Score","Dom_Percent_Score","Pred_Percent_Score","Tol_Percent_Score","Overall.Score","WRIA.Number","Basin","Subbasin","Stream.or.River","Project","Visit.Date","Year","Lab.Name","Site.Code","Latitude","Longitude"
"1","02O-08R1",12,1,3,3,4,4,0,50,39,12,72,54.1666666666667,16.6666666666667,69.4444444444444,0,0,2.85714285714286,2.5,0,2.5,0,3.30409356725146,7.83333333333333,0,18.9945697577277,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2008-08-26",2008,"ABR, Inc.","02O",47.711746,-122.052054
"2","02O-08R2",19,3,5,5,9,6,3,31,27,15,55,49.0909090909091,27.2727272727273,56.3636363636364,1.42857142857143,2.85714285714286,5.71428571428571,5,2.35294117647059,5,4.28571428571429,6.74641148325359,10,0,43.3850669454385,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2008-08-26",2008,"ABR, Inc.","02O",47.711746,-122.052054
"3","02O-08R3",21,4,4,3,9,5,3,50,40,34,98,40.8163265306122,34.6938775510204,51.0204081632653,2.38095238095238,4.28571428571429,4.28571428571429,2.5,2.35294117647059,3.75,4.28571428571429,8.15252416756176,10,0.507831039392501,42.5013916215201,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2008-08-26",2008,"ABR, Inc.","02O",47.711746,-122.052054
"4","02O/09R1",25,4,4,5,10,5,3,127,64,45,204,31.3725490196078,22.0588235294118,62.2549019607843,4.28571428571429,4.28571428571429,4.28571428571429,5,2.94117647058824,3.75,4.28571428571429,5.19607843137255,10,2.70405836753306,46.734170412351,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2009-08-17",2009,"ABR, Inc.","02O",47.711746,-122.052054
"5","02O/09R2",24,5,5,4,10,4,3,76,34,30,144,23.6111111111111,20.8333333333333,52.7777777777778,3.80952380952381,5.71428571428571,5.71428571428571,3.75,2.94117647058824,2.5,4.28571428571429,7.69005847953216,9.91666666666667,4.50904392764858,50.8307550682452,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2009-08-17",2009,"ABR, Inc.","02O",47.711746,-122.052054
"6","02O/09R3",18,4,3,2,7,3,2,35,14,9,70,20,12.8571428571429,50,0.952380952380952,4.28571428571429,2.85714285714286,1.25,1.17647058823529,1.25,2.85714285714286,8.42105263157895,5.92857142857143,5.34883720930233,34.3273128100689,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2009-08-17",2009,"ABR, Inc.","02O",47.711746,-122.052054
"7","02O/10-R1",23,5,4,4,8,4,2,93,26,17,135,19.2592592592593,12.5925925925926,68.8888888888889,3.33333333333333,5.71428571428571,4.28571428571429,3.75,1.76470588235294,2.5,2.85714285714286,3.45029239766082,5.7962962962963,5.52110249784668,38.9728732646329,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2010-08-19",2010,"Rhithron Associates, Inc.","02O",47.711746,-122.052054
"8","02O/10-R2",24,4,6,5,11,5,4,74,11,12,124,8.87096774193548,9.67741935483871,59.6774193548387,3.80952380952381,4.28571428571429,7.14285714285714,5,3.52941176470588,3.75,5.71428571428571,5.87436332767402,4.33870967741935,7.93698424606151,51.3818499682417,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2010-08-19",2010,"Rhithron Associates, Inc.","02O",47.711746,-122.052054
"9","02O/10-R3",23,4,5,2,9,6,2,60,45,40,119,37.8151260504202,33.6134453781513,50.4201680672269,3.33333333333333,4.28571428571429,5.71428571428571,1.25,2.35294117647059,5,2.85714285714286,8.31048208757187,10,1.20578463943717,44.3096840939558,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2010-08-19",2010,"Rhithron Associates, Inc.","02O",47.711746,-122.052054
"10","02O_11_R1",27,4,5,5,9,6,2,249,91,68,381,23.8845144356955,17.8477690288714,65.3543307086614,5.23809523809524,4.28571428571429,5.71428571428571,5,2.35294117647059,5,2.85714285714286,4.38043928719437,8.4238845144357,4.44546175914057,47.6979648324793,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2011-08-26",2011,"Rhithron Associates, Inc.","02O",47.711746,-122.052054
