"","SiteName","SampleName","SampleDate","US + RB + LB + DS"
"1","08WES0622","08WES0622_17",2017-07-25 08:30:00,56
"2","08WES0905","08WES0905_17",2017-07-25 10:35:00,67.75
"3","08WES0903","08WES0903_17",2017-07-25 13:29:59,56.6666666666667
"4","09NEW2102","09NEW2102_17",2017-07-26 08:59:59,61.25
"5","08EVA3637","08EVA3637_17",2017-07-26 10:29:59,68
"6","08BEA3474","08BEA3474_17",2017-07-27 10:29:59,13.5
"7","08WES1178","08WES1178_17",2017-07-27 11:00:00,60.6666666666667
"8","08WES0629","08WES0629_17",2017-07-27 13:15:00,51.75
"9","08CED5046","08CED5046_17",2017-07-31 09:15:00,60.3333333333333
"10","08LIT2585","08LIT2585_17",2017-07-31 10:45:00,47
"11","08CED5032","08CED5032_17",2017-07-31 11:45:00,54.3333333333333
"12","08CED4975","08CED4975_17",2017-07-31 14:00:00,56.6666666666667
"13","08LIT2682","08LIT2682_17",2017-07-31 14:30:00,37.75
"14","08LIT2781","08LIT2781_17",2017-08-01 10:15:00,63.6666666666667
"15","09SOO1209","09SOO1209_17",2017-08-01 11:00:00,66
"16","08LIT2692","08LIT2692_17",2017-08-01 13:00:00,64.5
"17","09SOO1134","09SOO1134_17",2017-08-02 09:30:00,62.75
"18","09SOO1022","09SOO1022_17",2017-08-02 11:14:59,60
"19","08EAS2631","08EAS2631_17",2017-08-03 08:45:00,58.5
"20","VashShing","VashShing_17",2017-08-03 08:59:59,62.6666666666667
"21","09COV1864","09COV1864_17",2017-08-03 09:15:00,61.75
"22","08EAS2058","08EAS2058_17",2017-08-03 11:00:00,59.25
"23","28A","28A_17",2017-08-03 11:00:00,53.25
"24","09COV1165","09COV1165_17",2017-08-03 12:30:00,49.75
"25","07RAG002867","07RAG002867_17",2017-08-06 23:59:59,50.25
"26","07RAG043443","07RAG043443_17",2017-08-06 23:59:59,42
"27","07RAG004615","07RAG004615_17",2017-08-07 08:59:59,52
"28","09MID1958","09MID1958_17",2017-08-07 13:29:59,54.6666666666667
"29","07PAT001415","07PAT001415_17",2017-08-07 13:45:00,63
"30","07HAR070087","07HAR070087_17",2017-08-08 10:29:59,58.6666666666667
"31","08NOR1370","08NOR1370_17",2017-08-08 11:30:00,42.75
"32","09SOO0943","09SOO0943_17",2017-08-08 11:59:59,37.6666666666667
"33","08NOR1362","08NOR1362_17",2017-08-08 12:44:59,45.6666666666667
"34","07TKL072439","07TKL072439_17",2017-08-09 09:15:00,60.3333333333333
"35","08ISS4730","08ISS4730_17",2017-08-09 10:00:00,62.3333333333333
"36","08CED4192","08CED4192_17",2017-08-10 09:44:59,59
"37","08NOR1750","08NOR1750_17",2017-08-10 10:45:00,49.6666666666667
"38","08CED2898","08CED2898_17",2017-08-10 12:15:00,61.3333333333333
"39","08NOR1756","08NOR1756_17",2017-08-10 12:44:59,60.75
"40","07STL080295","07STL080295_17",2017-08-10 14:00:00,20.6666666666667
"41","08CED2518","08CED2518_17",2017-08-10 14:00:00,66.5
"42","08EAS2546","08EAS2546_17",2017-08-14 10:00:00,66
"43","07LMS026663","07LMS026663_17",2017-08-14 10:15:00,5
"44","08EAS2272","08EAS2272_17",2017-08-14 12:15:00,61
"45","07TKL047047","07TKL047047_17",2017-08-14 13:15:00,51.6666666666667
"46","07LMS033235","07LMS033235_17",2017-08-14 14:14:59,47
"47","07PAT231079","07PAT231079_17",2017-08-15 08:59:59,67.25
"48","08ISS3958","08ISS3958_17",2017-08-15 09:44:59,67.6666666666667
"49","08LAK3699","08LAK3699_17",2017-08-15 11:59:59,62.5
"50","08EAS2446","08EAS2446_17",2017-08-15 12:44:59,54.5
"51","08LAK3879","08LAK3879_17",2017-08-15 13:45:00,53.75
"52","09DEE2163","09DEE2163_17",2017-08-16 09:30:00,61.6666666666667
"53","09MID2426","09MID2426_17",2017-08-16 09:30:00,60.5
"54","09MID1817","09MID1817_17",2017-08-16 11:59:59,62
"55","09DEE2294","09DEE2294_17",2017-08-16 12:44:59,54.3333333333333
"56","07LNT130827","07LNT130827_17",2017-08-16 13:00:00,2.5
"57","09LOW0751","09LOW0751_17",2017-08-17 01:15:00,63.75
"58","07HAR025863","07HAR025863_17",2017-08-17 09:30:00,53
"59","09COV1418","09COV1418_17",2017-08-17 10:15:00,45
"60","09DEE2211","09DEE2211_17",2017-08-18 09:30:00,63
"61","08NOR2306","08NOR2306_17",2017-08-20 23:59:59,22
"62","08NOR2115","08NOR2115_17",2017-08-21 08:14:59,60.25
"63","08EAS1536","08EAS1536_17",2017-08-21 08:59:59,62.75
"64","08EAS2191","08EAS2191_17",2017-08-21 11:45:00,63.5
"65","08BEA3321","08BEA3321_17",2017-08-21 13:29:59,58.5
"66","08SAM0000","08SAM0000_17",2017-08-21 13:45:00,67.25
"67","07RAG022147","07RAG022147_17",2017-08-22 08:59:59,55.25
"68","07CHR070059","07CHR070059_17",2017-08-22 09:30:00,57.6666666666667
"69","08BEA3826","08BEA3826_17",2017-08-22 09:30:00,62
"70","07RAG042787","07RAG042787_17",2017-08-22 11:14:59,51.3333333333333
"71","07CHR045515","07CHR045515_17",2017-08-22 11:59:59,43.75
"72","08BEA3914","08BEA3914_17",2017-08-22 13:00:00,62.5
"73","07STL184007","07STL184007_17",2017-08-23 08:59:59,16
"74","09BLA0675","09BLA0675_17",2017-08-23 09:15:00,47.3333333333333
"75","08BEA3312","08BEA3312_17",2017-08-23 10:29:59,62
"76","07SFS011059","07SFS011059_17",2017-08-23 11:14:59,8
"77","09BLA0716","09BLA0716_17",2017-08-23 11:14:59,60
"78","08EVA3813","08EVA3813_17",2017-08-23 11:45:00,67.6666666666667
"79","08SAM3045","08SAM3045_17",2017-08-23 13:00:00,62.25
"80","07SFS041891","07SFS041891_17",2017-08-23 13:29:59,21.3333333333333
"81","09BLA0756","09BLA0756_17",2017-08-23 13:45:00,57.75
"82","08SAM2862","08SAM2862_17",2017-08-24 09:15:00,58.5
"83","07SFS066611","07SFS066611_17",2017-08-24 10:15:00,56
"84","09MID1537","09MID1537_17",2017-08-24 11:30:00,50
"85","07SFS011475","07SFS011475_17",2017-08-24 11:45:00,13.3333333333333
"86","08SAM2865","08SAM2865_17",2017-08-24 11:59:59,59.3333333333333
"87","09MID1374","09MID1374_17",2017-08-24 13:29:59,66.75
"88","07RAG018227","07RAG018227_17",2017-08-24 14:30:00,38.3333333333333
