"","Sample.Code","Site.Code","Visit.Date","Year","x32","DD","wtr_year"
"1","08BEA3312/06","08BEA3312",2006-09-13,"2006",15.05,3190.65000000001,2006
"2","08BEA3312/08","08BEA3312",2008-08-14,"2008",22.15,2350.75000000001,2008
"3","08BEA3312/09","08BEA3312",2009-08-06,"2009",16.3,2370.95,2009
"4","08BEA3312/09-R","08BEA3312",2009-08-06,"2009",16.3,2370.95,2009
"5","08BEA3312/10","08BEA3312",2010-08-25,"2010",20.35,2824.75000000001,2010
"6","08BEA3312_11","08BEA3312",2011-08-15,"2011",17.6,2277.80000000001,2011
"7","08BEA3312_12","08BEA3312",2012-08-14,"2012",21.75,2404.15000000001,2012
"8","08BEA3312_13","08BEA3312",2013-08-21,"2013",18.45,2788,2013
"9","08BEA3312_14","08BEA3312",2014-08-06,"2014",19.75,2532.35,2014
"10","08BEA3312_15","08BEA3312",2015-09-14,"2015",13.25,3607.15000000001,2015
"11","08BEA3312_16","08BEA3312",2016-08-22,"2016",15.7,2980.25000000001,2016
"12","08BEA3312_17","08BEA3312",2017-08-23,"2017",18.65,2648.65,2017
"13","08BEA3312_18","08BEA3312",2018-08-28,"2018",18.6,2908.40000000001,2018
"14","08BEA3312_19","08BEA3312",2019-07-16,"2019",20.9,1991.35,2019
"15","08BEA3312_2002","08BEA3312",2002-09-11,"2002",18.5,2925.90000000001,2002
"16","08BEA3312_2003","08BEA3312",2003-08-07,"2003",18.5,2577.65000000001,2003
"17","08BEA3312_2007","08BEA3312",2007-08-28,"2007",16.5,2830.15000000001,2007
"18","08BEA3321/05","08BEA3321",2005-08-09,"2005",19,2512.45,2005
"19","08BEA3321_14","08BEA3321",2014-08-06,"2014",18.8,2379.25,2014
"20","08BEA3321_16","08BEA3321",2016-08-09,"2016",16.9,2623.90000000001,2016
"21","08BEA3321_17","08BEA3321",2017-08-21,"2017",19.15,2514.3,2017
"22","08BEA3321_18","08BEA3321",2018-09-19,"2018",12.8,3122.85000000001,2018
"23","08BEA3321_19","08BEA3321",2019-10-01,"2019",8.80000000000001,3221.70000000001,2020
"24","08BEA3321_20","08BEA3321",2020-09-21,"2020",15.15,3095.35000000001,2020
"25","08BEA3321_2007","08BEA3321",2007-08-16,"2007",17.3000000000001,2484.35000000001,2007
"26","08BEA3321_21","08BEA3321",2021-09-22,"2021",14.35,3143.45000000001,2021
"27","08BEA3474/10","08BEA3474",2010-08-25,"2010",20.35,2824.75000000001,2010
"28","08BEA3474_11","08BEA3474",2011-09-07,"2011",18.8,2698.70000000001,2011
"29","08BEA3474_12","08BEA3474",2012-09-06,"2012",18.8000000000001,2814.90000000001,2012
"30","08BEA3474_13","08BEA3474",2013-09-12,"2013",22.85,3221.15000000001,2013
"31","08BEA3474_14","08BEA3474",2014-08-06,"2014",19.75,2532.35,2014
