"","SiteName","Year","SampleName","SampleDate","WettedWidth","BankfulWidth","expr1","D50","RiffleDepth","pools_per_ft","LargeWoodyDebrisNumber","speed","sand","X.x","US...RB...LB...DS","X.y","PctDev_Basins_","X.x","PctDev_buffers_","X.y","per_Agricultural_","per_Barren.Land_","per_Emergent.Herbaceous.Wetlands_","per_Forest_","per_Grassland.Herbaceous_","per_Open.Spaces.Developed_","per_Open.Water_","per_Perennial.Snow.Ice_","per_Scrub.Shrub_","per_Urban_","per_Woody.Wetlands_","X","per_Agricultural_RB","per_Barren.Land_RB","per_Emergent.Herbaceous.Wetlands_RB","per_Forest_RB","per_Grassland.Herbaceous_RB","per_Open.Spaces.Developed_RB","per_Open.Water_RB","per_Perennial.Snow.Ice_RB","per_Scrub.Shrub_RB","per_Urban_RB","per_Woody.Wetlands_RB","Acres","STR_LVL"
"1","02O","2008","02O_08","8/26/2008 0:00:00",2.4,7.556666667,0.317600353,1.55815561610889,2.166666667,0.071428571,0,3.53691705709284,54.5454545454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","02O","2009","02O_09","8/17/2009 0:00:00",3.413333333,7.943333333,0.429710449,12.883922655594,2.333333333,0,0,1.21652610783465,42.9906542056075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","02O","2010","02O_10","8/19/2010 0:00:00",3.806666667,7.666666667,0.496521739,2.37841423000544,2.833333333,0.01,2,0.908641637782897,49.5495495495495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","02O","2012","02O_12","8/7/2012 0:00:00",2.25,4.913333333,0.457937585,14.6720646912747,2.833333333,0,6,1.17798357705617,10.4347826086957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","02O","2015","02O_15","8/31/2015 0:00:00",4.45,6.55,0.679389313,19.1590878819996,1.5625,0.026845638,2,1.3223118395069,14.8148148148148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","02P","2008","02P_08","8/26/2008 0:00:00",5,7.333333333,0.681818182,9.56698619235313,2.666666667,0.034965035,3,1.28789850801145,24.5454545454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","02P","2009","02P_09","8/17/2009 0:00:00",3.276666667,6.86,0.477648202,9.03594616694011,2.666666667,0.014814815,1,1.43963700079291,15.2380952380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","02P","2010","02P_10","8/19/2010 0:00:00",4.6,7.69,0.598179454,11.1144062516023,3.5,0.009615385,1,1.11271947046169,10.6796116504854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","02P","2012","02P_12","8/14/2012 0:00:00",5.3,8.433333333,0.628458498,4.90710381974443,1.666666667,0,6,1.38879861258257,35.8778625954198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","02P","2015","02P_15","8/31/2015 0:00:00",5.675,7.825,0.725239617,9.83059870579879,1.357142857,0.009727626,4,1.1797690008108,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
