"","Sample.Code","Site.Code","Visit.Date","Year","FSBI"
"1","09DEE2208/06-R","09DEE2208","2006-08-17",2006,155
"2","08CED4192_17","08CED4192","2017-08-10",2017,125
"3","08ISS4730/06","08ISS4730","2006-08-15",2006,125
"4","08LAK3627/02","08LAK3627","2002-09-18",2002,55
"5","09MID1817/09-R","09MID1817","2009-08-25",2009,20
"6","08LIT2781_17","08LIT2781","2017-08-01",2017,55
"7","08SAM2865/08","08SAM2865","2008-09-03",2008,25
"8","08EVA3637/09","08EVA3637","2009-08-04",2009,20
"9","09NEW2102_19","09NEW2102","2019-10-03",2019,85
"10","09MID1374_20","09MID1374","2020-07-29",2020,55
"11","08NOR1362_18","08NOR1362","2018-09-13",2018,55
"12","08ISS4735_16","08ISS4735","2016-08-03",2016,135
"13","08BEA3737/08","08BEA3737","2008-08-13",2008,55
"14","09DEE2208_2003","09DEE2208","2003-08-18",2003,135
"15","09COV1862_14","09COV1862","2014-08-11",2014,25
"16","09DEE2294/06","09DEE2294","2006-08-17",2006,105
"17","08ISS4724_21","08ISS4724","2021-07-14",2021,115
"18","08CED2518_18","08CED2518","2018-08-01",2018,25
"19","08EAS2272/05","08EAS2272","2005-08-16",2005,15
"20","08SAM3045_17","08SAM3045","2017-08-23",2017,30
"21","08LIT2781_12","08LIT2781","2012-08-22",2012,85
"22","08CED4192_14","08CED4192","2014-09-03",2014,125
"23","09DEE2208_19","09DEE2208","2019-08-28",2019,145
"24","08EAS2540_17","08EAS2540","2017-07-20",2017,45
"25","09NEW2128_14","09NEW2128","2014-08-12",2014,120
"26","08CED5046/10","08CED5046","2010-08-26",2010,110
"27","09NEW2102/09-R1","09NEW2102","2009-09-24",2009,110
"28","08WES1178_2002","08WES1178","2002-09-12",2002,5
"29","09LOW0751_2003","09LOW0751","2003-08-06",2003,60
"30","Miller_SWSSD_17","Miller_SWSSD","2017-09-13",2017,15
"31","08CED5046_19","08CED5046","2019-07-31",2019,185
"32","08SAM0000_14","08SAM0000","2014-08-21",2014,10
"33","09NEW2151_2003R1","09NEW2151","2003-09-25",2003,165
"34","09MID1374_17","09MID1374","2017-08-24",2017,65
"35","09JEN1318_21","09JEN1318","2021-08-02",2021,45
"36","09SOO1130_13","09SOO1130","2013-08-14",2013,145
"37","08LAK2827/10","08LAK2827","2010-09-16",2010,25
"38","08LAK3540/10","08LAK3540","2010-09-16",2010,15
"39","08EVA3637_17","08EVA3637","2017-07-26",2017,35
"40","09DEE2294Duplicate_2003","09DEE2294","2003-09-20",2003,125
"41","09LOW0325/05","09LOW0325","2005-08-24",2005,10
"42","08EVA3642/08","08EVA3642","2008-08-20",2008,35
"43","09MID1374_2002","09MID1374","2002-08-05",2002,55
"44","09BLA0768_14","09BLA0768","2014-08-19",2014,30
"45","09LOW0751_14","09LOW0751","2014-08-11",2014,50
"46","09DEE2294_13","09DEE2294","2013-08-21",2013,190
"47","08BEA3321_21","08BEA3321","2021-09-22",2021,60
"48","09MIL0340_20","09MIL0340","2020-07-22",2020,25
"49","09SOO1022/10","09SOO1022","2010-09-20",2010,75
"50","09COV1862/09","09COV1862","2009-08-31",2009,25
"51","09NEW2102_2003","09NEW2102","2003-08-15",2003,95
"52","08CED2433/08","08CED2433","2008-08-18",2008,15
"53","08BEA3747_2003","08BEA3747","2003-08-07",2003,50
"54","08EVA3642_15","08EVA3642","2015-09-01",2015,45
"55","08ISS4884_14","08ISS4884","2014-08-14",2014,115
"56","08SAM1914_18","08SAM1914","2018-08-27",2018,10
"57","09BLA0675_2003","09BLA0675","2003-08-15",2003,15
"58","09BLA0768_17_R","09BLA0768","2017-07-26",2017,30
"59","09MIL0340/05","09MIL0340","2005-09-14",2005,15
"60","08ISS4884_19","08ISS4884","2019-07-29",2019,115
"61","08CED2711_17_R","08CED2711","2017-09-21",2017,20
"62","09JEN1318/08","09JEN1318","2008-08-06",2008,15
"63","09BLA0771_21","09BLA0771","2021-09-13",2021,15
"64","09SOO1134_18","09SOO1134","2018-08-16",2018,125
"65","08LIT2602_13","08LIT2602","2013-08-07",2013,35
"66","08ISS4735_15","08ISS4735","2015-09-10",2015,115
"67","08EVA3640_14","08EVA3640","2014-08-18",2014,45
"68","09NEW2128_18","09NEW2128","2018-09-27",2018,85
"69","08NOR1362_19","08NOR1362","2019-08-06",2019,55
"70","09BLA0756_15","09BLA0756","2015-08-19",2015,5
"71","08SAM2855/06","08SAM2855","2006-08-09",2006,25
"72","08LIT2585_2003","08LIT2585","2003-08-05",2003,20
"73","08LIT2682_14","08LIT2682","2014-09-11",2014,35
"74","08ISS4724_16","08ISS4724","2016-09-21",2016,90
"75","08SAM3047_17","08SAM3047","2017-07-27",2017,35
"76","09BLA0771_19","09BLA0771","2019-09-19",2019,25
"77","08SAM1914_17","08SAM1914","2017-09-14",2017,10
"78","08LAK3540_19","08LAK3540","2019-08-29",2019,25
"79","08WES1178/06","08WES1178","2006-08-09",2006,0
"80","09BLA0772_17","09BLA0772","2017-08-29",2017,10
"81","09NEW1657_20","09NEW1657","2020-10-01",2020,65
"82","08BEA3826_16","08BEA3826","2016-08-10",2016,85
"83","08BEA3826/10","08BEA3826","2010-08-25",2010,65
"84","08BEA3737_20","08BEA3737","2020-07-21",2020,35
"85","08SAM0000/06","08SAM0000","2006-08-09",2006,5
"86","09MID1958_14_R","09MID1958","2014-08-12",2014,145
"87","09DEE2163/08","09DEE2163","2008-08-19",2008,105
"88","09SOO1022_21","09SOO1022","2021-08-04",2021,70
"89","08LIT2602_2003","08LIT2602","2003-08-06",2003,40
"90","09JEN1357_21","09JEN1357","2021-08-02",2021,20
"91","08EVA3640_20","08EVA3640","2020-08-04",2020,50
"92","09MIL0390_20","09MIL0390","2020-07-22",2020,10
"93","08EVA3813/06","08EVA3813","2006-08-28",2006,60
"94","08EAS2058_2003","08EAS2058","2003-08-08",2003,70
"95","08LAK3879/06","08LAK3879","2006-08-16",2006,45
"96","08BEA3737_18","08BEA3737","2018-09-19",2018,55
"97","08NOR1370_11","08NOR1370","2011-08-15",2011,5
"98","08EAS2540/09","08EAS2540","2009-08-03",2009,10
"99","08EVA3642_2002R2","08EVA3642","2002-09-25",2002,20
"100","09MID1374/06","09MID1374","2006-08-16",2006,75
"101","09SOO0943_21","09SOO0943","2021-08-12",2021,100
"102","08CED2518_14","08CED2518","2014-08-07",2014,35
"103","08SAM3045_19_R","08SAM3045","2019-09-18",2019,25
"104","08LIT2682/09","08LIT2682","2009-08-10",2009,75
"105","09COV1165_12","09COV1165","2012-08-28",2012,120
"106","08EAS1536_15","08EAS1536","2015-08-11",2015,35
"107","09DUW0277_12","09DUW0277","2012-09-17",2012,5
"108","08WES0903_14","08WES0903","2014-09-02",2014,30
"109","08ISS4884_11","08ISS4884","2011-08-29",2011,110
"110","09BLA0716/08","09BLA0716","2008-08-13",2008,5
"111","09MIL0340_14","09MIL0340","2014-09-04",2014,15
"112","08LIT2603_16_R","08LIT2603","2016-09-11",2016,45
"113","09SOO1209_11_R","09SOO1209","2011-08-22",2011,40
"114","08CED5032_11","08CED5032","2011-08-17",2011,180
"115","08BEA3321/10","08BEA3321","2010-08-10",2010,50
"116","08LIT2781/09-R","08LIT2781","2009-08-12",2009,80
"117","08EVA3640/10","08EVA3640","2010-08-04",2010,75
"118","08CED2518_20","08CED2518","2020-08-05",2020,15
"119","09NEW2076_11","09NEW2076","2011-09-21",2011,80
"120","09SOO0943/06","09SOO0943","2006-08-31",2006,40
"121","08CED2711_13","08CED2711","2013-07-09",2013,20
"122","08EAS1536_12","08EAS1536","2012-08-22",2012,15
"123","09DUW0091_2002","09DUW0091","2002-08-14",2002,5
"124","08SAM3047_14","08SAM3047","2014-08-20",2014,55
"125","08NOR1370_2002","08NOR1370","2002-09-16",2002,50
"126","09COV1756/06","09COV1756","2006-08-21",2006,105
"127","09NEW2076/05","09NEW2076","2005-08-31",2005,75
"128","08SAM2674_2003","08SAM2674","2003-08-14",2003,5
"129","08LAK3627_11","08LAK3627","2011-08-04",2011,40
"130","09DEE2211_14","09DEE2211","2014-08-19",2014,55
"131","08BEA3650/05","08BEA3650","2005-08-22",2005,40
"132","08SAM2855/10","08SAM2855","2010-09-15",2010,15
"133","08LIT2692/09","08LIT2692","2009-08-12",2009,90
"134","08CED4975_16","08CED4975","2016-08-03",2016,85
"135","08BEA3571_2003","08BEA3571","2003-08-07",2003,25
"136","08WES1340_16","08WES1340","2016-09-08",2016,5
"137","08SAM2862_17","08SAM2862","2017-08-24",2017,50
"138","08NOR1362_14","08NOR1362","2014-08-05",2014,60
"139","08LIT2603_17_R","08LIT2603","2017-09-21",2017,40
"140","08LIT2781_14","08LIT2781","2014-09-02",2014,70
"141","08LAK3540_18","08LAK3540","2018-08-07",2018,20
"142","28A_20","28A","2020-10-05",2020,50
"143","08ISS4294/10","08ISS4294","2010-09-08",2010,105
"144","08LAK2827/06","08LAK2827","2006-08-17",2006,15
"145","08EAS2631_2003","08EAS2631","2003-08-08",2003,85
