"","ID","Acari","Acentrella","Afghanurus","Agapetus","Allocosmoecus","Ameletus","Americorophium","Amiocentrus","Amphipoda","Ampumixis.dispar","Anafroptilum","Anagapetus","Ancylidae","Anisoptera","Antocha.monticola","Apatania","Apataniidae","Arctopsyche","Atherix","Attenella","Austrolimnophila","Baetis","Baetis.alius.group","Baetis.fuscatus.group","Baetis.rhodani.group","Blephariceridae","Brachycentridae","Brachycentrus","Brychius","Caecidotea","Calineuria.californica","Calopteryx","Capniidae","Caudatella","Ceratopogonidae","Ceratopogoninae","Cheilotrichia","Cheumatopsyche","Chironomidae","Chloroperlidae","Cinygma","Cinygmula","Claassenia.sabulosa","Cladocera","Cleptelmis.addenda","Clostoeca","Coenagrionidae","Copepoda","Cordulegaster","Corixidae","Corydalidae","Crangonyctidae","Crangonyx","Cryptochia","Culicidae","Cystobranchus.salmositicus","Dasyhelea","Decapoda","Dicosmoecus","Dicranota","Diphetor.hageni","Dixa","Dixella","Dixidae","Dolichopodidae","Dolophilodes","Doroneuria","Drunella.doddsii","Drunella.flavilinea_coloradensis","Drunella.grandis.group","Drunella.pelosa","Dytiscidae","Ecclisocosmoecus","Ecclisomyia","Empididae","Empididae.Genus.A","Eocosmoecus","Epeorus","Ephemerella.aurivillii","Ephemerella.excrucians.group","Ephemerella.tibialis","Ephemerellidae","Ephydridae","Epiphragma","Erioptera","Erpobdella","Farula","Forcipomyiinae","Gammarus","Gastropoda","Glossiphoniidae","Glossosoma","Glossosomatidae","Glutops","Gnorimosphaeroma","Goera","Goeracea","Goeridae","Gomphidae","Gonomyia","Gumaga","Gyrinidae","Haliplidae","Haliplus","Hemerodromiinae","Heptagenia","Heptageniidae","Hesperoconopa","Hesperoperla.pacifica","Heterlimnius.corpulentus","Heteroplectron","Hexatoma","Hirudinea","Holorusia.hespera","Hyalella","Hydatophylax","Hydraena","Hydraenidae","Hydrobiidae.s.l.","Hydrochus","Hydrophilidae","Hydropsyche","Hydropsychidae","Hydroptila","Hydrozoa","Ironodes","Isoperla","Isopoda","Kathroperla","Labiobaetis","Lara","Lepidoptera","Lepidostoma","Leptoceridae","Leuctridae","Limnephilidae","Limnephiloidea","Limnichidae","Limnophila","Limonia","Lipsothrix","Lymnaeidae","Malenka","Margaritifera.falcata","Maruina","Matriella.teresa","Megarcys","Meringodixa","Micrasema","Molophilus","Muscidae","Mystacides","Narpus","Neaviperla_.Suwallia","Nemata","Nematomorpha","Nemouridae","Neophylax","Neothremma","Ochthebius","Oligochaeta","Oligophlebodes","Onocosmoecus","Optioservus","Oreogeton","Ormosia","Ostracoda","Oxyethira","Pacifastacus","Palaemonidae","Paraleptophlebia.Bicornuta.Group","Paraleptophlebia_.Neoleptophlebia","Paraperla","Parapsyche","Parthina","Pedicia","Peltodytes","Perlidae","Perlinodes.aurea","Philopotamidae","Physidae","Pilaria","Planorbidae","Plecoptera","Pleuroceridae.s.l.","Plumiperla","Polycentropus.s.l.","Polychaeta","Prostoma","Protanyderus","Protoptila","Psephenidae","Psychodidae","Psychoglypha","Psychomyia","Pteronarcella","Pteronarcyidae","Pteronarcys","Ptilodactylidae","Ptychoptera","Ramellogammarus","Rhabdomastix","Rhithrogena","Rhyacophila","Sciomyzidae","Scirtidae","Serratella.levis_micheneri","Sialis","Simuliidae","Skwala","Soyedina","Sphaeriidae","Staphylinidae","Stratiomyidae","Stygobromus","Sweltsa","Syrphidae","Tabanidae","Taeniopterygidae","Thaumaleidae","Timpanoga.hecuba","Tipula","Tipulidae.s.l.","Trepaxonemata","Trichoptera","Tricorythodes","Ulomorpha","Unionidae","Visoka.cataractae","Wormaldia","Yoraperla","Zaitzevia","Zapada","Zapada.cinctipes","Zapada.columbiana","Zapada.frigida","Zapada.Oregonensis.Group","Clinocerinae","Kogotus.Rickera.Cultus","Uenoidae..s.l.","Site.Code","Visit.ID","Project","Stream.or.River","Subbasin","WRIA.Number","Visit.Date","Year","Basin","month","year","por","Sample.Code"
"4","08BEA3312/06",2.22222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3333333333333,0,13.6111111111111,0,0,0,16.6666666666667,0,0,0,0,0,0,0,2.22222222222222,0,0,0,0,0,0,0.555555555555556,0.555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0.555555555555556,0,0,0,0,3.33333333333333,0,0,0,0,0,0,0,0,0,0,0,31.6666666666667,0,0,0,9.72222222222221,0,0,0,0,2.77777777777778,0,1.11111111111111,0,0,0,0,0,0,0,0,0,0.555555555555556,0,0,0,0,0,5,0,0,0,3.88888888888889,0,7.77777777777778,0,0.555555555555556,0,0,0,7.22222222222222,0,0,8.88888888888889,0,0,0,0,0,0,0,31.6666666666667,0,0.555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6666666666667,0,0,0,0,0.555555555555556,5.55555555555555,0,2.22222222222222,0,0,0,48.3333333333333,0,0,0,0,0,0.555555555555556,0,0,0,0,0,0,0,10.5555555555556,0,0,0,33.3333333333333,0,0,0,0,0,0,"08BEA3312",83,"Ambient Monitoring","Monticello Creek","Bear Creek Subbasin",8,"2006-09-13",2006,"Sammamish River Basin","09","2006",17,"08BEA3312/06"
"5","08BEA3312/08",2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0.4,0,0,50.4,0,3.6,0,0,0,2,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,1.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,27.6,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,5.2,0,0,5.2,0,0,0,0,0,0,0,3.2,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3.2,2.4,0,3.2,0,0,0,35.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,42.8,0,0,0,0,0,0,"08BEA3312",649,"Ambient Monitoring","Monticello Creek","Bear Creek Subbasin",8,"2008-08-14",2008,"Sammamish River Basin","08","2008",17,"08BEA3312/08"
"6","08BEA3312/09",1.81818181818182,0,0,0,0,0,0,0,0,0,0,0,0.909090909090909,0,0,0,0,0,0,0,0,0,0,0,8.18181818181818,0,0,0,0,0,0,0,0,0,0,0.454545454545455,0,0,18.1818181818182,0,13.1818181818182,0,0,0,1.36363636363636,0,0,0,0,0,0,0,0.909090909090909,0,0,0,0,0,0.454545454545455,1.36363636363636,0,1.81818181818182,0,0,0,0,0,0,0,0,0,0.909090909090909,0,0,0,0,0,0,0,0,0.454545454545455,0,0,0,0,0,0,0,0,0,0,6.36363636363636,0,0,0,0,0,0,0,0,0,0,0,0,2.27272727272727,0,0,0,0.454545454545455,2.27272727272727,0,0,0,0,0,0,0,0,0,0,0,25.9090909090909,0,0,0,0.454545454545455,0,0,0,0,0.909090909090909,0,0,0,0,0,0,0,0.454545454545455,0,0,0,6.81818181818182,0,0,0,0,0,0,0,0,0,3.63636363636364,0,0.454545454545455,0,0,0.909090909090909,0,0,50,0,0,7.72727272727273,0,0,0,0,0,0,0,11.8181818181818,0,0.909090909090909,0,0,0,0,0,0,0.909090909090909,0,0.909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72727272727273,0,0,0,0,1.81818181818182,6.36363636363636,0,13.1818181818182,0,0,0,23.1818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36363636363636,0,0,0,12.2727272727273,0,0,0.909090909090909,0,0,0,"08BEA3312",2554,"Ambient Monitoring","Monticello Creek","Bear Creek Subbasin",8,"2009-08-06",2009,"Sammamish River Basin","08","2009",17,"08BEA3312/09"
"7","08BEA3312/10",0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,144.166666666667,0,6.66666666666667,0,0,0,7.88461538461539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,0,0,0,0,0,0,0,0,0.876068376068376,0,1.66666666666667,0,0,0,0,0,0,0,0,0,1.89781021897811,0,0,0,0,0,0,0,0,0,9.63675213675214,0,7.5,0,0,0,0,0,3.33333333333333,0,0,15.7692307692308,0,0,0,0,0,0,0,4.16666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.16666666666667,0,0,0,0,5,6.66666666666667,0,2.5,0,0,0,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,128.102189781022,0,0,0,0,0,0,"08BEA3312",2991,"Ambient Monitoring","Monticello Creek","Bear Creek Subbasin",8,"2010-08-25",2010,"Sammamish River Basin","08","2010",17,"08BEA3312/10"
"8","08BEA3312_11",3.75,0,10.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.375,0,0,0,0,0,0,0,0,0,0,0,0,0,117.5,0,0,0,0,0,0,0,0,0,0,0,0,0,14.375,0,0,0,0,0,0,0.625,0,8.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.125,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,4.72826086956522,0,0,0,0,0,0,0,0,0,0,0,25.7638888888889,0,0,0,0.625,0,0,0,0,3.15217391304348,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,0,0,0,0,0,0,1.57608695652174,0,0,0,0,0,0,0,16.875,0,0,8.66847826086956,0,0,0,0,0,0,0,3.75,0,7.36111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.625,0,0,0,0,1.25,3.125,0,0.625,0,0,0,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,51,0,0,2.125,0,3.125,0,"08BEA3312",3721,"Ambient Monitoring","Monticello Creek","Bear Creek Subbasin",8,"2011-08-15",2011,"Sammamish River Basin","08","2011",17,"08BEA3312_11"
"9","08BEA3312_12",1.60714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,113.571428571429,0,5.89285714285714,0,0,0,7.79336734693877,0,0,0,0,0,0,0,10.1785714285714,0,0,0,0,0,0,0,0,0.535714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35714285714286,0,0,0,0,0,0,0,0,4.19642857142857,0,0,0,0,0,0,0,0,0,0,0.535714285714286,3.21428571428571,0,0,0,0,0,0,0,0,0,0.599489795918368,0,0.535714285714286,0,0,0,0,0,15,0,0,12.5892857142857,0,0,0,0,0,0,0,1.60714285714286,0,0,0,0,0,0,0,0,0,0,1.07142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3571428571429,0,0,0,0,0.535714285714286,3.75,0,16.0714285714286,0,0,0,9.10714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.1428571428571,0,0,0,0,1.07142857142857,0,"08BEA3312",4674,"Ambient Monitoring","Monticello Creek","Bear Creek Subbasin",8,"2012-08-14",2012,"Sammamish River Basin","08","2012",17,"08BEA3312_12"
"10","08BEA3312_13",1.80555555555556,0,0,0,0,0,0,0,0.277777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694444444444444,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0,0,8.05555555555556,0,1.11111111111111,0,0,0,0.763888888888888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277777777777778,0,0,0,0,0,0.138888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0.694444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22222222222222,0,0,0,0,0,0,0,0,0.763888888888888,0,0.138888888888889,0,0,0,0,0,0,0,0,0,0.138888888888889,0,0,0,0,0,0,0,0,0,1.52777777777778,0,4.58333333333333,0,0,0,0,0,1.94444444444444,0,0,22.9166666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44444444444444,0,0,0,0,0,3.61111111111111,0,3.47222222222222,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"08BEA3312",5659,"Ambient Monitoring","Monticello Creek","Bear Creek Subbasin",8,"2013-08-21",2013,"Sammamish River Basin","08","2013",17,"08BEA3312_13"
"11","08BEA3312_14",2.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78125,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15625,0,1.40625,0,0,0,0.671713917525773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09375,0,0.15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09375,0,0,0,0,0,0,0,0,0,0,0,0,1.875,0,0,0,0,1.11952319587629,0,0,0,0,0,0,0,0,0,0,0,4.0625,0,0,0,0,0,0,0,0,0.895618556701031,0,0,0,0,0,0,0,0,0,0,0,0.546875,0,0,0,0,0,0,0,0,0,2.01514175257732,0,0.9375,0,0,0,0,0,2.8125,0,0,17.0167525773196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15625,0,0,0,18.125,0,0,0,0,0.625,7.33125,0,0.46875,0,0,0,10.15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0.546875,0,0,0,0.15625,0.6375,0,"08BEA3312",7280,"Ambient Monitoring","Monticello Creek","Bear Creek Subbasin",8,"2014-08-06",2014,"Sammamish River Basin","08","2014",17,"08BEA3312_14"
"12","08BEA3312_15",1.40625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.625,0,0,0,0,0,0,0,0,0,0,0.46875,0,0,58.59375,0,6.09375,4.21875,0,0,0.46875,0,0,0,0,0,0,0,1.40625,0,0,0,0,0,0,1.40625,1.40625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09375,0,0,0,0,0,0,0.46875,0,0,0,0,0,0.5859375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.71875,0,0,0.46875,1.875,0,0,0,0,1.875,0,0,0,0,0.46875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40625,0,1.875,0,0,0,0,0,10.3125,0,0,28.59375,0,0,0,0,0,0,0,19.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21875,0,0,0,0,7.96875,1.40625,0,1.875,0,0,0,7.96875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0,38.90625,0,0,2.8125,1.7578125,1.40625,0,"08BEA3312",8071,"Ambient Monitoring","Monticello Creek","Bear Creek Subbasin",8,"2015-09-14",2015,"Sammamish River Basin","09","2015",17,"08BEA3312_15"
"13","08BEA3312_16",2.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,1.07142857142857,0,0,45,0,6.83035714285714,0,0,0,0.550193050193051,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0.535714285714286,0,1.60714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535714285714286,0,0,0,1.07142857142857,0,0,0,0,0,0,0,0,0,0,0,0,4.28571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.30519480519481,0,0,0,2.27678571428571,0,0,0,0,2.2007722007722,0,0,0,0,0,0,0,0,0,0,0,7.73936170212766,0,0,0,0,0,0,0,0,0,4.40154440154441,0,3.75,0,0,0,0,0,19.8214285714286,0,0,33.561776061776,0,0,0,0,0,0,0,2.67857142857143,0,0.730519480519481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0357142857143,0,0,0,0,40.7142857142857,0.535714285714286,0,0,0,0,0,5.89285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.9080547112462,0,0,3.31686930091185,0,0,0,"08BEA3312",8704,"Ambient Monitoring","Monticello Creek","Bear Creek Subbasin",8,"2016-08-22",2016,"Sammamish River Basin","08","2016",17,"08BEA3312_16"
