"","SiteName","SampleDate","LargeWoodyDebrisNumber","SampleName"
"1","08WES0622",2017-07-25 08:30:00,2,"08WES0622_17"
"2","08BEA3571",2017-07-24 12:15:00,4,"08BEA3571_17"
"3","09COV1756",2017-07-26 11:59:59,9,"09COV1756_17"
"4","09COV1862",2017-07-26 14:00:00,12,"09COV1862_17"
"5","09JEN1357",2017-07-30 23:59:59,7,"09JEN1357_17"
"6","09JEN1318",2017-07-31 11:00:00,2,"09JEN1318_17"
"7","08EAS1964",2017-08-01 13:45:00,15,"08EAS1964_17"
"8","08WES0903",2017-07-25 13:29:59,21,"08WES0903_17"
"9","08WES0905",2017-07-25 10:35:00,0,"08WES0905_17"
"10","09NEW2076",2017-08-29 11:59:59,4,"09NEW2076_17"
"11","08BEA3826",2017-08-22 09:30:00,17,"08BEA3826_17"
"12","09SOO1209",2017-08-01 11:00:00,10,"09SOO1209_17"
"13","BSE_8_268hAveSE",2017-08-30 13:45:00,0,"BSE_8_268hAveSE_17"
"14","BSE_1_MudMtnRd",2017-08-30 11:14:59,11,"BSE_1_MudMtnRd_17"
"15","09BLA0716",2017-08-23 11:14:59,2,"09BLA0716_17"
"16","09DEE2208",2017-08-29 09:15:00,18,"09DEE2208_17"
"17","09BLA0772",2017-08-29 09:15:00,7,"09BLA0772_17"
"18","08CED4192",2017-08-10 09:44:59,22,"08CED4192_17"
"19","08CED2433",2017-08-28 08:30:00,1,"08CED2433_17"
"20","08LAK3540",2017-08-28 11:45:00,8,"08LAK3540_17"
"21","09BLA0817",2017-08-28 14:30:00,6,"09BLA0817_17"
"22","08EAS2546",2017-08-14 10:00:00,2,"08EAS2546_17"
"23","09BLA0756",2017-08-23 13:45:00,7,"09BLA0756_17"
"24","09BLA0675",2017-08-23 09:15:00,0,"09BLA0675_17"
"25","09SOO1134",2017-08-02 09:30:00,9,"09SOO1134_17"
"26","08BEA3914",2017-08-22 13:00:00,10,"08BEA3914_17"
"27","08LAK3627",2017-08-01 11:00:00,9,"08LAK3627_17"
"28","08BEA3474",2017-07-27 10:29:59,1,"08BEA3474_17"
"29","08EAS2631",2017-08-03 08:45:00,9,"08EAS2631_17"
"30","08EAS2058",2017-08-03 11:00:00,21,"08EAS2058_17"
"32","08CED2518",2017-08-10 14:00:00,2,"08CED2518_17"
"33","09MID1958",2017-08-07 13:29:59,9,"09MID1958_17"
"34","09COV1864",2017-08-03 09:15:00,1,"09COV1864_17"
"35","09COV1165",2017-08-03 12:30:00,20,"09COV1165_17"
"36","09COV1418",2017-08-17 10:15:00,15,"09COV1418_17"
"37","09SOO1283",2017-08-02 09:15:00,16,"09SOO1283_17"
"38","07PAT231079",2017-08-15 08:59:59,12,"07PAT231079_17"
"39","08LAK3699",2017-08-15 11:59:59,6,"08LAK3699_17"
"40","09SOO1130",2017-08-02 00:15:00,73,"09SOO1130_17"
"41","09MID1817",2017-08-16 11:59:59,10,"09MID1817_17"
"42","08ISS4573",2017-08-02 08:59:59,0,"08ISS4573_17"
"43","08ISS4884",2017-08-02 13:00:00,10,"08ISS4884_17"
"44","08SAM2674",2017-09-18 09:15:00,5,"08SAM2674_17"
"45","08BEA3650",2017-09-18 11:00:00,3,"08BEA3650_17"
"46","08BEA3737",2017-09-18 00:44:59,1,"08BEA3737_17"
"47","WalkerPreserve",2017-09-13 11:30:00,1,"WalkerPreserve_17"
"48","08CED4975",2017-07-31 14:00:00,14,"08CED4975_17"
"49","08CED2711",2017-09-21 10:15:00,14,"08CED2711_17"
"50","07RAG004615",2017-08-07 08:59:59,1,"07RAG004615_17"
"51","08LAK3628",2017-09-25 09:15:00,2,"08LAK3628_17"
"52","07LNT075179",2017-09-27 13:15:00,23,"07LNT075179_17"
"53","Miller_SWSSD",2017-09-13 13:00:00,8,"Miller_SWSSD_17"
"54","08SAM1914",2017-09-14 08:45:00,6,"08SAM1914_17"
"55","07SFS009443",2017-09-11 13:45:00,12,"07SFS009443_17"
"57","08SAM3045",2017-08-23 13:00:00,0,"08SAM3045_17"
"58","07SFS041891",2017-08-23 13:29:59,2,"07SFS041891_17"
"59","07SFS011059",2017-08-23 11:14:59,1,"07SFS011059_17"
"60","08SAM2865",2017-08-24 11:59:59,2,"08SAM2865_17"
"61","07LMS093027",2017-09-05 09:15:00,10,"07LMS093027_17"
"62","Miller_Cove",2017-09-13 09:15:00,2,"Miller_Cove_17"
"63","09DEE2211",2017-08-18 09:30:00,0,"09DEE2211_17"
"64","07GRN022903",2017-09-11 11:30:00,7,"07GRN022903_17"
"65","08LAK3880",2017-09-28 14:00:00,0,"08LAK3880_17"
"66","Evans Creek Trib #0108",2017-08-23 09:30:00,NA,"Evans Creek Trib #0108_17"
"67","07LNT062039",2017-09-27 10:29:59,8,"07LNT062039_17"
"68","07SFS066611",2017-08-24 10:15:00,8,"07SFS066611_17"
"69","07STL184007",2017-08-23 08:59:59,0,"07STL184007_17"
"70","09NEW2128",2017-10-07 12:15:00,0,"09NEW2128_17"
"71","07SFS011475",2017-08-24 11:45:00,9,"07SFS011475_17"
"72","08EAS2272",2017-08-14 12:15:00,3,"08EAS2272_17"
"73","08SAM3047",2017-07-27 11:59:59,20,"08SAM3047_17"
"74","08SAM2855",2017-07-27 09:30:00,2,"08SAM2855_17"
"75","09MID2426",2017-08-16 09:30:00,4,"09MID2426_17"
"76","09NEW1657",2017-09-07 09:30:00,20,"09NEW1657_17"
"77","07RAG043443",2017-08-06 23:59:59,3,"07RAG043443_17"
"78","07LMS026663",2017-08-14 10:15:00,15,"07LMS026663_17"
"79","08LAK3879",2017-08-15 13:45:00,4,"08LAK3879_17"
"80","09SOO1022",2017-08-02 11:14:59,4,"09SOO1022_17"
"81","09NEW2102",2017-07-26 08:59:59,6,"09NEW2102_17"
"82","09DEE2163",2017-08-16 09:30:00,1,"09DEE2163_17"
"83","08LAK2827",2017-08-01 08:30:00,0,"08LAK2827_17"
"84","09MIL0390",2017-07-20 02:00:00,3,"09MIL0390_17"
"86","09SOO0943",2017-08-08 11:59:59,2,"09SOO0943_17"
"87","09BLA0771",2017-07-26 13:00:00,8,"09BLA0771_17"
"88","09LOW0751",2017-08-17 01:15:00,13,"09LOW0751_17"
"90","09MIL0340",2017-07-20 11:30:00,1,"09MIL0340_17"
"91","09DEE2294",2017-08-16 12:44:59,16,"09DEE2294_17"
"92","08ISS4730",2017-08-09 10:00:00,9,"08ISS4730_17"
"93","KNKC",2017-09-14 14:30:00,NA,"KNKC_17"
"94","KNKT-U",2017-09-07 14:59:59,NA,"KNKT-U_17"
"95","SFCC",2017-09-20 13:00:00,NA,"SFCC_17"
"96","TAMA_MOUTH",2017-08-29 11:30:00,NA,"TAMA_MOUTH_17"
"97","PI01",2017-09-05 09:15:00,NA,"PI01_17"
"98","PI02",2017-09-14 12:44:59,NA,"PI02_17"
"99","PIVE1895",2017-09-07 15:30:00,NA,"PIVE1895_17"
"100","VENE",2017-09-07 14:14:59,NA,"VENE_17"
"101","TNMA0609",2017-09-28 12:15:00,NA,"TNMA0609_17"
