"","Sample.Code","Site.Code","Visit.Date","Year","precip","precipdays","wtr_year"
"1","08BEA3312/06","08BEA3312",2006-09-13,"2006",1106.4,182,2006
"2","08BEA3312/08","08BEA3312",2008-08-14,"2008",977.8,197,2008
"3","08BEA3312/09","08BEA3312",2009-08-06,"2009",873.3,156,2009
"4","08BEA3312/09-R","08BEA3312",2009-08-06,"2009",873.3,156,2009
"5","08BEA3312/10","08BEA3312",2010-08-25,"2010",1114.3,186,2010
"6","08BEA3312_11","08BEA3312",2011-08-15,"2011",1177.5,197,2011
"7","08BEA3312_12","08BEA3312",2012-08-14,"2012",1070.5,188,2012
"8","08BEA3312_13","08BEA3312",2013-08-21,"2013",1147,176,2013
"9","08BEA3312_14","08BEA3312",2014-08-06,"2014",924.3,143,2014
"10","08BEA3312_15","08BEA3312",2015-09-14,"2015",977.3,152,2015
"11","08BEA3312_16","08BEA3312",2016-08-22,"2016",1145.3,178,2016
"12","08BEA3312_17","08BEA3312",2017-08-23,"2017",1278.5,181,2017
"13","08BEA3312_18","08BEA3312",2018-08-28,"2018",1151.1,169,2018
"14","08BEA3312_19","08BEA3312",2019-07-16,"2019",754.3,132,2019
"15","08BEA3312_2002","08BEA3312",2002-09-11,"2002",1156.7,194,2002
"16","08BEA3312_2003","08BEA3312",2003-08-07,"2003",853.2,151,2003
"17","08BEA3312_2007","08BEA3312",2007-08-28,"2007",1176.4,194,2007
"18","08BEA3321/05","08BEA3321",2005-08-09,"2005",993.8,179,2005
"19","08BEA3321_14","08BEA3321",2014-08-06,"2014",1033.5,143,2014
"20","08BEA3321_16","08BEA3321",2016-08-09,"2016",1266,181,2016
"21","08BEA3321_17","08BEA3321",2017-08-21,"2017",1425.7,190,2017
"22","08BEA3321_18","08BEA3321",2018-09-19,"2018",1343.6,190,2018
"23","08BEA3321_19","08BEA3321",2019-10-01,"2019",0,0,2020
"24","08BEA3321_20","08BEA3321",2020-09-21,"2020",1322.6,191,2020
"25","08BEA3321_2007","08BEA3321",2007-08-16,"2007",1253.7,197,2007
"26","08BEA3321_21","08BEA3321",2021-09-22,"2021",1116.7,178,2021
"27","08BEA3474/10","08BEA3474",2010-08-25,"2010",1114.3,186,2010
"28","08BEA3474_11","08BEA3474",2011-09-07,"2011",1182.1,199,2011
"29","08BEA3474_12","08BEA3474",2012-09-06,"2012",1070.5,188,2012
"30","08BEA3474_13","08BEA3474",2013-09-12,"2013",1225.8,184,2013
"31","08BEA3474_14","08BEA3474",2014-08-06,"2014",924.3,143,2014
"32","08BEA3474_15","08BEA3474",2015-09-08,"2015",976.2,150,2015
"33","08BEA3474_16","08BEA3474",2016-08-02,"2016",1130.1,176,2016
"34","08BEA3474_17","08BEA3474",2017-07-27,"2017",1274.3,179,2017
"35","08BEA3474_18","08BEA3474",2018-08-14,"2018",1148.8,166,2018
"36","08BEA3474_19","08BEA3474",2019-07-17,"2019",761.6,133,2019
"37","08BEA3474_21","08BEA3474",2021-08-26,"2021",942.1,166,2021
"38","08BEA3478/05","08BEA3478",2005-08-09,"2005",890.5,172,2005
"39","08BEA3478/06","08BEA3478",2006-08-30,"2006",1102.7,179,2006
"40","08BEA3478/08","08BEA3478",2008-08-14,"2008",977.8,197,2008
"41","08BEA3478/09","08BEA3478",2009-08-13,"2009",892.8,160,2009
"42","08BEA3478/10","08BEA3478",2010-08-25,"2010",1114.3,186,2010
"43","08BEA3478_11_R","08BEA3478",2011-08-25,"2011",1182.1,199,2011
"44","08BEA3478_12","08BEA3478",2012-08-14,"2012",1070.5,188,2012
"45","08BEA3478_13","08BEA3478",2013-08-21,"2013",1147,176,2013
"46","08BEA3478_14","08BEA3478",2014-09-03,"2014",979.6,149,2014
"47","08BEA3478_15","08BEA3478",2015-08-26,"2015",916.1,141,2015
"48","08BEA3478_2003","08BEA3478",2003-08-06,"2003",853.2,151,2003
"49","08BEA3478_2007","08BEA3478",2007-08-28,"2007",1176.4,194,2007
"50","08BEA3571/05","08BEA3571",2005-08-15,"2005",957.8,175,2005
"51","08BEA3571/05-R","08BEA3571",2005-08-15,"2005",957.8,175,2005
"52","08BEA3571/06","08BEA3571",2006-08-22,"2006",1162.6,181,2006
"53","08BEA3571/08","08BEA3571",2008-08-11,"2008",1044,199,2008
"54","08BEA3571/09","08BEA3571",2009-08-12,"2009",935.8,158,2009
"55","08BEA3571/10","08BEA3571",2010-08-10,"2010",1181.9,188,2010
"56","08BEA3571_11","08BEA3571",2011-08-03,"2011",1248.2,208,2011
"57","08BEA3571_12","08BEA3571",2012-08-14,"2012",1153.1,195,2012
"58","08BEA3571_13","08BEA3571",2013-09-10,"2013",1300.8,189,2013
"59","08BEA3571_14","08BEA3571",2014-09-03,"2014",1060.6,152,2014
"60","08BEA3571_15","08BEA3571",2015-08-24,"2015",975.9,141,2015
"61","08BEA3571_16","08BEA3571",2016-08-22,"2016",1217.1,179,2016
"62","08BEA3571_17","08BEA3571",2017-07-24,"2017",1349.5,180,2017
