"","Sample.Code","Site.Code","Visit.Date","Overall.Score","Year","SAMPLE_NUMBER","Sand","D50"
"1","08BEA3312/06","08BEA3312",2006-09-13,72.3886608907129,2006,"08BEA3312_06",4.71698113207547,21.8927450114472
"2","08BEA3312/08","08BEA3312",2008-08-14,52.50000428568,2008,"08BEA3312_08",23.0769230769231,15.770611178243
"3","08BEA3312/09","08BEA3312",2009-08-06,82.0568258311076,2009,"08BEA3312_09",5.78512396694215,22.6274169979695
"4","08BEA3312/09-R","08BEA3312",2009-08-06,59.4709853749741,2009,"08BEA3312_09",5.78512396694215,22.6274169979695
"5","08BEA3312/10","08BEA3312",2010-08-25,41.765171878625,2010,"08BEA3312_10",21.0526315789474,24.5114617173756
"6","08BEA3312_11","08BEA3312",2011-08-15,58.9760573343985,2011,"08BEA3312_11",17.6,17.6884636565452
"7","08BEA3312_12","08BEA3312",2012-08-14,43.3491366354783,2012,"08BEA3312_12",6.55737704918033,23.7224616334457
"8","08BEA3312_13","08BEA3312",2013-08-21,48.702558950957,2013,"08BEA3312_13",7.5,22.4684499238859
"9","08BEA3312_14","08BEA3312",2014-08-06,59.0743274053808,2014,"08BEA3312_14",7.5,21.9728651864192
"10","08BEA3312_15","08BEA3312",2015-09-14,61.2475037342558,2015,"08BEA3312_15",10.1486486486486,19.5598190381609
"11","08BEA3312_16","08BEA3312",2016-08-22,54.5166058671531,2016,"08BEA3312_16",7.5,27.0323350917568
"12","08BEA3312_17","08BEA3312",2017-08-23,58.3113749375719,2017,"08BEA3312_17",7.5,23.4060931747367
"13","08BEA3312_18","08BEA3312",2018-08-28,55.1684157955308,2018,"08BEA3312_18",19.75,14.0336044175485
"14","08BEA3312_19","08BEA3312",2019-07-16,52.2635541772809,2019,"08BEA3312_19",25.5526315789474,11.79199905863
"17","08BEA3312_2007","08BEA3312",2007-08-28,61.265854158881,2007,"08BEA3312_07",12.8048780487805,16.7743134874471
"18","08BEA3474/10","08BEA3474",2010-08-25,31.8341196127574,2010,"08BEA3474_10",28.9655172413793,14.3982950959633
"19","08BEA3474_11","08BEA3474",2011-09-07,30.3740255792239,2011,"08EVA3474_11",43.0167597765363,17.6381213329255
"20","08BEA3474_12","08BEA3474",2012-09-06,38.90676588873,2012,"08BEA3474_12",36.697247706422,17.0214934039908
"21","08BEA3474_13","08BEA3474",2013-09-12,55.1392400289369,2013,"08BEA3474_13",25.14,40.5132350540011
"22","08BEA3474_14","08BEA3474",2014-08-06,43.094060676086,2014,"08BEA3474_14",10.0344827586207,53.913013078617
"23","08BEA3474_15","08BEA3474",2015-09-08,41.9426964584283,2015,"08BEA3474_15",7.5,33.5423963297652
"24","08BEA3474_16","08BEA3474",2016-08-02,54.4256743088912,2016,NA,NA,NA
"25","08BEA3474_17","08BEA3474",2017-07-27,37.3680219129675,2017,"08BEA3474_17",10.6612903225806,28.0978236700063
"26","08BEA3474_18","08BEA3474",2018-08-14,45.5812924925172,2018,NA,NA,NA
"27","08BEA3474_19","08BEA3474",2019-07-17,31.7122874445576,2019,"08BEA3474_19",20.4433962264151,30.2285139837962
"28","08BEA3474_21","08BEA3474",2021-08-26,41.2098977493894,2021,"08BEA3474_21",69.7086956521739,3.69404508902119
"29","08BEA3478/05","08BEA3478",2005-08-09,63.2900788222266,2005,"08BEA3478_05",14.018691588785,8.84423182827262
"30","08BEA3478/06","08BEA3478",2006-08-30,44.8095475236198,2006,"08BEA3478_06",18.6274509803922,8.44695504251872
"31","08BEA3478/08","08BEA3478",2008-08-14,67.0181624261292,2008,"08BEA3478_08",25,9.9200323653007
"32","08BEA3478/09","08BEA3478",2009-08-13,65.1175059170955,2009,"08BEA3478_09",52.4271844660194,1.74099340303804
"33","08BEA3478/10","08BEA3478",2010-08-25,61.1151076505674,2010,"08BEA3478_10",46.4912280701754,2.9719885782739
"35","08BEA3478_12","08BEA3478",2012-08-14,64.7429103424315,2012,"08BEA3478_12",30.7692307692308,6.04288754816838
"36","08BEA3478_13","08BEA3478",2013-08-21,71.5141576010249,2013,"08BEA3478_13",44.25,6.15022662915728
"37","08BEA3478_14","08BEA3478",2014-09-03,42.3045098496355,2014,"08BEA3478_14",19.8464566929134,7.73687261166047
"38","08BEA3478_15","08BEA3478",2015-08-26,54.9793881648947,2015,"08BEA3478_15",16.759842519685,10.081668493649
"40","08BEA3478_2007","08BEA3478",2007-08-28,68.7604419164647,2007,"08BEA3478_07",15.3846153846154,7.91642180683572
"41","08BEA3571/05","08BEA3571",2005-08-15,34.640094307817,2005,"08BEA3571_05",22.4299065420561,13.7915651399516
"42","08BEA3571/05-R","08BEA3571",2005-08-15,39.5090167850086,2005,"08BEA3571_05",22.4299065420561,13.7915651399516
"43","08BEA3571/06","08BEA3571",2006-08-22,40.5056993829764,2006,"08BEA3571_06",14.0350877192982,6.90613620557221
"44","08BEA3571/08","08BEA3571",2008-08-11,26.5328811655221,2008,"08BEA3571_08",0.813008130081301,22.4826585980406
"45","08BEA3571/09","08BEA3571",2009-08-12,29.5808873529012,2009,"08BEA3571_09",0.746268656716418,20.5866383681509
"46","08BEA3571/10","08BEA3571",2010-08-10,14.4513121037889,2010,"08BEA3571_10",9.09090909090909,11.3137084989848
"47","08BEA3571_11","08BEA3571",2011-08-03,43.0849964628854,2011,"08BEA3571_11",11,14.3816155711287
"48","08BEA3571_12","08BEA3571",2012-08-14,38.3636788048553,2012,"08BEA3571_12",8.62068965517241,15.2774656625667
"49","08BEA3571_13","08BEA3571",2013-09-10,49.3451658101021,2013,"08BEA3571_13",12.2572815533981,20.1687623783768
