"","taxon","site","mk.tau","mk.Sen","mk.pval","mk.inter","trend","samples","sum.taxon"
"1","Uenoidae..s.l.","08BEA3312",0,0,NA,0,"none",0,0
"2","Uenoidae..s.l.","08BEA3474",0,0,NA,0,"none",0,0
"3","Uenoidae..s.l.","08BEA3478",0,0,NA,0,"none",0,0
"4","Uenoidae..s.l.","08BEA3571",0,0,NA,0,"none",0,0
"5","Uenoidae..s.l.","08BEA3650",0,0,NA,0,"none",0,0
"6","Uenoidae..s.l.","08BEA3737",0,0,NA,0,"none",0,0
"7","Uenoidae..s.l.","08BEA3747",0,0,NA,0,"none",0,0
"8","Uenoidae..s.l.","08BEA3826",0,0,NA,0,"none",0,0
"9","Uenoidae..s.l.","08CED2433",0,0,NA,0,"none",0,0
"10","Uenoidae..s.l.","08CED2711",0,0,NA,0,"none",0,0
"11","Uenoidae..s.l.","08CED2898",0,0,NA,0,"none",0,0
"12","Uenoidae..s.l.","08CED4192",0,0,NA,0,"none",0,0
"13","Uenoidae..s.l.","08CED4975",0,0,NA,0,"none",0,0
"14","Uenoidae..s.l.","08CED5032",0.0661764705882353,0,0.616845662867225,0,"none",3,3.03861996187364
"15","Uenoidae..s.l.","08CED5046",0,0,NA,0,"none",0,0
"16","Uenoidae..s.l.","08EAS1536",0,0,NA,0,"none",0,0
"17","Uenoidae..s.l.","08EAS1964",0,0,NA,0,"none",0,0
"18","Uenoidae..s.l.","08EAS2058",0,0,NA,0,"none",0,0
"19","Uenoidae..s.l.","08EAS2191",0,0,NA,0,"none",0,0
"20","Uenoidae..s.l.","08EAS2272",0,0,NA,0,"none",0,0
"21","Uenoidae..s.l.","08EAS2446",0,0,NA,0,"none",0,0
"22","Uenoidae..s.l.","08EAS2540",0,0,NA,0,"none",0,0
"23","Uenoidae..s.l.","08EAS2546",0,0,NA,0,"none",0,0
"24","Uenoidae..s.l.","08EAS2631",0,0,NA,0,"none",0,0
"25","Uenoidae..s.l.","08EVA3555",0,0,NA,0,"none",0,0
"26","Uenoidae..s.l.","08EVA3637",0,0,NA,0,"none",0,0
"27","Uenoidae..s.l.","08EVA3642",0,0,NA,0,"none",0,0
"28","Uenoidae..s.l.","08EVA3813",0,0,NA,0,"none",0,0
"29","Uenoidae..s.l.","08ISS3877",0,0,NA,0,"none",0,0
"30","Uenoidae..s.l.","08ISS3958",0.0363636363636364,0,0.874367061162892,0,"none",1,1.875
"31","Uenoidae..s.l.","08ISS3962",0,0,NA,0,"none",0,0
"32","Uenoidae..s.l.","08ISS4294",0.0457516339869281,0,0.674173070931269,0,"none",2,8.51481958762887
"33","Uenoidae..s.l.","08ISS4573",0,0,NA,0,"none",0,0
"34","Uenoidae..s.l.","08ISS4724",0,0,1,0,"none",1,0.625
"35","Uenoidae..s.l.","08ISS4730",0,0,NA,0,"none",0,0
"36","Uenoidae..s.l.","08ISS4735",0.111111111111111,0,0.486234321388297,0,"none",1,0.625
"37","Uenoidae..s.l.","08ISS4748",0,0,NA,0,"none",0,0
"38","Uenoidae..s.l.","08ISS4884",0.0380952380952381,0,0.728454189010665,0,"none",1,0.75
"39","Uenoidae..s.l.","08LAK2827",0,0,NA,0,"none",0,0
"40","Uenoidae..s.l.","08LAK3121",0,0,NA,0,"none",0,0
"41","Uenoidae..s.l.","08LAK3540",0,0,NA,0,"none",0,0
"42","Uenoidae..s.l.","08LAK3616",0,0,NA,0,"none",0,0
"43","Uenoidae..s.l.","08LAK3627",0.133333333333333,0,0.132463566807951,0,"none",1,0.625
"44","Uenoidae..s.l.","08LAK3628",0.0457516339869281,0,0.563099862448737,0,"none",1,0.535714285714286
"45","Uenoidae..s.l.","08LAK3699",0,0,NA,0,"none",0,0
"46","Uenoidae..s.l.","08LAK3879",0,0,NA,0,"none",0,0
"47","Uenoidae..s.l.","08LIT2585",0,0,NA,0,"none",0,0
"48","Uenoidae..s.l.","08LIT2602",0.125,0,0.23433318720621,0,"none",2,1.875
"49","Uenoidae..s.l.","08LIT2603",-0.0196078431372549,0,0.847156509926603,0,"none",1,2.77777777777778
"50","Uenoidae..s.l.","08LIT2682",0,0,NA,0,"none",0,0
"51","Uenoidae..s.l.","08LIT2685",0,0,NA,0,"none",0,0
"52","Uenoidae..s.l.","08LIT2692",0.161764705882353,0,0.279237649824039,0,"none",5,9.4375
"53","Uenoidae..s.l.","08LIT2781",-0.0116959064327485,0,0.927264473525232,0,"none",1,1.25
"54","Uenoidae..s.l.","08NOR1362",0,0,NA,0,"none",0,0
"55","Uenoidae..s.l.","08NOR1370",0,0,NA,0,"none",0,0
"56","Uenoidae..s.l.","08NOR1750",0,0,NA,0,"none",0,0
"57","Uenoidae..s.l.","08NOR1756",0,0,NA,0,"none",0,0
"58","Uenoidae..s.l.","08NOR2306",0,0,NA,0,"none",0,0
"59","Uenoidae..s.l.","08SAM0000",0,0,NA,0,"none",0,0
"60","Uenoidae..s.l.","08SAM1914",0,0,NA,0,"none",0,0
"61","Uenoidae..s.l.","08SAM2674",0.075,0,0.385546631571102,0,"none",1,0.15
"62","Uenoidae..s.l.","08SAM2855",0,0,NA,0,"none",0,0
"63","Uenoidae..s.l.","08SAM2862",-0.115384615384615,0,0.432028774573647,0,"none",2,6.14379084967321
"64","Uenoidae..s.l.","08SAM3047",0,0,NA,0,"none",0,0
"65","Uenoidae..s.l.","08WES0622",0,0,NA,0,"none",0,0
"66","Uenoidae..s.l.","08WES0629",0,0,NA,0,"none",0,0
"67","Uenoidae..s.l.","08WES0903",0,0,NA,0,"none",0,0
"68","Uenoidae..s.l.","08WES0905",0,0,NA,0,"none",0,0
"69","Uenoidae..s.l.","08WES1037",0,0,NA,0,"none",0,0
"70","Uenoidae..s.l.","08WES1178",0,0,NA,0,"none",0,0
"71","Uenoidae..s.l.","08WES1340",0,0,NA,0,"none",0,0
"72","Uenoidae..s.l.","08WES1490",0,0,NA,0,"none",0,0
"73","Uenoidae..s.l.","08WES1579",0,0,NA,0,"none",0,0
"74","Uenoidae..s.l.","09BLA0675",0,0,NA,0,"none",0,0
"75","Uenoidae..s.l.","09BLA0716",0,0,NA,0,"none",0,0
"76","Uenoidae..s.l.","09BLA0722",0,0,NA,0,"none",0,0
"77","Uenoidae..s.l.","09BLA0756",0,0,NA,0,"none",0,0
"78","Uenoidae..s.l.","09BLA0768",0,0,NA,0,"none",0,0
"79","Uenoidae..s.l.","09BLA0771",0,0,NA,0,"none",0,0
"80","Uenoidae..s.l.","09BLA0772",0,0,NA,0,"none",0,0
"81","Uenoidae..s.l.","09BLA0817",0,0,NA,0,"none",0,0
"82","Uenoidae..s.l.","09COV1165",0.0808823529411765,0,0.457303614845327,0,"none",2,1.84659090909091
"83","Uenoidae..s.l.","09COV1418",0,0,NA,0,"none",0,0
"84","Uenoidae..s.l.","09COV1756",0.0701754385964912,0,0.315302452081746,0,"none",1,1.25
"85","Uenoidae..s.l.","09COV1862",0,0,NA,0,"none",0,0
"86","Uenoidae..s.l.","09COV1864",0,0,NA,0,"none",0,0
"87","Uenoidae..s.l.","09DEE2163",0,0,NA,0,"none",0,0
"88","Uenoidae..s.l.","09DEE2208",0,0,1,0,"none",1,5.625
"89","Uenoidae..s.l.","09DEE2211",0,0,NA,0,"none",0,0
"90","Uenoidae..s.l.","09DEE2294",0,0,NA,0,"none",0,0
"91","Uenoidae..s.l.","09DUW0091",0,0,NA,0,"none",0,0
"92","Uenoidae..s.l.","09DUW0277",0,0,NA,0,"none",0,0
"93","Uenoidae..s.l.","09JEN1318",0,0,NA,0,"none",0,0
"94","Uenoidae..s.l.","09JEN1357",-0.0065359477124183,0,1,0,"none",1,0.909090909090909
"95","Uenoidae..s.l.","09LOW0325",0,0,NA,0,"none",0,0
"96","Uenoidae..s.l.","09LOW0751",0.0935672514619883,0,0.170903520230797,0,"none",1,3
"97","Uenoidae..s.l.","09LOW0753",0,0,NA,0,"none",0,0
"98","Uenoidae..s.l.","09MID1374",0,0,NA,0,"none",0,0
"99","Uenoidae..s.l.","09MID1537",0,0,NA,0,"none",0,0
"100","Uenoidae..s.l.","09MID1744",-0.025,0,0.828262540835312,0,"none",1,1.25
"101","Uenoidae..s.l.","09MID1817",0,0,NA,0,"none",0,0
"102","Uenoidae..s.l.","09MID1958",0,0,NA,0,"none",0,0
"103","Uenoidae..s.l.","09MID2426",0.102941176470588,0,0.184572552839883,0,"none",1,0.535714285714286
"104","Uenoidae..s.l.","09MIL0340",0.0952380952380952,0,0.297621467891116,0,"none",1,0.291631445477599
"105","Uenoidae..s.l.","09MIL0390",0,0,NA,0,"none",0,0
"106","Uenoidae..s.l.","09NEW1657",0,0,NA,0,"none",0,0
"107","Uenoidae..s.l.","09NEW2076",0,0,NA,0,"none",0,0
"108","Uenoidae..s.l.","09NEW2102",0,0,NA,0,"none",0,0
"109","Uenoidae..s.l.","09NEW2128",0.134502923976608,0,0.144826262854206,0,"none",2,1.00446428571429
"110","Uenoidae..s.l.","09NEW2151",0.0769230769230769,0,0.504035866452505,0,"none",1,0.46875
"111","Uenoidae..s.l.","09SOO0943",0,0,NA,0,"none",0,0
"112","Uenoidae..s.l.","09SOO1022",0,0,NA,0,"none",0,0
"113","Uenoidae..s.l.","09SOO1130",-0.0233918128654971,0,0.784191229401619,0,"none",1,0.769230769230769
"114","Uenoidae..s.l.","09SOO1134",0,0,NA,0,"none",0,0
"115","Uenoidae..s.l.","09SOO1209",0.106060606060606,0,0.384820773523065,0,"none",1,0.375
"116","Uenoidae..s.l.","09SOO1283",0.0392156862745098,0,0.768538290805284,0,"none",3,1.71990740740741
"117","Uenoidae..s.l.","Miller_Cove",0,0,NA,0,"none",0,0
"118","Uenoidae..s.l.","VashChris",0,0,NA,0,"none",0,0
"119","Uenoidae..s.l.","VashShing",0.0769230769230769,0,0.585440934568927,0,"none",2,1.11115384615385
"120","Uenoidae..s.l.","WalkerPreserve",0,0,NA,0,"none",0,0
"121","Kogotus.Rickera.Cultus","08BEA3312",0.220588235294118,0,0.193466727730483,0,"none",8,8.69288887282308
"122","Kogotus.Rickera.Cultus","08BEA3474",-0.110294117647059,0,0.298055750268467,0,"none",2,11
"123","Kogotus.Rickera.Cultus","08BEA3478",-0.0181818181818182,0,1,0,"none",3,2.45104895104895
"124","Kogotus.Rickera.Cultus","08BEA3571",-0.111111111111111,0,0.5308109307393,1.375,"none",11,26.4280303030303
"125","Kogotus.Rickera.Cultus","08BEA3650",0.209150326797386,0,0.178941773192296,0,"none",7,15.9730383532724
"126","Kogotus.Rickera.Cultus","08BEA3737",0.117647058823529,0.0138483127626051,0.51090975435694,-27.1320920721053,"none",12,26.8007081575974
"127","Kogotus.Rickera.Cultus","08BEA3747",0.0175438596491228,0,0.937520866333946,0,"none",8,14.8223684210526
"128","Kogotus.Rickera.Cultus","08BEA3826",-0.0955882352941176,0,0.372418138000967,0,"none",2,2.13541666666667
"129","Kogotus.Rickera.Cultus","08CED2433",-0.258333333333333,-0.163690476190476,0.176360434203354,331.639384920635,"none",14,52.4416798479298
"130","Kogotus.Rickera.Cultus","08CED2711",-0.177777777777778,0,0.476485410064149,0,"none",4,3.31410256410256
"131","Kogotus.Rickera.Cultus","08CED2898",0,0,NA,0,"none",0,0
"132","Kogotus.Rickera.Cultus","08CED4192",0.064327485380117,0,0.714940067289156,0.535714285714286,"none",11,14.3274683649684
"133","Kogotus.Rickera.Cultus","08CED4975",0.256410256410256,0.0514949652117793,0.231350407774138,-103.186004670518,"none",8,11.0857114312362
"134","Kogotus.Rickera.Cultus","08CED5032",0.227941176470588,0,0.145294111010432,0,"none",6,6.51064733877233
"135","Kogotus.Rickera.Cultus","08CED5046",-0.0909090909090909,0,0.680393459894128,0,"none",4,3.69791666666667
"136","Kogotus.Rickera.Cultus","08EAS1536",0.164835164835165,0,0.409666353146151,0.0721153846153845,"none",7,2.97878108733372
"137","Kogotus.Rickera.Cultus","08EAS1964",0.285714285714286,0.0416666666666667,0.152512130872048,-83.5767511177347,"none",8,11.1979956079861
"138","Kogotus.Rickera.Cultus","08EAS2058",0.1,0,0.594930280610903,0.225,"none",8,13.7141717159713
"139","Kogotus.Rickera.Cultus","08EAS2191",0,0,NA,0,"none",0,0
"140","Kogotus.Rickera.Cultus","08EAS2272",0.326797385620915,0,0.010150697586813,0,"positive",4,4.60994318181818
"141","Kogotus.Rickera.Cultus","08EAS2446",0.325,0,0.0359817459956979,0,"positive",5,3.57575757575758
"142","Kogotus.Rickera.Cultus","08EAS2540",-0.0727272727272727,-0.00892857142857143,0.813286211523422,18.3035714285714,"none",8,4.26354623637232
"143","Kogotus.Rickera.Cultus","08EAS2546",0,0,NA,0,"none",0,0
"144","Kogotus.Rickera.Cultus","08EAS2631",0,0,1,0,"none",4,5.0875350140056
"145","Kogotus.Rickera.Cultus","08EVA3555",0,0,1,0,"none",5,4.39439541722915
"146","Kogotus.Rickera.Cultus","08EVA3637",0,0,NA,0,"none",0,0
"147","Kogotus.Rickera.Cultus","08EVA3642",-0.377777777777778,-0.133333333333333,0.124236928606735,268.567708333333,"none",5,7.97827380952381
"148","Kogotus.Rickera.Cultus","08EVA3813",-0.021978021978022,0,0.955139148748674,0.537725225225225,"none",9,10.790221311773
"149","Kogotus.Rickera.Cultus","08ISS3877",-0.0661764705882353,0,0.552087267301485,0,"none",2,5.51587301587301
"150","Kogotus.Rickera.Cultus","08ISS3958",0.181818181818182,0,0.154728923485379,0,"none",1,0.625
"151","Kogotus.Rickera.Cultus","08ISS3962",-0.0514705882352941,0,0.707478727606978,0,"none",3,4.8875
"152","Kogotus.Rickera.Cultus","08ISS4294",0.065359477124183,0,0.696389041462063,0,"none",7,28.2875145687646
"153","Kogotus.Rickera.Cultus","08ISS4573",0.134502923976608,0,0.413894433024713,0.3125,"none",10,24.9281739313194
"154","Kogotus.Rickera.Cultus","08ISS4724",0.0955882352941176,0,0.610919847201223,0.833333333333333,"none",11,24.194170771757
"155","Kogotus.Rickera.Cultus","08ISS4730",0.0130718954248366,0,0.953065623446501,0,"none",3,1.5570652173913
"156","Kogotus.Rickera.Cultus","08ISS4735",0,0,NA,0,"none",0,0
"157","Kogotus.Rickera.Cultus","08ISS4748",-0.125,0,0.128885073232889,0,"none",1,5.38461538461538
"158","Kogotus.Rickera.Cultus","08ISS4884",-0.104761904761905,0,0.573947412976517,0,"none",6,12.625
"159","Kogotus.Rickera.Cultus","08LAK2827",-0.0065359477124183,0,1,0,"none",2,0.982142857142857
