"","taxon","site","slope","inter","pval","trend","samples","sum.taxon"
"1","Uenoidae..s.l.","08BEA3312",1.69770488739939e-15,-25.5660685235339,1,"none",0,0
"2","Uenoidae..s.l.","08BEA3474",-5.37534459396654e-16,-25.5660685235293,1,"none",0,0
"3","Uenoidae..s.l.","08BEA3478",1.68042440746126e-15,-24.5660685235124,1,"none",0,0
"4","Uenoidae..s.l.","08BEA3571",-5.19486179556711e-16,-25.5660685235294,1,"none",0,0
"5","Uenoidae..s.l.","08BEA3650",1.77984416432508e-15,-25.566068523534,1,"none",0,0
"6","Uenoidae..s.l.","08BEA3737",1.41968164377817e-15,-25.5660685235333,1,"none",0,0
"7","Uenoidae..s.l.","08BEA3747",-2.63144095190329e-15,-25.5660685235251,1,"none",0,0
"8","Uenoidae..s.l.","08BEA3826",-2.28812892206439e-16,-25.56606852353,1,"none",0,0
"9","Uenoidae..s.l.","08CED2433",1.05010501766927e-15,-25.5660685235326,1,"none",0,0
"10","Uenoidae..s.l.","08CED2711",-1.748593936683e-15,-24.5660685235055,1,"none",0,0
"11","Uenoidae..s.l.","08CED2898",1.00819838796661e-15,-24.566068523511,1,"none",0,0
"12","Uenoidae..s.l.","08CED4192",-2.63144095190329e-15,-25.5660685235251,1,"none",0,0
"13","Uenoidae..s.l.","08CED4975",-2.0888380323054e-15,-24.5660685235048,1,"none",0,0
"14","Uenoidae..s.l.","08CED5032",0.0741431875100056,-150.781613249789,0.532624556678016,"none",3,3
"15","Uenoidae..s.l.","08CED5046",3.32249939442592e-15,-24.5660685235157,1,"none",0,0
"16","Uenoidae..s.l.","08EAS1536",1.39838030866537e-15,-25.5660685235333,1,"none",0,0
"17","Uenoidae..s.l.","08EAS1964",-7.50452265620879e-16,-25.5660685235289,1,"none",0,0
"18","Uenoidae..s.l.","08EAS2058",-9.13543415371441e-16,-25.5660685235286,1,"none",0,0
"19","Uenoidae..s.l.","08EAS2191",-2.63144095190329e-15,-25.5660685235251,1,"none",0,0
"20","Uenoidae..s.l.","08EAS2272",1.77984416432508e-15,-25.566068523534,1,"none",0,0
"21","Uenoidae..s.l.","08EAS2446",-4.70336477968597e-16,-25.5660685235295,1,"none",0,0
"22","Uenoidae..s.l.","08EAS2540",-2.43075555883998e-15,-24.5660685235041,1,"none",0,0
"23","Uenoidae..s.l.","08EAS2546",-8.79387216375838e-16,-24.5660685235072,1,"none",0,0
"24","Uenoidae..s.l.","08EAS2631",1.77984416432508e-15,-25.566068523534,1,"none",0,0
"25","Uenoidae..s.l.","08EVA3555",-1.54687160133625e-15,-24.5660685235059,1,"none",0,0
"26","Uenoidae..s.l.","08EVA3637",1.24486134649695e-15,-24.5660685235115,1,"none",0,0
"27","Uenoidae..s.l.","08EVA3642",-2.4196554056957e-15,-24.5660685235041,1,"none",0,0
"28","Uenoidae..s.l.","08EVA3813",-1.48982888436633e-15,-25.5660685235274,1,"none",0,0
"29","Uenoidae..s.l.","08ISS3877",-1.2860685225974e-15,-25.5660685235278,1,"none",0,0
"30","Uenoidae..s.l.","08ISS3958",0.104368219361512,-212.37968243115,0.655448931286189,"none",1,1
"31","Uenoidae..s.l.","08ISS3962",-1.2860685225974e-15,-25.5660685235278,1,"none",0,0
"32","Uenoidae..s.l.","08ISS4294",0.0867590216988193,-176.754934456546,0.563494382725324,"none",2,2
"33","Uenoidae..s.l.","08ISS4573",-2.63144095190329e-15,-25.5660685235251,1,"none",0,0
"34","Uenoidae..s.l.","08ISS4724",0.00479662867885998,-12.4279026554842,0.981064519998255,"none",1,1
"35","Uenoidae..s.l.","08ISS4730",-2.66963168882933e-15,-25.566068523525,1,"none",0,0
"36","Uenoidae..s.l.","08ISS4735",0.253241438187615,-511.800388389829,0.415587076256201,"none",1,1
"37","Uenoidae..s.l.","08ISS4748",6.00255484923494e-16,-25.5660685235317,1,"none",0,0
"38","Uenoidae..s.l.","08ISS4884",0.0457116174261452,-94.5761700573082,0.79850273119681,"none",1,1
"39","Uenoidae..s.l.","08LAK2827",-3.23868914832301e-15,-25.5660685235239,1,"none",0,0
"40","Uenoidae..s.l.","08LAK3121",1.05665205664089e-16,-24.5660685235092,1,"none",0,0
"41","Uenoidae..s.l.","08LAK3540",-2.09544223219958e-15,-25.5660685235262,1,"none",0,0
"42","Uenoidae..s.l.","08LAK3616",-2.39620366309359e-15,-24.5660685235042,1,"none",0,0
"43","Uenoidae..s.l.","08LAK3627",40.3312191612736,-81448.6995761346,0.998447261278824,"none",1,1
"44","Uenoidae..s.l.","08LAK3628",0.152449173199931,-309.897598232298,0.512337663254219,"none",1,1
"45","Uenoidae..s.l.","08LAK3699",9.4307744958521e-16,-25.5660685235323,1,"none",0,0
"46","Uenoidae..s.l.","08LAK3879",-2.63144095190329e-15,-25.5660685235251,1,"none",0,0
"47","Uenoidae..s.l.","08LIT2585",-2.63144095190329e-15,-25.5660685235251,1,"none",0,0
"48","Uenoidae..s.l.","08LIT2602",0.205889933529057,-416.650088037785,0.236346219841531,"none",2,2
"49","Uenoidae..s.l.","08LIT2603",-0.0532538670369919,104.250580087239,0.777034873214219,"none",1,1
"50","Uenoidae..s.l.","08LIT2682",-2.63144095190329e-15,-25.5660685235251,1,"none",0,0
"51","Uenoidae..s.l.","08LIT2685",-1.8669577996275e-15,-25.5660685235266,1,"none",0,0
"52","Uenoidae..s.l.","08LIT2692",0.124722818666248,-251.853872424202,0.224827095062987,"none",5,5
"53","Uenoidae..s.l.","08LIT2781",-0.0295796323980066,56.6082382061127,0.870992594011262,"none",1,1
