"","Site.Code","Stream.or.River","Subbasin","slope_Overall.Score","LRpval_Overall.Score","LRtrend_Overall.Score","MKtau_Overall.Score","MKSlope_Overall.Score","MKpval_Overall.Score","MKinter_Overall.Score","MKtrend_Overall.Score","slope_Tot_Richness_Score","LRpval_Tot_Richness_Score","LRtrend_Tot_Richness_Score","MKtau_Tot_Richness_Score","MKSlope_Tot_Richness_Score","MKpval_Tot_Richness_Score","MKinter_Tot_Richness_Score","MKtrend_Tot_Richness_Score","slope_E_Richness_Score","LRpval_E_Richness_Score","LRtrend_E_Richness_Score","MKtau_E_Richness_Score","MKSlope_E_Richness_Score","MKpval_E_Richness_Score","MKinter_E_Richness_Score","MKtrend_E_Richness_Score","slope_P_Richness_Score","LRpval_P_Richness_Score","LRtrend_P_Richness_Score","MKtau_P_Richness_Score","MKSlope_P_Richness_Score","MKpval_P_Richness_Score","MKinter_P_Richness_Score","MKtrend_P_Richness_Score","slope_T_Richness_Score","LRpval_T_Richness_Score","LRtrend_T_Richness_Score","MKtau_T_Richness_Score","MKSlope_T_Richness_Score","MKpval_T_Richness_Score","MKinter_T_Richness_Score","MKtrend_T_Richness_Score","slope_Cling_Richness_Score","LRpval_Cling_Richness_Score","LRtrend_Cling_Richness_Score","MKtau_Cling_Richness_Score","MKSlope_Cling_Richness_Score","MKpval_Cling_Richness_Score","MKinter_Cling_Richness_Score","MKtrend_Cling_Richness_Score","slope_LL_Richness_Score","LRpval_LL_Richness_Score","LRtrend_LL_Richness_Score","MKtau_LL_Richness_Score","MKSlope_LL_Richness_Score","MKpval_LL_Richness_Score","MKinter_LL_Richness_Score","MKtrend_LL_Richness_Score","slope_Intol_Richness_Score","LRpval_Intol_Richness_Score","LRtrend_Intol_Richness_Score","MKtau_Intol_Richness_Score","MKSlope_Intol_Richness_Score","MKpval_Intol_Richness_Score","MKinter_Intol_Richness_Score","MKtrend_Intol_Richness_Score","slope_Dom_Percent_Score","LRpval_Dom_Percent_Score","LRtrend_Dom_Percent_Score","MKtau_Dom_Percent_Score","MKSlope_Dom_Percent_Score","MKpval_Dom_Percent_Score","MKinter_Dom_Percent_Score","MKtrend_Dom_Percent_Score","slope_Pred_Percent_Score","LRpval_Pred_Percent_Score","LRtrend_Pred_Percent_Score","MKtau_Pred_Percent_Score","MKSlope_Pred_Percent_Score","MKpval_Pred_Percent_Score","MKinter_Pred_Percent_Score","MKtrend_Pred_Percent_Score","slope_Tol_Percent_Score","LRpval_Tol_Percent_Score","LRtrend_Tol_Percent_Score","MKtau_Tol_Percent_Score","MKSlope_Tol_Percent_Score","MKpval_Tol_Percent_Score","MKinter_Tol_Percent_Score","MKtrend_Tol_Percent_Score"
"1","08BEA3312","Monticello Creek","Bear Creek Subbasin",-0.688340188067576,0.12504079368594,"none",-0.266666666666667,-0.750604447545371,0.162805449743693,1567.39733307133,"none",-0.0292449485997862,0.723994664796389,"none",-0.0666666666666667,-0.0148809523809522,0.750347023651697,35.647321428571,"none",-0.186547323644099,0.0248471783482687,"negative",-0.45,-0.197278911564625,0.0132667455714627,401.112244897958,"negative",0.0101914214817446,0.86421242661759,"none",0.0166666666666667,0,0.9559217988518,5.71428571428571,"none",-0.0767679900744415,0.236603232808677,"none",-0.15,0,0.413046218438983,4.375,"none",-0.0447015034301558,0.505565082574015,"none",-0.1,-0.0369088811995385,0.616345596729953,79.8304498269894,"none",-0.0286910669975172,0.74597457016174,"none",-0.191666666666667,0,0.293350047158044,5,"none",-0.123183268344559,0.0591177398021021,"none",-0.341666666666667,-0.10596546310832,0.0545708715488378,214.578100470958,"none",0.00926893329270373,0.925785603252187,"none",0.0583333333333333,0.0164942270205424,0.786279810378276,-24.6986054880783,"none",-0.065998070030328,0.568524195883128,"none",-0.05,0,0.813255911986427,8.88888888888889,"none",-0.152666371721137,0.0207844495135421,"negative",-0.45,-0.0749354005167957,0.0168004921710699,160.086563307493,"negative"
"17","08BEA3474","Bear Creek (Sammamish River)","Bear Creek Subbasin",1.41426295545031,0.00697857316854635,"positive",0.411764705882353,1.4299750617868,0.0234762206100809,-2838.20305842632,"positive",0.283344106873514,0.000881125774233985,"positive",0.522058823529412,0.285714285714286,0.00350928970474507,-570.571428571429,"positive",0.0743374272786065,0.443950104098216,"none",0.169117647058824,0,0.348347708176999,2.85714285714286,"none",-0.0904977375565526,0.379601605252627,"none",-0.169117647058824,0,0.346589148750412,1.42857142857143,"none",0.393099547511301,1.8641467479745e-05,"positive",0.661764705882353,0.403645833333333,0.000196520804980961,-808.385416666667,"positive",0.291455948895396,0.00124866699982505,"positive",0.514705882352941,0.243697478991597,0.00372821927660074,-483.848739495799,"positive",0.05656108597285,0.518028142641352,"none",0.110294117647059,0,0.542471701043929,2.5,"none",-0.00646412411118193,0.784759478073283,"none",-0.0294117647058824,0,0.823063273758121,0,"none",0.29133920774788,0.0414755226935866,"positive",0.330882352941176,0.280823586744638,0.0696753681754933,-557.824074074072,"none",0.0697586726998432,0.107879289230017,"none",0.375,0.0527777777777777,0.0340197957893224,-105.911111111111,"positive",0.0513288201386547,0.618650241990569,"none",0.0441176470588235,0.05366726296959,0.836819705051275,-102.216259193006,"none"
"34","08BEA3478","Mackey Creek","Bear Creek Subbasin",-0.72705823071774,0.376561141150799,"none",-0.242424242424242,-0.726295372176704,0.303673214899419,1524.42075851885,"none",-0.0266400266400044,0.878820625122871,"none",0.0454545454545455,0.0340136054421771,0.890143385135777,-61.2074829931978,"none",-0.356566510412691,0.0296045832484262,"negative",-0.484848484848485,-0.452380952380951,0.0286414429915967,914.05952380952,"negative",-0.215169445938687,0.313147929045119,"none",-0.242424242424242,-0.285714285714285,0.292831524506404,580.571428571427,"none",-0.0840505648197948,0.65101003357745,"none",-0.106060606060606,0,0.671630753229698,4.375,"none",-0.16802202322565,0.188987474852777,"none",-0.257575757575758,-0.0910364145658268,0.259875236481204,189.408263305323,"none",-0.102205486820862,0.484282199095108,"none",-0.166666666666667,0,0.463814977322828,7.5,"none",-0.170598632137129,0.101439187702906,"none",-0.378787878787879,-0.22108843537415,0.0733714740124742,445.705782312926,"none",0.207965673552766,0.267865451059569,"none",0.0757575757575758,0,0.768286344543585,9.97076023391813,"none",0.194011117088039,0.26600518778232,"none",0.242424242424242,0.212962962962963,0.303673214899419,-421.782407407407,"none",-0.00578233136372506,0.898578638768328,"none",-0.0606060606060606,-0.00430663221360916,0.835219149785029,18.0340223944879,"none"
"46","08BEA3571","Cottage Lake Creek","Bear Creek Subbasin",0.144227555897684,0.676059997246856,"none",0.0326797385620915,0.0383843357824496,0.879572789007499,-38.9514710667888,"none",0.0417997720861706,0.510131302417745,"none",0.117647058823529,0.047619047619048,0.51731369142605,-92.4523809523817,"none",-0.0480580619850841,0.538259471229814,"none",-0.124183006535948,0,0.481634323840344,3.57142857142857,"none",0.0888303536400856,0.112441392009208,"none",0.287581699346405,0.0595238095238092,0.0876830813839383,-114.017857142856,"none",0.105801294625359,0.0942098507930802,"none",0.228758169934641,0,0.164300928303596,2.5,"none",0.0271732859483591,0.511603442792041,"none",0.150326797385621,0.0210084033613443,0.395244111179031,-38.7289915966382,"none",-0.00858179678306222,0.880319082732926,"none",0,0,1,2.5,"none",0.0665527097461268,0.193451440848853,"none",0.228758169934641,0,0.16594453683,1.42857142857143,"none",0.0494001775722116,0.605350011954856,"none",0.0980392156862745,0.0292397660818716,0.595383944648907,-50.1608187134508,"none",0.024464931781525,0.398457155318769,"none",0.169934640522876,0.0222222222222221,0.341930681227163,-42.533333333333,"none",-0.203155110734004,0.0486775615278967,"negative",-0.418300653594771,-0.225175341454411,0.0169399344381353,458.004798818753,"negative"
"64","08BEA3650","Bear Creek (Sammamish River)","Bear Creek Subbasin",0.822910511749272,0.0204306906644741,"positive",0.372549019607843,0.75590246706598,0.0339090759496075,-1454.04707548054,"positive",0.109250979663941,0.114404222864141,"none",0.300653594771242,0.105820105820106,0.0865381080094641,-205.820105820105,"none",-0.0167840358821295,0.78852069886879,"none",0.0261437908496732,0,0.905358194484065,5.71428571428571,"none",0.256260088276889,0.00834459096331045,"positive",0.431372549019608,0.238095238095238,0.0119481671839216,-472.738095238095,"positive",0.0923032696730375,0.148560110997923,"none",0.202614379084967,0.0892857142857143,0.243027219153555,-173.4375,"none",0.0745219595687517,0.194195906441899,"none",0.189542483660131,0.0735294117647056,0.283523560006824,-139.742647058823,"none",0.0746800319968026,0.370803761380264,"none",0.209150326797386,0.0625,0.223301880282728,-119.53125,"none",0.129129944148445,0.0362612146906922,"positive",0.300653594771242,0.12987012987013,0.0784689928590884,-258.506493506494,"none",0.0667886427731538,0.262473202957923,"none",0.326797385620915,0.0438596491228074,0.0510362753571572,-78.7938596491235,"none",0.0543056805430543,0.456103230183,"none",0.189542483660131,0.055555555555556,0.288190045658068,-107.972222222223,"none",-0.0175460490126752,0.733371998483885,"none",-0.130718954248366,-0.0229687051392478,0.471406086180458,54.8808498420902,"none"
"82","08BEA3737","Seidel Creek","Bear Creek Subbasin",0.925636561859745,0.00868674853946607,"positive",0.437908496732026,1.08164729920255,0.0124218457338865,-2107.53355532679,"positive",0.194101517914542,0.0154795856299967,"positive",0.42483660130719,0.194805194805194,0.0148568413815748,-385.378787878786,"positive",0.100166616375634,0.13923244128944,"none",0.254901960784314,0.10989010989011,0.139200563044694,-215.439560439561,"none",0.112630046049092,0.0217420592249338,"positive",0.38562091503268,0.10989010989011,0.0227343606709164,-214.010989010989,"positive",0.00453439250620011,0.924000601232157,"none",-0.0522875816993464,0,0.775656952001415,5,"none",0.177999384159951,0.000583164457222776,"positive",0.431372549019608,0.163398692810457,0.0130310972248737,-321.633986928104,"positive",0.150955092294981,0.077368741319491,"none",0.228758169934641,0.125,0.184016307817335,-243.4375,"none",0.105414376238144,0.116235173133424,"none",0.222222222222222,0.0714285714285715,0.192777594103219,-139.821428571429,"none",0.0123038486717939,0.821410821345239,"none",0.0784313725490196,0.001949317738791,0.672997517697635,5.11208576998135,"none",0.0901342843440342,0.0237391616548669,"positive",0.222222222222222,0,0.0834060963672523,10,"none",-0.0226029966946259,0.245949845566278,"none",-0.261437908496732,-0.02953119232189,0.139329856097872,68.8888888888889,"none"
"100","08BEA3747","Bear Creek (Sammamish River)","Bear Creek Subbasin",-0.115752665811867,0.76640535285482,"none",-0.0526315789473684,-0.0512929510009294,0.779566064581155,156.136999357786,"none",0.00901907244217741,0.868602750630686,"none",-0.0526315789473684,0,0.7747705843134,5.23809523809524,"none",0.0331388854412279,0.643168003994709,"none",0.064327485380117,0,0.712856842080537,4.28571428571429,"none",-0.0699391833188389,0.467464012145642,"none",-0.152046783625731,-0.0510204081632657,0.370914703314354,108.367346938776,"none",0.0648349261511612,0.446064410575251,"none",0.0701754385964912,0,0.692305820503209,5,"none",0.078959472581381,0.208591144343879,"none",0.146198830409357,0.0630252100840336,0.395453923921542,-121.512605042017,"none",-0.12684622067766,0.0592379085541578,"none",-0.315789473684211,-0.125,0.0550717347558831,255.25,"none",0.00186173513715082,0.97383602458142,"none",0.0175438596491228,0,0.942102698704137,3.57142857142857,"none",0.0162406450531072,0.866573326210095,"none",-0.0233918128654971,-0.011695906432748,0.916359140273489,29.204678362572,"none",-0.0354136499662132,0.594847191390966,"none",-0.0350877192982456,-0.0158730158730157,0.860883269137912,35.2142857142853,"none",-0.0876083486553604,0.072442445286895,"none",-0.362573099415205,-0.0638394892840859,0.0327261367250903,137.153062775498,"negative"
"119","08BEA3826","Struve Creek","Bear Creek Subbasin",0.113487223372725,0.754277121888951,"none",0.0588235294117647,0.0855716070938121,0.773080066312313,-101.427639418175,"none",-0.0364454267407853,0.566143372289752,"none",-0.102941176470588,-0.0341880341880345,0.588694583223687,75.9633699633706,"none",0.0117205813408293,0.898063332771843,"none",0.0661764705882353,0,0.734018275736945,4.28571428571429,"none",0.00569285379412101,0.914349046685175,"none",0.0514705882352941,0,0.769609084107083,10,"none",0.102262072198778,0.15193857926559,"none",0.257352941176471,0.0892857142857143,0.150177424735027,-174.107142857143,"none",-0.0304045668900444,0.641606821814142,"none",-0.0294117647058824,0,0.900580769118002,6.47058823529412,"none",-0.004102203469289,0.951200255559206,"none",0.0882352941176471,0,0.625062725233368,8.75,"none",0.16124171187462,0.0336640790868617,"positive",0.345588235294118,0.158730158730158,0.0498962337103935,-313.809523809523,"positive",-0.0464916393186369,0.656184218284391,"none",-0.0441176470588235,-0.0856307435254803,0.836819705051275,179.099832915622,"none",-0.101441631504922,0.429121142108411,"none",-0.0882352941176471,0,0.630845435992797,9.61111111111111,"none",0.0514554720880535,0.14411306734824,"none",0.161764705882353,0.0116279069767448,0.384311400616378,-13.5620155038773,"none"
"136","08CED2433","Maplewood Creek","Lower Cedar River Subbasin",0.157454268884622,0.760027914296894,"none",0.05,0.159548769785887,0.821891691251159,-279.787792958837,"none",-0.0179887679887686,0.804128907002547,"none",-0.133333333333333,-0.0842490842490846,0.496537627221541,172.968864468865,"none",-0.023253773253773,0.793711251280771,"none",0,0,1,1.42857142857143,"none",-0.0258862758862777,0.79793184910128,"none",-0.133333333333333,0,0.487142050909934,5,"none",0.195024570024571,0.00412601937350528,"positive",0.5,0.178571428571429,0.00558771351112092,-354.553571428571,"positive",-0.0140916317386906,0.787248586305023,"none",-0.0916666666666667,0,0.647046885540895,3.8235294117647,"none",0.19847972972973,0.0371738694211733,"positive",0.3,0.15625,0.104943949738009,-309.609375,"none",0.033783783783784,0.579115964802084,"none",0.108333333333333,0,0.563552344671024,1.42857142857143,"none",-0.139014612698824,0.287154689522267,"none",-0.208333333333333,-0.160628844839372,0.279413761224643,328.104541657174,"none",0.102852852852852,0.386064286540448,"none",0.125,0.0798611111111107,0.528069920606874,-156.633680555555,"none",-0.152451605939981,0.336692220531593,"none",-0.291666666666667,-0.185016297647396,0.125443638928776,379.920496191586,"none"
"152","08CED2711","Madsen Creek","Lower Cedar River Subbasin",0.272704240308791,0.748056035290063,"none",0.0909090909090909,0.141213290461741,0.755496874928883,-263.690630273272,"none",0.115719101441886,0.357194393629488,"none",0.127272727272727,0.0560224089635855,0.636308609364267,-110.868347338936,"none",-0.00467408855273425,0.952938329933526,"none",-0.0727272727272727,0,0.802587348634153,1.42857142857143,"none",0.0820090082433914,0.428275331598701,"none",0.163636363636364,0,0.508400579322755,2.85714285714286,"none",0.102245687091018,0.112619452581098,"none",0.418181818181818,0.113636363636364,0.0564375114865741,-226.25,"none",0.0607131609336174,0.324063079040782,"none",0.290909090909091,0.0735294117647063,0.228769137527302,-146.250000000001,"none",0.0490779298036895,0.722294582779736,"none",0.0727272727272727,0,0.810577845672926,3.75,"none",-0.00637375711736262,0.858650090678329,"none",0,0,1,0,"none",-0.0495736664683721,0.754634987447069,"none",-0.0545454545454545,-0.0292397660818707,0.876269663627762,62.7777777777765,"none",0.0782768193535568,0.706638928371735,"none",0.181818181818182,0.088888888888888,0.482191660954938,-177.32222222222,"none",-0.154715954419897,0.204813983901456,"none",-0.363636363636364,-0.0904392764857874,0.117507930202104,184.560723514211,"none"
