"","Locator","CollectDate","Year","Month","LabSampleNum","V1","Ammonia Nitrogen","Conductivity, Field","Dissolved Oxygen, Field","Fecal Coliform","Nitrite + Nitrate Nitrogen","Orthophosphate Phosphorus","pH, Field","Temperature","Total Alkalinity","Total Nitrogen","Total Phosphorus","Total Suspended Solids","Turbidity","Site.Number","block"
"1","0321",2003-07-14 10:25:00,2003,7,"L28767-4","09MID1537",0.019,130,10.5,90,0.596,0.0171,7.5,15.2,51.5,0.724,0.0265,1.62,0.82,1,10007
"2","0321",2004-04-14 09:40:00,2004,4,"L31659-4","09MID1537",0.0443,118,9.9,59,0.524,0.0172,7.2,9.8,47.6,0.711,0.0317,4.1,1.1,1,10004
"3","0321",2005-03-16 10:47:00,2005,3,"L34916-4","09MID1537",0.146,126,10.7,23,0.74,0.0359,7.5,8.6,48.3,1.02,0.0578,4.1,2.11,1,10003
"4","0321",2006-01-09 10:51:00,2006,1,"L37423-5","09MID1537",0.0744,97.6,10.3,61,1.63,0.0313,6.9,7.9,40.8,1.93,0.0551,3.17,2.56,1,10001
"5","0321",2020-01-22 09:44:00,2020,1,"L73946-4","09MID1537",0.177,128,10.3,170,0.807,0.0449,7.2,8.1,48.6,1.11,0.0686,3.6,2.21,1,10001
"6","0321",2006-10-11 10:37:00,2006,10,"L40575-4","09MID1537",0.134,131,9.9,31,0.877,0.037,7.6,8.9,51.2,1.18,0.0582,7.3,2.68,1,100010
"7","0321",2013-02-05 09:22:00,2013,2,"L57192-5","09MID1537",0.101,108,10.7,1,0.792,0.0231,7.27,8.07,45.2,0.996,0.0395,2.5,2.22,1,10002
"8","0321",2022-11-09 09:58:00,2022,11,"L80409-3","09MID1537",0.609,156,5.99,530,0.829,0.0612,6.81,7.32,59.6,1.86,0.138,41.3,8.5,1,100011
"9","0321",2019-07-10 09:28:00,2019,7,"L72673-4","09MID1537",0.0801,148,10.2,46,0.803,0.0326,7.33,11.5,61.1,1.01,0.0442,0.71,0.58,1,10007
"10","0321",2008-03-05 11:05:00,2008,3,"L45213-4","09MID1537",0.0508,115,11.5,15,0.632,0.0263,7.6,7.7,45.6,0.911,0.0426,5.4,1.6,1,10003
"11","0321",2003-09-10 11:01:00,2003,9,"L29542-4","09MID1537",0.123,123,10,160,0.669,0.0254,7.5,11.2,51.1,0.964,0.0419,4.9,2.08,1,10009
"12","0321",2005-12-14 10:15:00,2005,12,"L37746-4","09MID1537",0.164,133,10.2,10,0.927,0.0476,7.4,6.2,52.3,1.21,0.067,4.87,1.8,1,100012
"13","0321",2016-03-16 10:00:00,2016,3,"L64997-4","09MID1537",0.0406,103,11.4,24,0.783,0.0173,7.3,8.6,39.8,0.99,0.0325,3.9,2.13,1,10003
"14","0321",2006-03-15 10:46:00,2006,3,"L38273-4","09MID1537",0.0803,112,11.3,21,0.731,0.0286,7.5,7.9,43.7,0.931,0.048,2.9,1.4,1,10003
"15","0321",2002-07-08 10:37:00,2002,7,"L24798-4","09MID1537",0.0294,128,10.1,320,0.671,0.0186,7.5,12,49.7,1.02,0.0343,1.3,0.79,1,10007
"16","0321",2002-12-10 09:50:00,2002,12,"L26356-4","09MID1537",0.27,138,10.3,150,0.81,0.0464,7.6,8.1,51.9,1.17,0.0724,19.8,5.45,1,100012
"17","0321",2018-11-07 09:24:00,2018,11,"L71253-4","09MID1537",0.435,152,6.1,53,0.879,0.0524,7.07,9.4,58,2.01,0.172,41,9.83,1,100011
"18","0321",2014-07-02 10:44:00,2014,7,"L60576-5","09MID1537",0.0525,117,10.3,11,0.691,0.0205,7.61,12.7,48.2,0.851,0.032,3.49,1.12,1,10007
"19","0321",2005-01-18 12:00:00,2005,1,"L33446-5","09MID1537",0.101,93.4,10.6,160,1.28,0.0266,7.2,7.7,31.6,1.88,0.0921,39.2,23.2,1,10001
"20","0321",2006-04-12 10:27:00,2006,4,"L38672-4","09MID1537",0.0875,115,10.1,74,0.698,0.0314,7.4,9.3,45.7,0.957,0.0457,2.1,1.4,1,10004
"21","0321",2022-11-09 10:02:00,2022,11,"L80409-14","09MID1537",0.583,156,5.69,510,0.82,0.0595,6.83,7.33,59.7,1.78,0.132,46.5,7.87,1,100011
"22","0321",2002-01-15 10:02:00,2002,1,"L23128-4","09MID1537",0.102,108,11.8,39,0.711,0.0278,7,6.4,43.3,0.952,0.049,7.08,2.58,1,10001
"23","0321",2014-06-10 11:22:00,2014,6,"L60415-5","09MID1537",0.0514,117,11.3,26,0.678,0.0186,7.75,11.4,42.7,0.952,0.0331,2.36,1.33,1,10006
"24","0321",2002-04-09 10:42:00,2002,4,"L23626-4","09MID1537",0.067,109,11,59,0.599,0.0183,7.4,9.3,44.2,0.805,0.0377,2.58,1.7,1,10004
"25","0321",2008-05-07 10:45:00,2008,5,"L45569-4","09MID1537",0.0298,122,10.8,9,0.618,0.0208,7.45,9.9,48.5,0.756,0.0347,3.8,0.63,1,10005
"26","0321",2018-03-14 11:05:00,2018,3,"L69651-4","09MID1537",0.0758,117,10.9,550,0.654,0.0284,7.47,9.1,46.7,0.947,0.0698,7.6,2.79,1,10003
"27","0321",2019-11-13 09:22:00,2019,11,"L73645-4","09MID1537",0.475,157,7.6,28,0.905,0.0687,7.23,9.6,60.8,1.68,0.126,14.1,5.12,1,100011
"28","0321",2008-01-09 11:17:00,2008,1,"L44906-4","09MID1537",0.155,122,10.5,56,0.804,0.0402,7.34,6.88,45.4,1.27,0.0787,16.2,3.3,1,10001
"29","0321",2019-01-09 10:18:00,2019,1,"L71578-4","09MID1537",0.234,124,10.5,41,0.815,0.0458,7.25,7.5,47.4,1.33,0.0923,7.6,1.93,1,10001
"30","0321",2021-04-14 10:42:00,2021,4,"L76706-16","09MID1537",0.119,135,10.8,NA,0.715,0.0357,7.34,9.28,54.4,0.967,0.0586,3.1,1.59,1,10004
"31","0321",2003-03-11 10:25:00,2003,3,"L27540-4","09MID1537",0.0605,98.8,10.1,26,0.75,0.0231,6.9,8.6,39,1.05,0.04,6.1,2.62,1,10003
"32","0321",2006-02-15 11:05:00,2006,2,"L37825-4","09MID1537",0.0852,103,11.5,14,0.793,0.0281,7.4,6.4,41.5,1.09,0.051,5.9,2.18,1,10002
"33","0321",2020-05-20 10:05:00,2020,5,"L74623-4","09MID1537",NA,131,10.7,NA,NA,NA,7.5,10.5,NA,NA,NA,NA,NA,1,10005
"34","0321",2016-05-11 10:13:00,2016,5,"L65367-4","09MID1537",0.0476,120,11,18,0.797,0.0204,7.55,11,47,0.932,0.0367,6.5,1.58,1,10005
"35","0321",2002-03-11 11:50:00,2002,3,"L23636-5","09MID1537",0.0591,103,10.9,650,0.65,0.0204,7.5,8.4,40.7,0.874,0.0468,10.3,5.98,1,10003
"36","0321",2015-04-15 10:20:00,2015,4,"L62513-4","09MID1537",0.0677,110,10.7,24,0.652,0.0198,7.43,9,44.3,0.858,0.0376,5.4,2.2,1,10004
"37","0321",2015-09-16 10:14:00,2015,9,"L63641-4","09MID1537",0.0758,139,10.3,35,0.921,0.0195,7.5,9.7,54.6,1.08,0.034,4.6,1.68,1,10009
"38","0321",2017-02-15 10:22:00,2017,2,"L67023-4","09MID1537",0.125,102,10.5,61,0.857,0.0296,7.23,7.8,38.2,1.14,0.0494,7.9,2.6,1,10002
"39","0321",2021-11-08 10:19:00,2021,11,"L78097-4","09MID1537",0.584,147,3.25,NA,0.779,0.0785,6.9,8.33,55.7,2.08,0.254,99.8,15.1,1,100011
"40","0321",2007-10-10 10:42:00,2007,10,"L44145-4","09MID1537",0.0587,131,9.6,19,0.775,0.0263,7.27,10.4,50.1,0.966,0.0412,2.27,0.99,1,100010
"41","0321",2023-03-15 08:38:00,2023,3,"L81162-3","09MID1537",0.116,137,10.5,NA,0.738,0.0358,7.37,7.83,52.7,1.06,0.0579,1.6,1.54,1,10003
"42","0321",2019-03-13 11:03:00,2019,3,"L71923-4","09MID1537",0.13,129,11.6,11,0.639,0.0299,7.38,7.6,46.4,0.922,0.0586,3.7,2.07,1,10003
"43","0321",2016-10-12 10:54:00,2016,10,"L66361-4","09MID1537",0.24,144,9.1,17,0.949,0.0453,7.32,9,55.2,1.44,0.0769,7.6,2.88,1,100010
