"","Subbasin","RKTtau_Tot_Richness_Score","RKTtau_E_Richness_Score","RKTtau_P_Richness_Score","RKTtau_T_Richness_Score","RKTtau_Cling_Richness_Score","RKTtau_LL_Richness_Score","RKTtau_Intol_Richness_Score","RKTtau_Dom_Percent_Score","RKTtau_Pred_Percent_Score","RKTtau_Tol_Percent_Score","RKTpval_Overall.Score","RKTpval_Tot_Richness_Score","RKTpval_E_Richness_Score","RKTpval_P_Richness_Score","RKTpval_T_Richness_Score","RKTpval_Cling_Richness_Score","RKTpval_LL_Richness_Score","RKTpval_Intol_Richness_Score","RKTpval_Dom_Percent_Score","RKTpval_Pred_Percent_Score","RKTpval_Tol_Percent_Score","RKTtrend_Overall.Score","RKTtrend_Tot_Richness_Score","RKTtrend_E_Richness_Score","RKTtrend_P_Richness_Score","RKTtrend_T_Richness_Score","RKTtrend_Cling_Richness_Score","RKTtrend_LL_Richness_Score","RKTtrend_Intol_Richness_Score","RKTtrend_Dom_Percent_Score","RKTtrend_Pred_Percent_Score","RKTtrend_Tol_Percent_Score"
"1","Bear Creek Subbasin",0.158088235294118,-0.0174632352941176,0.103860294117647,0.15625,0.165441176470588,0.00551470588235294,0.0873161764705882,0.113970588235294,0.121323529411765,-0.198529411764706,0.0511704759946101,0.0125957394181071,0.787359900829566,0.0849975163034509,0.0107994195163583,0.00874211265836422,0.93948241059941,0.137191212258315,0.0719587076686365,0.0458802304473156,0.00186289442364718,"none","positive","none","none","positive","positive","none","none","none","positive","negative"
"137","Black River Subbasin",0.253714285714286,0.0342857142857143,0.180571428571429,0.187428571428571,0.224,0.211428571428571,0.0662857142857143,0.208,0.106285714285714,0.0171428571428571,5.98757587342291e-05,3.73410035270361e-05,0.579012942255774,0.00281728543773818,0.0017298767504812,0.000207650757505062,0.000586024749700487,0.0711837456723996,0.00211115895473446,0.0971737283983789,0.806389408051263,"positive","positive","none","positive","positive","positive","positive","none","positive","none","none"
"259","Coal Creek (Cedar) Subbasin",0.497142857142857,0.16,0.331428571428571,0.268571428571429,0.474285714285714,0.222857142857143,0.291428571428571,0.285714285714286,0.0971428571428571,0.0571428571428571,0.00501386623004385,0.000722202099064262,0.237900197001605,0.0194850980163193,0.0591773408250753,0.00108378191362468,0.122159739842587,0.00516527155511581,0.0559805146480641,0.532275376408736,0.72556253877219,"positive","positive","none","positive","none","positive","none","positive","none","none","none"
"286","Coal Creek (Green) Subbasin",0.143322475570033,-0.140065146579805,0.244299674267101,-0.00325732899022801,0.205211726384365,0.335504885993485,-0.0423452768729642,0.0977198697068404,0.0488599348534202,0.0781758957654723,0.182435398037806,0.245915612119972,0.151692750351506,0.0440330249993302,1,0.0802566075874038,0.00525545585448439,0.676226672573603,0.435670617236612,0.708710853146159,0.538945518979932,"none","none","none","positive","none","none","positive","none","none","none","none"
"322","Covington Creek Subbasin",0.199417758369723,0.109170305676856,0.0553129548762737,0.107714701601164,0.286754002911208,0.0407569141193595,0.251819505094614,-0.0334788937409025,0.0815138282387191,-0.0713245997088792,0.0690975736188983,0.0117128141030172,0.143772083434848,0.47128832275188,0.167060656709908,0.000269280117157322,0.59204713761738,0.00094961119855963,0.685219775897658,0.302612384482385,0.37873590048929,"none","positive","none","none","none","positive","none","positive","none","none","none"
"407","Deep Creek Subbasin",-0.33175355450237,-0.436018957345972,-0.113744075829384,-0.104265402843602,-0.312796208530806,-0.232227488151659,-0.492890995260663,-0.393364928909953,-0.336492890995261,-0.018957345971564,0.000506413852265242,0.0152490008867998,0.00114287113998435,0.405960195951172,0.439303397572371,0.0205304803688588,0.0870783043402279,0.000243288719991464,0.00404427988341149,0.0142860264857285,0.916865135195617,"negative","negative","negative","none","none","negative","none","negative","negative","negative","none"
"437","Duwamish River Subbasin",0.181818181818182,-0.206611570247934,0.0165289256198347,0.181818181818182,0.0909090909090909,0.239669421487603,-0.0743801652892562,0.00826446280991736,-0.148760330578512,-0.396694214876033,0.30341254524038,0.262105001664199,0.177666650291611,0.954412806549034,0.244796060469985,0.577927266220702,0.124555847512429,0.550615759928871,1,0.37979902829109,0.0129063396350217,"none","none","none","none","none","none","none","none","none","none","negative"
"460","E Lake Sammamish Subbasin",0.173451327433628,-0.0141592920353982,0.269026548672566,0.047787610619469,0.0849557522123894,0.187610619469027,0.161061946902655,0.106194690265487,0.0690265486725664,0.063716814159292,0.079104178360357,0.0505307093027374,0.881095321527321,0.00174792086980391,0.572500025468492,0.339901544694638,0.0305238926222395,0.051330137700319,0.238375427168904,0.446252484702759,0.484509204895,"none","none","none","positive","none","none","positive","none","none","none","none"
"529","E Lake Washington - Kenmore N Subbasin",0.341666666666667,-0.441666666666667,0.375,0.0333333333333333,-0.208333333333333,0.258333333333333,-0.075,0.00833333333333333,0.4,-0.375,1,0.0639824896298031,0.00709274812393335,0.0198735356908217,0.878429513108325,0.260879848632562,0.129551352904409,0.385546631571102,1,0.0186747436323631,0.0151714620335095,"none","none","negative","positive","none","none","none","none","none","positive","negative"
"545","E Lake Washington - Kenmore S Subbasin",0.114285714285714,0.39047619047619,0.0380952380952381,0.371428571428571,0.247619047619048,0.19047619047619,-0.0952380952380952,0.171428571428571,-0.142857142857143,-0.247619047619048,0.488422316622593,0.577522884388024,0.0208502522144065,0.875505018002981,0.0507428725885175,0.203207420709429,0.333506773405866,0.518891575628039,0.399612296231828,0.488422316622593,0.215457785807379,"none","none","positive","none","none","none","none","none","none","none","none"
