"","taxon","site","mk.tau","mk.Sen","mk.pval","mk.inter","trend","samples","sum.taxon"
"1","Uenoidae..s.l.","Bear Creek Subbasin",0,0,NA,0,"none",0,0
"2","Uenoidae..s.l.","Black River Subbasin",0,0,NA,0,"none",0,0
"3","Uenoidae..s.l.","Coal Creek (Cedar) Subbasin",0,0,NA,0,"none",0,0
"4","Uenoidae..s.l.","Coal Creek (Green) Subbasin",0,0,1,0,"none",1,1
"5","Uenoidae..s.l.","Covington Creek Subbasin",0.140350877192982,0,0.198534135025576,0,"none",3,3
"6","Uenoidae..s.l.","Deep Creek Subbasin",0,0,NA,0,"none",0,0
"7","Uenoidae..s.l.","Duwamish River Subbasin",0,0,NA,0,"none",0,0
"8","Uenoidae..s.l.","E Lake Sammamish Subbasin",0.140350877192982,0,0.126590597829431,0,"none",2,2
"9","Uenoidae..s.l.","E Lake Washington - Kenmore N Subbasin",0,0,NA,0,"none",0,0
"10","Uenoidae..s.l.","E Lake Washington - Kenmore S Subbasin",0,0,NA,0,"none",0,0
"11","Uenoidae..s.l.","Evans Creek Subbasin",0,0,NA,0,"none",0,0
"12","Uenoidae..s.l.","Forbes Creek Subbasin",0,0,NA,0,"none",0,0
"13","Uenoidae..s.l.","Issaquah Creek Subbasin",0.0818713450292398,0,0.51915395068071,0,"none",4,6
"14","Uenoidae..s.l.","Jenkins Creek Subbasin",-0.0065359477124183,0,1,0,"none",1,1
"15","Uenoidae..s.l.","Kelsey Creek Subbasin",0,0,NA,0,"none",0,0
"16","Uenoidae..s.l.","Little Bear Creek Subbasin",0.12280701754386,0,0.389862272509634,0,"none",6,9
"17","Uenoidae..s.l.","Lower Cedar River Subbasin",0,0,NA,0,"none",0,0
"18","Uenoidae..s.l.","Lower Green River - E Subbasin",0.0935672514619883,0,0.170903520230797,0,"none",1,1
"19","Uenoidae..s.l.","Lower Green River - W Subbasin",0,0,NA,0,"none",0,0
"20","Uenoidae..s.l.","Lyon Creek Subbasin",0,0,NA,0,"none",0,0
"21","Uenoidae..s.l.","May Creek Subbasin",0,0,NA,0,"none",0,0
"22","Uenoidae..s.l.","McAleer Creek Subbasin",0,0,NA,0,"none",0,0
"23","Uenoidae..s.l.","Mercer Slough Subbasin",0,0,NA,0,"none",0,0
"24","Uenoidae..s.l.","Middle Green River Subbasin",0.0935672514619883,0,0.319096269682405,0,"none",2,2
"25","Uenoidae..s.l.","Mill Creek Subbasin",0.0701754385964912,0,0.315302452081746,0,"none",1,1
"26","Uenoidae..s.l.","Miller Creek Subbasin",0,0,NA,0,"none",0,0
"27","Uenoidae..s.l.","Newaukum Creek Subbasin",0.140350877192982,0,0.198534135025576,0,"none",3,3
"28","Uenoidae..s.l.","North Creek Subbasin",0,0,NA,0,"none",0,0
"29","Uenoidae..s.l.","Sammamish River Subbasin",0.0350877192982456,0,0.779854617964919,0,"none",3,3
"30","Uenoidae..s.l.","Soos Creek Subbasin",0.12280701754386,0,0.320316355492068,0,"none",4,5
"31","Uenoidae..s.l.","Swamp Creek Subbasin",0,0,NA,0,"none",0,0
"32","Uenoidae..s.l.","Thornton Creek Subbasin",0,0,NA,0,"none",0,0
"33","Uenoidae..s.l.","Tibbetts Creek Subbasin",0,0,NA,0,"none",0,0
"34","Uenoidae..s.l.","Upper Cedar River Subbasin",0.0735294117647059,0,0.570750388058174,0,"none",3,3
"35","Uenoidae..s.l.","Vashon-Maury Island Subbasin",0.0571428571428571,0,0.671125458389813,0,"none",2,2
"36","Uenoidae..s.l.","W Lake Sammamish Subbasin",0,0,NA,0,"none",0,0
