"","Subbasin","each","rkt.pval","rkt.Sen","rkt.tau","RKTtrend","samples","sum.taxon"
"1","Bear Creek Subbasin","Uenoidae..s.l.",1,0,0,"none",0,0
"2","Black River Subbasin","Uenoidae..s.l.",1,0,0,"none",0,0
"3","Coal Creek (Cedar) Subbasin","Uenoidae..s.l.",1,0,0,"none",0,0
"4","Coal Creek (Green) Subbasin","Uenoidae..s.l.",1,0,0,"none",1,5.625
"5","Covington Creek Subbasin","Uenoidae..s.l.",0.204776910634304,0,0.0342771982116244,"none",3,3.09659090909091
"6","Deep Creek Subbasin","Uenoidae..s.l.",1,0,0,"none",0,0
"7","Duwamish River Subbasin","Uenoidae..s.l.",1,0,0,"none",0,0
"8","E Lake Sammamish Subbasin","Uenoidae..s.l.",0.138568499237703,0,0.0371681415929204,"none",2,1.16071428571429
"9","E Lake Washington - Kenmore N Subbasin","Uenoidae..s.l.",1,0,0,"none",0,0
"10","E Lake Washington - Kenmore S Subbasin","Uenoidae..s.l.",1,0,0,"none",0,0
"11","Evans Creek Subbasin","Uenoidae..s.l.",1,0,0,"none",0,0
"12","Forbes Creek Subbasin","Uenoidae..s.l.",1,0,0,"none",0,0
"13","Issaquah Creek Subbasin","Uenoidae..s.l.",0.421528216811341,0,0.0148760330578512,"none",6,12.3898195876289
"14","Jenkins Creek Subbasin","Uenoidae..s.l.",1,0,-0.00366300366300366,"none",1,0.909090909090909
"15","Kelsey Creek Subbasin","Uenoidae..s.l.",1,0,0,"none",0,0
"16","Little Bear Creek Subbasin","Uenoidae..s.l.",0.238967868875937,0,0.031657355679702,"none",9,15.3402777777778
"17","Lower Cedar River Subbasin","Uenoidae..s.l.",1,0,0,"none",0,0
"18","Lower Green River - E Subbasin","Uenoidae..s.l.",0.170903520230797,0,0.0549828178694158,"none",1,3
"19","Lower Green River - W Subbasin","Uenoidae..s.l.",1,0,0,"none",0,0
"20","Lyon Creek Subbasin","Uenoidae..s.l.",1,0,0,"none",0,0
"21","May Creek Subbasin","Uenoidae..s.l.",1,0,0,"none",0,0
"22","McAleer Creek Subbasin","Uenoidae..s.l.",1,0,0,"none",0,0
"23","Mercer Slough Subbasin","Uenoidae..s.l.",1,0,0,"none",0,0
"24","Middle Green River Subbasin","Uenoidae..s.l.",0.457303614845327,0,0.0149863760217984,"none",2,1.78571428571429
"25","Mill Creek Subbasin","Uenoidae..s.l.",0.297621467891116,0,0.036231884057971,"none",1,0.291631445477599
"26","Miller Creek Subbasin","Uenoidae..s.l.",1,0,0,"none",0,0
"27","Newaukum Creek Subbasin","Uenoidae..s.l.",0.0964185263941404,0,0.0418470418470418,"none",3,1.47321428571429
"28","North Creek Subbasin","Uenoidae..s.l.",1,0,0,"none",0,0
"29","Sammamish River Subbasin","Uenoidae..s.l.",1,0,0,"none",3,6.29379084967321
"30","Soos Creek Subbasin","Uenoidae..s.l.",0.70803423711842,0,0.0110429447852761,"none",5,2.86413817663818
"31","Swamp Creek Subbasin","Uenoidae..s.l.",1,0,0,"none",0,0
"32","Thornton Creek Subbasin","Uenoidae..s.l.",1,0,0,"none",0,0
"33","Tibbetts Creek Subbasin","Uenoidae..s.l.",1,0,0,"none",0,0
"34","Upper Cedar River Subbasin","Uenoidae..s.l.",0.616845662867225,0,0.0661764705882353,"none",3,3.03861996187364
"35","Vashon-Maury Island Subbasin","Uenoidae..s.l.",0.585440934568927,0,0.0445859872611465,"none",2,1.11115384615385
"36","W Lake Sammamish Subbasin","Uenoidae..s.l.",1,0,0,"none",0,0
"37","W Lake Washington - Seattle N Subbasin","Uenoidae..s.l.",1,0,0,"none",0,0
"38","W Lake Washington - Seattle S Subbasin","Uenoidae..s.l.",1,0,0,"none",0,0
"39","Bear Creek Subbasin","Kogotus.Rickera.Cultus",0.540662082799945,0,0.0338517840805123,"none",53,108.303499725491
"40","Black River Subbasin","Kogotus.Rickera.Cultus",0.222840231331715,0,-0.0637019230769231,"none",49,197.225276988743
"41","Coal Creek (Cedar) Subbasin","Kogotus.Rickera.Cultus",0.124419194955457,0,0.2,"none",13,7.8393038121299
"42","Coal Creek (Green) Subbasin","Kogotus.Rickera.Cultus",0.473301413464434,0,0.0781758957654723,"none",13,27.7011050632374
"43","Covington Creek Subbasin","Kogotus.Rickera.Cultus",0.477199032683754,0,0.0476900149031297,"none",28,46.997298156496
"44","Deep Creek Subbasin","Kogotus.Rickera.Cultus",0.764920833029058,0,0.037914691943128,"none",10,24.6604323758759
"45","Duwamish River Subbasin","Kogotus.Rickera.Cultus",0.772058969750735,0,-0.0247933884297521,"none",1,0.333333333333333
"46","E Lake Sammamish Subbasin","Kogotus.Rickera.Cultus",0.49415258364267,0,-0.0371681415929204,"none",10,26.8169961166285
"47","E Lake Washington - Kenmore N Subbasin","Kogotus.Rickera.Cultus",0.664389443171999,0,-0.0416666666666667,"none",1,1.25
"48","E Lake Washington - Kenmore S Subbasin","Kogotus.Rickera.Cultus",0.409666353146151,0,0.164835164835165,"none",7,2.97878108733372
"49","Evans Creek Subbasin","Kogotus.Rickera.Cultus",0.447278138969254,0,-0.0739299610894942,"none",19,23.162890538526
"50","Forbes Creek Subbasin","Kogotus.Rickera.Cultus",1,0,0,"none",0,0
"51","Issaquah Creek Subbasin","Kogotus.Rickera.Cultus",0.783486232981674,0,0.0132231404958678,"none",44,108.004912889721
"52","Jenkins Creek Subbasin","Kogotus.Rickera.Cultus",0.205118293825499,0,0.139194139194139,"none",12,21.5716804101197
"53","Kelsey Creek Subbasin","Kogotus.Rickera.Cultus",0.0101506975868129,0,0.326797385620915,"positive",4,4.60994318181818
"54","Little Bear Creek Subbasin","Kogotus.Rickera.Cultus",0.108233528657844,0,0.090316573556797,"none",53,106.868238387123
"55","Lower Cedar River Subbasin","Kogotus.Rickera.Cultus",0.755169411443333,0,-0.0256410256410256,"none",41,84.8668788749037
"56","Lower Green River - E Subbasin","Kogotus.Rickera.Cultus",0.616832378366589,0,0.0412371134020619,"none",5,4.43870192307692
"57","Lower Green River - W Subbasin","Kogotus.Rickera.Cultus",1,0,0,"none",0,0
"58","Lyon Creek Subbasin","Kogotus.Rickera.Cultus",0.15683772035407,0.0376131221719457,0.258333333333333,"none",9,30.0892340588548
"59","May Creek Subbasin","Kogotus.Rickera.Cultus",0.263872009473237,0,0.104395604395604,"none",20,29.999702337963
"60","McAleer Creek Subbasin","Kogotus.Rickera.Cultus",0.31092605849155,-0.0266106442577033,-0.183823529411765,"none",11,8.58394247651214
"61","Mercer Slough Subbasin","Kogotus.Rickera.Cultus",1,0,0,"none",0,0
"62","Middle Green River Subbasin","Kogotus.Rickera.Cultus",0.140794182827582,0,0.0844686648501362,"none",32,61.8053169740775
"63","Mill Creek Subbasin","Kogotus.Rickera.Cultus",0.560250566607231,0,0.0760869565217391,"none",25,70.0026869576502
"64","Miller Creek Subbasin","Kogotus.Rickera.Cultus",0.471451706838927,0.0481004901960779,0.133333333333333,"none",15,61.8074229691877
"65","Newaukum Creek Subbasin","Kogotus.Rickera.Cultus",0.0104791368319415,0,0.187590187590188,"positive",42,66.5121710905967
"66","North Creek Subbasin","Kogotus.Rickera.Cultus",0.118624142339689,0,0.158536585365854,"none",19,26.0703699189826
"67","Sammamish River Subbasin","Kogotus.Rickera.Cultus",0.203876248988454,0,0.0611916264090177,"none",20,25.6719894688645
"68","Soos Creek Subbasin","Kogotus.Rickera.Cultus",0.040725948747963,0,0.138650306748466,"positive",54,158.152180076162
"69","Swamp Creek Subbasin","Kogotus.Rickera.Cultus",0.482574777155014,0,-0.0795847750865052,"none",14,49.4577991452991
"70","Thornton Creek Subbasin","Kogotus.Rickera.Cultus",1,0,0,"none",0,0
"71","Tibbetts Creek Subbasin","Kogotus.Rickera.Cultus",0.204938694589631,0,0.114285714285714,"none",3,7.44879201680673
"72","Upper Cedar River Subbasin","Kogotus.Rickera.Cultus",0.145294111010432,0,0.227941176470588,"none",6,6.51064733877233
"73","Vashon-Maury Island Subbasin","Kogotus.Rickera.Cultus",0.324667983744672,0.0631313131313131,0.152866242038217,"none",24,55.729911162356
"74","W Lake Sammamish Subbasin","Kogotus.Rickera.Cultus",1,0,-0.00480769230769231,"none",2,0.982142857142857
