"Visit.ID","Site.Code","longname","ACARI","ACENTRELLA","Agapetus","Allocosmoecus","Ameletus","AMERICOROPHIUM","Amiocentrus","AMPHICOSMOECUS","AMPHIPODA","Ampumixis","Anagapetus","ANCYLIDAE","ANISOPTERA","Antocha","Apatania","APATANIIDAE","Arctopsyche","Asellidae","Atherix","Attenella","AUSTROLIMNOPHILA","BAETIDAE","BAETIS","BAETIS FUSCATUS GROUP","BAETIS RHODANI GROUP","Baetis_alius","Blephariceridae","BRACHYCENTRIDAE","Brachycentrus","Calineuria","Callibaetis","CALOPTERYX","Capniidae","Caudatella","Centroptilum","CERATOPOGONIDAE","Ceratopogoninae","CHEILOTRICHIA","Chelifera.Metachela","Cheumatopsyche","CHIRONOMIDAE","CHLOROPERLIDAE","Cinygma","Cinygmula","Claassenia_sabulosa","CLADOCERA","Cleptelmis","Clinocera","CLOSTOECA","Coenagrionidae","COPEPODA","Cordulegastridae","Corixidae","Corydalidae","CRANGONYCTIDAE","CRANGONYX","Cryptochia","CULICIDAE","Cultus","CYSTOBRANCHUSOSITICUS","DASYHELEA","DECAPODA","Despaxia","DICOSMOECUS","Dicranota","Diphetor_hageni","DIPTERA","Dixa","Dixella","DIXIDAE","Dolichopodidae","Dolophilodes","Doroneuria","DRUNELLA","Drunella_coloradensis.flavilinea","Drunella_doddsi","Drunella_grandis","Drunella_pelosa","Dytiscidae","Ecclisocosmoecus","Ecclisomyia","ELMIDAE","EMPIDIDAE","EMPIDIDAE GENUS A","EMPIDIDAE GENUS B","EOCOSMOECUS","EPEORUS","Ephemerella","EPHEMERELLIDAE","Ephydridae","EPIPHRAGMA","ERIOPTERA","Farula","Forcipomyiinae","Gammarus","GASTROPODA","Glossosoma","GLOSSOSOMATIDAE","Glutops","GNORIMOSPHAEROMA","Goera","Goeracea","GOERIDAE","Gomphidae","GONOMYIA","Gumaga","GYRINIDAE","Haliplidae","Hemerodromia","HEMERODROMIINAE","Heptagenia","HEPTAGENIIDAE","Hesperoconopa","Hesperoperla_pacifica","Heterlimnius","Heteroplectron","Hexatoma","Hirudinea","HOLORUSIA HESPERA","Hyalella","Hydatophylax","Hydraena","HYDRAENIDAE","HYDROBIIDAE","HYDROCHUS","Hydrophilidae","Hydropsyche","HYDROPSYCHIDAE","Hydroptila","HYDROPTILIDAE","HYDROZOA","Ironodes","Isoperla","ISOPODA","Kathroperla","Kogotus.Rickera","Labiobaetis","Lara","LEPIDOPTERA","Lepidostoma","Leptoceridae","LEUCTRIDAE","LIMNEPHILIDAE","LIMNEPHILOIDEA","LIMNICHIDAE","Limnophila","Limonia","LIPSOTHRIX","Lymnaeidae","Malenka","Margaritifera","Maruina","Megarcys","Meringodixa","Micrasema","Molophilus","Moselia","Muscidae","Narpus","Nematoda","NEMATOMORPHA","NEMOURIDAE","NEOPHYLAX","NEOPLASTA","Neothremma","Ochthebius","Odontoceridae","Oligochaeta","Oligophlebodes","Onocosmoecus","Optioservus","Oreogeton","Ormosia","Ostracoda","OXYETHIRA","PACIFASTACUS","PALAEMONIDAE","Paraleptophlebia","Paraperla","PARAPSYCHE","Pedicia","PERLIDAE","Perlinodes","PERLODIDAE","PHILOPOTAMIDAE","Physidae","Pilaria","PISIDIUM","Planorbidae","PLECOPTERA","PLEUROCERIDAE","Plumiperla","POLYCELIS","Polycentropodidae","POLYCHAETA","Prostoma","PROTANYDERUS","Protoptila","PSEPHENIDAE","PSYCHODIDAE","Psychoglypha","Psychomyia","Pteronarcella","PTERONARCYIDAE","Pteronarcys","PTILODACTYLIDAE","Ptychopteridae","RAMELLOGAMMARUS","Rhabdomastix","Rhithrogena","RHYACOPHILA","ROEDERIODES","SCIOMYZIDAE","SCIRTIDAE","SERRATELLA LEVIS_MICHENERI","Serratella_teresa","Sialis","SIMULIIDAE","Skwala","Soyedina","Sphaeriidae","STAPHYLINIDAE","Stratiomyidae","STYGOBROMUS","Suwallia","Sweltsa","SYRPHIDAE","Tabanidae","Taeniopterygidae","THAUMALEIDAE","Timpanoga_hecuba","Tipula","TIPULIDAE","TREPAXONEMATA","TRICHOCLINOCERA","TRICHOPTERA","Tricorythodes","UENOIDAE","ULOMORPHA","UNIONIDAE","Visoka","Wiedemannia","Wormaldia","Yoraperla","Zaitzevia","ZAPADA","Zapada_cinctipes","Zapada_columbiana","Zapada_frigida","Zapada_Oregonensis_Gr_"
83,"08BEA3312/06","08BEA3312/06",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,42,0,21,0,0,0,30,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,15,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,7,14,0,1,0,0,0,0,0,13,0,0,16,0,0,0,0,0,0,57,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,6,0,4,0,0,0,0,87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,60,0,0,0
84,"08BEA3321/06","08BEA3321/06",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,63,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,3,0,0,0,0,0,57,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,5,0,0,0,0,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
85,"08BEA3478/06","08BEA3478/06",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,255,0,0,26,0,0,0,0,0,0,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,4,0,24,0,0,0,0,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
86,"08BEA3571/06","08BEA3571/06",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,28,0,0,39,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,66,1,0,4,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
87,"08BEA3650/06","08BEA3650/06",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12,0,0,0,0,0,0,38,17,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,12,0,45,0,0,1
87,"08BEA3650/06-R","08BEA3650/06-R",10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,27,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14,0,0,0,0,0,0,4,11,0,0,0,0,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,20,0,4,0,21,0,0,1
88,"08BEA3737/06","08BEA3737/06",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,24,0,0,126,0,0,0,0,0,0,19,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,6,9,0,0,0,0,0,0,97,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,10,0,47,0,0,0
89,"08BEA3747/06","08BEA3747/06",5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,22,0,0,245,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
90,"08BEA3826/06","08BEA3826/06",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,22,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,1,58,0,0,0,0,15,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,60,0,0,2,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,18,0,0,0,0,0,0,3,10,6,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,0,0,6
91,"08CED2433/06","08CED2433/06",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,44,0,0,1,0,0,2,0,0,0,0,0,15,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,13,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,31
