"","taxon","mk.tau","mk.Sen","mk.pval","mk.inter","mk.trend","samples","sum.taxon"
"1","Uenoidae..s.l.",0.39766081871345,0.138669329117786,0.01704353710709,-278.012591175084,"positive",13,40.3652353182183
"2","Kogotus.Rickera.Cultus",0.52046783625731,1.08498510169711,0.00207884793693544,-2144.89478651935,"positive",19,660.413867878486
"3","Clinocerinae",0.52046783625731,0.470430107526882,0.00207884793693544,-934.005376344086,"positive",19,231.8020442705
"4","Zapada.Oregonensis.Group",0.116959064327485,0.245098039215686,0.505965403792183,-462.525010004002,"none",19,569.073201775352
"5","Zapada.frigida",0.134502923976608,0.00311177495643511,0.433108552512526,-5.29001742593967,"none",13,25.4316842448362
"6","Zapada.columbiana",0,0,1,0.980392156862745,"none",15,28.1363940375876
"7","Zapada.cinctipes",0.146198830409357,0.231481481481481,0.401102572891941,-379.466230936818,"none",19,1640.5051491706
"8","Zapada",0.298245614035088,0.05941770647653,0.0629534658907676,-118.596044478397,"none",10,21.0140219913207
"9","Zaitzevia",0.64327485380117,0.939239332096476,0.000135762639778246,-1862.57562313463,"positive",19,529.697941577385
"10","Yoraperla",0.327485380116959,0.205920205920206,0.0541811963139645,-406.692406692407,"none",19,147.607072447004
"11","Wormaldia",0.421052631578947,0.483630952380952,0.01293706233934,-946.559452094089,"positive",19,498.514964135439
"12","Visoka.cataractae",-0.245614035087719,-0.0773036487322202,0.151205306171295,157.495725562953,"none",18,39.1618917474614
"13","Unionidae",0.0935672514619883,0,0.45808449300021,0,"none",4,6.55855273502332
"14","Ulomorpha",0.491228070175439,0.0754147812971342,0.00115189763111514,-151.734539969834,"positive",8,13.5662268015209
"15","Tricorythodes",0.257309941520468,0,0.0504777657240413,0,"none",5,5.68731546672723
"16","Trepaxonemata",0.304093567251462,0.575410887246465,0.0742034113297552,-1107.72670513989,"none",19,911.721906895985
"17","Tipulidae.s.l.",0.111111111111111,0.00330098369314057,0.521289389519077,-5.63147818049781,"none",13,36.1061816336762
"18","Tipula",0.374269005847953,0.556586270871986,0.0274231543813547,-1099.42146946755,"positive",19,400.6289832897
"19","Timpanoga.hecuba",-0.210526315789474,-0.121607782898106,0.219727879844391,248.975934459806,"none",18,92.2317559620188
"20","Thaumaleidae",0.339181286549708,0.237801557933571,0.0459993668750371,-473.69482980044,"positive",17,89.0774657158047
"21","Taeniopterygidae",0.0175438596491228,0,0.911482879862776,0,"none",3,5.73421287707002
"22","Tabanidae",0.0818713450292398,0,0.610668609679029,0,"none",8,12.1021617708844
"23","Sweltsa",-0.175438596491228,-0.10439360929557,0.310009041817792,287.817719680464,"none",19,1474.05960274237
"24","Stygobromus",0.146198830409357,0,0.111699179846431,0,"none",2,1.98097479650878
"25","Stratiomyidae",0.0467836257309941,0,0.750180644592298,0,"none",5,6.17760226969341
"26","Staphylinidae",-0.087719298245614,0,0.353484786087433,0,"none",2,3.0309153364316
"27","Sphaeriidae",-0.204678362573099,-0.465838509316771,0.234239263033982,988.87998397115,"none",19,968.830301809556
"28","Soyedina",0.152046783625731,0.135715443202074,0.381478665175003,-267.290240953343,"none",18,107.979530853049
