"","Site","slope_hpc","LRpval_hpc","LRtrend_hpc","MKtau_hpc","MKSlope_hpc","MKpval_hpc","MKinter_hpc","MKtrend_hpc","slope_hpdur","LRpval_hpdur","LRtrend_hpdur","MKtau_hpdur","MKSlope_hpdur","MKpval_hpdur","MKinter_hpdur","MKtrend_hpdur","slope_hprange","LRpval_hprange","LRtrend_hprange","MKtau_hprange","MKSlope_hprange","MKpval_hprange","MKinter_hprange","MKtrend_hprange","slope_tqm","LRpval_tqm","LRtrend_tqm","MKtau_tqm","MKSlope_tqm","MKpval_tqm","MKinter_tqm","MKtrend_tqm","slope_RBI","LRpval_RBI","LRtrend_RBI","MKtau_RBI","MKSlope_RBI","MKpval_RBI","MKinter_RBI","MKtrend_RBI","slope_maxtomeanQ","LRpval_maxtomeanQ","LRtrend_maxtomeanQ","MKtau_maxtomeanQ","MKSlope_maxtomeanQ","MKpval_maxtomeanQ","MKinter_maxtomeanQ","MKtrend_maxtomeanQ","slope_LFI","LRpval_LFI","LRtrend_LFI","MKtau_LFI","MKSlope_LFI","MKpval_LFI","MKinter_LFI","MKtrend_LFI","Nyears"
"1","08BEA3650",0.0999999999999961,0.368360121115652,"none",0.0666666666666667,0,0.689400290742068,9,"none",0.0913462765684196,0.141301659539706,"none",0.228571428571429,0.102714646464647,0.155824587862033,-202.293447634238,"none",0.979220779220745,0.554096777791953,"none",0.104761904761905,1,0.52561470362664,-1863,"none",-0.00034929513932433,0.810358461090301,"none",-0.00952380952380952,0,0.975843852093112,0.328767123287671,"none",-0.000384620595716437,0.661534801676993,"none",-0.0476190476190476,-0.000360909215695083,0.785797106178966,0.946220217629354,"none",0.019139367005339,0.833096260000339,"none",-0.00952380952380952,-0.0110056144708042,0.975910003234818,31.4116829541516,"none",0.000193405751309727,0.97053523643325,"none",-0.00952380952380952,-0.000896699045609457,0.975910003234818,2.82252637423359,"none",21
"22","07CHR234411",0.215037593984964,0.0864187701824134,"none",0.278947368421053,0.174242424242424,0.0883379088864538,-341.662878787879,"none",-0.0298617698311044,0.67502275262506,"none",-0.0263157894736842,-0.0142081447963802,0.896688668059894,33.8855580693819,"none",1.34962406015029,0.381403303421533,"none",0.126315789473684,1.15,0.454425092622256,-2152.875,"none",0.00124689108803903,0.400625599618445,"none",0.2,0.001174168297456,0.228986473299645,-2.02101579459546,"none",0.00200431833909676,0.230261095530156,"none",0.252631578947368,0.0026453596388456,0.1272886922566,-5.07266670470267,"none",0.280009697988859,0.134284875264354,"none",0.168421052631579,0.167904600553756,0.314524869050972,-328.297151094521,"none",-0.0173624877119678,0.209992037154763,"none",-0.231578947368421,-0.0226096885089691,0.162984413296641,46.5520895277934,"none",20
"42","BSE_1_MudMtnRd",0.148051948051945,0.24851399948386,"none",0.176190476190476,0.17156862745098,0.272802998378529,-334.196078431373,"none",0.0475492441095953,0.252573632763455,"none",0.238095238095238,0.0535236822001523,0.138966893956733,-104.160236822001,"none",-1.75454545454539,0.456950054375294,"none",-0.119047619047619,-1.45833333333333,0.468417198594286,3125.16666666667,"none",-0.00142302042593983,0.409010593032021,"none",-0.0857142857142857,-0.00143349053072831,0.607708140108105,3.22390897522262,"none",0.00307107195076954,0.126848862721495,"none",0.295238095238095,0.00235482324132988,0.0654733584595351,-4.45968732438649,"none",0.339390933824767,0.174414284290211,"none",0.342857142857143,0.473146020270077,0.0320343717059257,-941.160682864253,"positive",-0.0172177230153317,0.058967921076893,"none",-0.247619047619048,-0.0193084864290876,0.123549865896804,39.8371650487714,"none",21
"63","09SOO0943",0.08701298701298,0.378067163774857,"none",0.171428571428571,0.138095238095238,0.285077492770776,-271.847619047619,"none",-0.104074370795142,0.774744755771959,"none",0.214285714285714,0.185453216374269,0.183758657278431,-366.756871345029,"none",0.92727272727269,0.696546754497051,"none",0.0714285714285714,1.15833333333333,0.672331896666797,-2202.56666666667,"none",-0.00322901142573273,0.124318399493138,"none",-0.214285714285714,-0.00317351598173515,0.183758657278431,6.78511415525112,"none",0.00109349886041006,0.0849441652953242,"none",0.247619047619048,0.00120164350737191,0.123549865896804,-2.31519299540902,"none",0.117998131084574,0.214253807642287,"none",0.2,0.0907528740438309,0.215688695591323,-178.136978427744,"none",0.00910231126058861,0.288831614915433,"none",0.266666666666667,0.00973684920438113,0.0967474505928423,-18.5927801350265,"none",21
"84","09BLA0675",0.223048327137543,0.104174576558312,"none",0.289473684210526,0.25,0.0770808613131418,-490.125,"none",0.0943483511681488,0.0489072204637899,"positive",0.273684210526316,0.0602240896358547,0.0976402347299861,-117.590686274511,"none",2.34891131173661,0.42238106455858,"none",0.136842105263158,1.44444444444444,0.417304165627405,-2689.94444444444,"none",0.000140999818048103,0.908896361888658,"none",0.136842105263158,0.000832023355041566,0.416813291248338,-1.40184426229512,"none",-0.00225927155680849,0.286800162119954,"none",-0.0526315789473684,-0.00108041665340666,0.770287726473667,2.53697001578633,"none",0.293967312760168,0.321995390234136,"none",0.157894736842105,0.297787297465082,0.346764183516184,-590.571348914023,"none",0.00778100191814684,0.309373971701782,"none",0.2,0.00564452214606415,0.22996907772364,-10.4633630015526,"none",20
"104","08CED4192",0.00929401251116056,0.904801981216348,"none",0.0584795321637427,0,0.747782019704639,2,"none",0.975322566917708,0.268492921748555,"none",0.292397660818713,0.958333333333325,0.0862823403711173,-1910.66666666665,"none",1.30857908847157,0.592370311961273,"none",0.0350877192982456,0.181818181818182,0.86105212381504,-276.818181818182,"none",-0.00358492223566763,0.230186549285768,"none",-0.222222222222222,-0.00342465753424649,0.193951203459843,7.29863013698613,"none",0.000355657457331701,0.549018493899582,"none",0.0292397660818713,0.000284426483581845,0.88870559083523,-0.521123855809969,"none",0.202564296074323,0.157264630272139,"none",0.216374269005848,0.133474060888158,0.207856803456587,-263.993282221481,"none",-0.00944792148006758,0.330797909921093,"none",-0.192982456140351,-0.0116580255562863,0.26291056711835,24.4594110196547,"none",19
"123","08ISS3877",0.107792207792201,0.448880348339438,"none",0.152380952380952,0.179144385026738,0.346122224708305,-351.438502673797,"none",0.0435463524252672,0.523424521087422,"none",0.0238095238095238,0.00978941872607038,0.903815551843177,-15.5713104768536,"none",1.85194805194802,0.431992817701041,"none",0.114285714285714,1.40625,0.487350390335321,-2675.375,"none",0.00297310145502371,0.166932362758293,"none",0.261904761904762,0.00268446475828148,0.102496608225068,-5.03775511552026,"none",-0.000610169462034001,0.591723254684284,"none",-0.0952380952380952,-0.000784751135604668,0.566142727568169,1.78116584924261,"none",0.0448972073362403,0.746475661311206,"none",0.00952380952380952,0.00747962995432996,0.975888013275491,-6.44744102063419,"none",0.00565096961010654,0.467288237632162,"none",0.161904761904762,0.00739057545920986,0.31900803011513,-13.8976269741521,"none",21
"144","07SFS011059",0.0792207792207725,0.497729180502911,"none",0.1,0.0717948717948718,0.542365964382027,-133.451282051282,"none",-0.0442510087315276,0.534029287463683,"none",-0.080952380952381,-0.022474747474747,0.628832203720356,48.4010101010092,"none",-1.37532467532467,0.500496799517714,"none",-0.0571428571428571,-0.5,0.739534808184702,1222,"none",0.00229195162947684,0.103481771087982,"none",0.280952380952381,0.00203608054495082,0.0794610175700575,-3.73221049479721,"none",-0.000457075333627473,0.757342246304224,"none",-0.0285714285714286,-0.000696343060950139,0.879987855827713,1.61225011465256,"none",-0.124849039204536,0.358672457528751,"none",-0.0761904761904762,-0.0844066267291664,0.650581986958389,177.835783089978,"none",-0.00475308718699661,0.548031908865285,"none",-0.0476190476190476,-0.00320360553232002,0.785797106178966,7.39609171030047,"none",21
"165","08LAK3879",0.118181818181813,0.324716730325341,"none",0.142857142857143,0.105555555555556,0.377390609062663,-205.377777777778,"none",-0.120580155774958,0.477055239513735,"none",-0.0857142857142857,-0.0590136054421767,0.607708140108105,125.592517006802,"none",1.75714285714282,0.424285995325072,"none",0.123809523809524,1.16826923076923,0.449881634310055,-2203.55769230769,"none",0.000301717894352012,0.876759495234406,"none",0.0714285714285714,0.00118306351183063,0.672331896666797,-2.05429638854295,"none",8.04558108636819e-06,0.993352606364711,"none",-0.0476190476190476,-0.000477294589607714,0.785797106178966,1.16639078516926,"none",0.0536346967514225,0.701520916573137,"none",-0.0285714285714286,-0.0276719354355864,0.879987855827713,64.0104575073562,"none",-5.01639099718347e-05,0.997382138666958,"none",-0.00952380952380952,-0.00237852583826535,0.975910003234818,5.63331994261453,"none",21
"186","08EAS1536",0.122787610619444,0.670259519360999,"none",0.0380952380952381,0.0714285714285714,0.881545828868661,-128.642857142857,"none",0.0601901440523148,0.28136773509561,"none",0.257142857142857,0.076704545454545,0.198210619038843,-151.329763986013,"none",-4.46902654867204,0.297818857253963,"none",-0.228571428571429,-5.83333333333333,0.254452526153456,11928.8333333333,"none",0.00369473498029505,0.178977747588117,"none",0.323809523809524,0.00547945205479457,0.101190604353722,-10.7534246575343,"none",-0.00829995938740792,0.313172751677608,"none",-0.314285714285714,-0.00651054741678861,0.113287208222353,13.5752611736979,"none",-0.109973675605756,0.914373723854699,"none",0.0666666666666667,0.1252851671157,0.766525299523572,-237.877770091065,"none",0.00640970285980029,0.734110056168892,"none",0.142857142857143,0.0199612238786802,0.488422316622593,-39.1651099694127,"none",15
