"","SiteName","SampleName","OBJECTID.x","ASubstrateClass","BSubstrateClass","CSubstrateClass","DSubstrateClass","ESubstrateClass","FSubstrateClass","GSubstrateClass","HSubstrateClass","ISubstrateClass","JSubstrateClass","KSubstrateClass","LSubstrateClass","MSubstrateClass","NSubstrateClass","OSubstrateClass","PSubstrateClass","QSubstrateClass","RSubstrateClass"
"1","07CHR045515","07CHR045515_17",1,1,3,2,2,2,5,12,1,3,11,9,17,15,12,10,4,NA,NA
"2","07CHR070059","07CHR070059_17",2,1,2,NA,1,4,5,7,18,14,16,22,10,7,2,2,NA,NA,NA
"3","07GRN022903","07GRN022903_17",3,NA,NA,NA,NA,1,2,7,9,25,39,22,10,1,NA,NA,NA,NA,NA
"4","07GRN077319","07GRN077319_17",4,1,1,NA,1,1,NA,3,6,9,18,17,19,12,14,12,4,NA,NA
"5","07HAR025863","07HAR025863_17",5,5,1,1,5,7,5,4,6,15,20,16,5,2,7,8,1,NA,NA
"6","07HAR070087","07HAR070087_17",6,26,NA,NA,6,8,9,9,13,10,9,7,4,NA,NA,NA,NA,NA,NA
"7","07LMS026663","07LMS026663_17",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,6,17,31,38,13,NA
"8","07LMS033235","07LMS033235_17",8,13,NA,1,NA,NA,7,11,10,14,28,19,22,14,6,NA,NA,NA,NA
"9","07LMS055075","07LMS055075_17",9,7,NA,NA,NA,4,2,8,10,11,17,19,17,9,5,1,NA,NA,NA
"10","07LMS093027","07LMS093027_17",10,1,NA,NA,NA,NA,NA,NA,2,4,3,10,14,22,39,22,49,NA,NA
"11","07LMS103591","07LMS103591_17",11,NA,3,NA,NA,NA,2,9,7,9,12,18,15,6,8,7,5,8,6
"12","07LMS213875","07LMS213875_17",12,4,2,NA,1,NA,NA,1,8,23,21,32,18,10,1,1,NA,NA,NA
"13","07LNT062039","07LNT062039_17",13,NA,NA,NA,NA,NA,2,6,4,16,22,25,22,14,5,2,5,4,2
"14","07LNT075179","07LNT075179_17",14,NA,1,4,1,3,9,10,13,7,9,12,9,6,4,5,9,2,NA
"15","07LNT130827","07LNT130827_17",15,NA,NA,1,NA,1,2,1,6,5,16,18,17,20,17,11,17,NA,NA
"16","07PAT001415","07PAT001415_17",16,2,1,1,1,4,7,10,8,9,17,15,14,9,1,1,NA,NA,NA
"17","07PAT231079","07PAT231079_17",17,16,2,3,2,5,11,14,9,11,14,12,5,3,3,2,NA,NA,NA
"18","07RAG002867","07RAG002867_17",18,NA,2,2,4,6,8,11,12,9,8,13,7,5,1,4,4,2,2
"19","07RAG004615","07RAG004615_17",19,NA,NA,1,4,8,4,10,7,11,17,8,6,11,1,9,6,1,1
"20","07RAG018227","07RAG018227_17",20,NA,2,NA,NA,2,4,6,5,12,9,18,22,14,4,NA,1,NA,NA
"21","07RAG022147","07RAG022147_17",21,2,NA,2,2,9,4,13,15,15,17,13,6,4,4,3,2,NA,NA
"22","07RAG042787","07RAG042787_17",22,NA,4,NA,4,6,3,9,6,10,9,3,5,7,7,6,12,7,3
"23","07RAG043443","07RAG043443_17",23,1,3,3,1,7,7,15,19,20,22,19,9,6,1,NA,NA,NA,NA
"24","07SFS009443","07SFS009443_17",24,NA,NA,NA,NA,2,NA,5,10,17,13,20,21,8,9,3,2,NA,NA
"25","07SFS011059","07SFS011059_17",25,4,1,NA,NA,NA,NA,2,2,18,27,28,28,18,5,NA,1,NA,NA
"26","07SFS011475","07SFS011475_17",26,NA,NA,NA,NA,NA,1,1,7,6,14,14,22,17,14,6,15,1,NA
"27","07SFS041891","07SFS041891_17",27,1,9,1,1,1,3,11,4,8,8,11,11,16,15,6,5,3,1
"28","07SFS066611","07SFS066611_17",28,7,4,1,1,4,NA,7,14,16,16,21,22,2,NA,NA,NA,NA,NA
"29","07STL080295","07STL080295_17",29,1,2,2,NA,1,NA,5,2,10,24,31,28,13,8,1,NA,NA,NA
"30","07STL184007","07STL184007_17",30,1,NA,NA,4,3,2,7,9,11,25,25,22,15,8,7,7,4,NA
"31","07TKL047047","07TKL047047_17",31,NA,NA,1,6,10,5,6,8,12,15,12,15,10,3,2,2,NA,NA
"32","07TKL072439","07TKL072439_17",32,3,2,NA,3,6,8,12,19,15,19,21,6,2,NA,NA,NA,NA,NA
"33","08BEA3312","08BEA3312_17",33,NA,NA,1,1,2,6,14,20,21,26,15,5,NA,NA,NA,NA,NA,NA
"34","08BEA3321","08BEA3321_17",34,70,2,2,4,7,3,7,16,5,7,9,1,NA,NA,NA,NA,NA,NA
"35","08BEA3474","08BEA3474_17",35,4,22,2,4,3,5,7,3,11,7,5,18,19,9,5,NA,NA,NA
"36","08BEA3571","08BEA3571_17",36,13,3,2,5,1,5,11,15,31,19,8,2,3,2,3,2,NA,NA
"37","08BEA3650","08BEA3650_17",37,5,NA,NA,NA,1,6,11,10,13,18,17,26,8,NA,NA,NA,NA,NA
"38","08BEA3737","08BEA3737_17",38,4,1,NA,1,5,14,30,40,20,3,2,NA,NA,NA,NA,NA,NA,NA
"39","08BEA3747","08BEA3747_17",39,9,2,3,3,9,13,14,16,21,14,10,2,1,3,1,NA,NA,NA
"40","08BEA3826","08BEA3826_17",40,6,6,1,4,5,8,17,14,18,20,10,1,6,3,NA,NA,NA,NA
"41","08BEA3914","08BEA3914_17",41,1,NA,1,NA,1,3,3,12,30,23,23,14,NA,NA,NA,NA,NA,NA
"42","08CED2433","08CED2433_17",42,1,NA,3,3,1,3,7,8,8,15,18,25,11,6,1,2,2,NA
"43","08CED2518","08CED2518_17",43,3,4,2,NA,1,3,7,10,19,21,16,11,5,2,NA,NA,NA,NA
"44","08CED2711","08CED2711_17",44,NA,NA,NA,1,1,1,1,6,11,23,25,20,11,6,1,2,1,NA
"45","08CED2898","08CED2898_17",45,12,NA,1,3,7,10,15,31,17,9,NA,1,NA,NA,NA,NA,NA,NA
"46","08CED4192","08CED4192_17",46,NA,1,1,1,2,6,5,8,8,12,16,11,15,10,1,8,NA,NA
"47","08CED4975","08CED4975_17",47,19,9,4,9,15,19,14,12,7,1,NA,NA,NA,NA,NA,NA,NA,NA
"48","08CED5032","08CED5032_17",48,12,2,1,2,7,5,6,10,8,9,21,10,13,6,7,14,NA,NA
"49","08CED5046","08CED5046_17",49,NA,4,1,1,1,5,5,8,11,8,15,11,10,4,4,15,4,NA
"50","08EAS1536","08EAS1536_17",50,12,NA,2,3,4,6,8,12,10,16,19,15,4,NA,NA,NA,NA,NA
"51","08EAS1964","08EAS1964_17",51,5,NA,NA,1,1,5,4,16,19,25,20,4,NA,NA,NA,NA,NA,NA
"52","08EAS2058","08EAS2058_17",52,11,NA,1,3,3,2,7,5,12,12,18,20,14,7,1,2,NA,1
"53","08EAS2191","08EAS2191_17",53,2,6,6,9,16,16,25,17,7,3,3,NA,NA,NA,NA,NA,NA,NA
"54","08EAS2272","08EAS2272_17",54,NA,6,NA,1,NA,1,14,11,19,13,15,10,12,5,4,3,1,NA
"55","08EAS2446","08EAS2446_17",55,1,1,3,3,9,6,10,8,15,20,17,14,9,2,NA,NA,NA,NA
"56","08EAS2540","08EAS2540_17",56,NA,NA,1,3,9,8,10,13,24,19,11,5,5,2,1,2,NA,NA
"57","08EAS2546","08EAS2546_17",57,2,3,5,3,4,4,13,10,16,9,17,8,3,3,NA,NA,NA,NA
"58","08EAS2631","08EAS2631_17",58,1,3,NA,3,3,2,8,23,31,18,16,7,1,2,NA,NA,NA,NA
"59","08EVA3637","08EVA3637_17",59,34,4,9,9,5,10,10,9,10,8,5,NA,NA,NA,NA,NA,NA,NA
"60","08EVA3640","08EVA3640_17",60,22,5,6,4,11,12,14,13,6,8,6,8,9,2,NA,NA,2,NA
"61","08EVA3642","08EVA3642_17",61,7,3,4,5,3,11,11,14,24,8,12,5,5,NA,NA,NA,NA,NA
"62","08EVA3813","08EVA3813_17",62,2,1,4,2,12,15,25,24,10,6,4,2,3,NA,NA,NA,2,NA
"63","08ISS3877","08ISS3877_17",63,NA,1,1,3,2,7,9,22,16,17,16,10,NA,NA,NA,NA,NA,1
"64","08ISS3958","08ISS3958_17",64,4,1,NA,4,6,3,11,15,3,4,6,8,16,17,3,NA,NA,NA
"65","08ISS3962","08ISS3962_17",65,9,NA,2,4,7,5,15,17,13,23,20,6,1,NA,NA,NA,NA,NA
"66","08ISS4294","08ISS4294_17",66,8,NA,1,2,3,2,5,12,14,24,20,21,21,1,1,4,NA,NA
"67","08ISS4573","08ISS4573_17",67,13,NA,1,NA,2,5,3,8,11,14,27,10,5,3,NA,NA,NA,NA
"68","08ISS4724","08ISS4724_17",68,25,1,1,1,5,4,9,21,17,22,11,6,NA,NA,NA,NA,NA,NA
"69","08ISS4730","08ISS4730_17",69,2,NA,NA,1,5,3,7,8,15,13,24,19,8,6,12,1,NA,NA
"70","08ISS4748","08ISS4748_17",70,2,6,3,4,4,1,3,NA,2,6,9,11,7,10,15,9,3,1
"71","08ISS4884","08ISS4884_17",71,3,2,3,4,8,8,8,8,12,13,16,7,10,2,3,1,NA,NA
"72","08LAK2827","08LAK2827_17",72,4,5,NA,2,2,4,9,19,30,15,10,10,10,1,1,NA,NA,NA
"73","08LAK3121","08LAK3121_17",73,1,5,3,2,3,7,15,17,14,17,7,13,3,1,NA,NA,NA,NA
"74","08LAK3540","08LAK3540_17",74,5,NA,NA,1,3,8,24,19,23,20,10,1,1,NA,1,1,NA,NA
"75","08LAK3627","08LAK3627_17",75,10,2,2,9,9,11,20,18,19,14,6,NA,NA,NA,NA,NA,NA,NA
"76","08LAK3628","08LAK3628_17",76,12,1,NA,NA,8,4,13,22,21,15,13,4,2,1,NA,NA,NA,NA
"77","08LAK3699","08LAK3699_17",77,6,6,1,2,2,6,11,18,22,15,15,2,NA,NA,1,NA,NA,NA
"78","08LAK3879","08LAK3879_17",78,2,2,1,NA,1,3,13,22,12,27,9,13,3,NA,NA,NA,NA,NA
"79","08LAK3880","08LAK3880_17",79,19,NA,NA,NA,3,7,13,21,18,11,14,12,6,NA,NA,NA,NA,NA
"80","08LIT2585","08LIT2585_17",80,2,2,NA,1,3,5,6,18,18,34,23,7,NA,NA,NA,NA,NA,NA
"81","08LIT2602","08LIT2602_17",81,11,3,1,8,12,27,34,25,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","08LIT2603","08LIT2603_17",82,1,4,8,10,13,13,23,10,21,6,2,1,NA,NA,NA,NA,NA,NA
"83","08LIT2682","08LIT2682_17",83,NA,NA,1,1,11,2,7,17,28,25,15,1,1,NA,NA,NA,NA,NA
"84","08LIT2685","08LIT2685_17",84,9,1,3,4,6,14,18,18,27,9,4,4,NA,NA,NA,NA,NA,NA
"85","08LIT2692","08LIT2692_17",85,NA,NA,NA,2,7,6,13,15,21,23,12,2,NA,NA,NA,NA,NA,NA
"86","08LIT2781","08LIT2781_17",86,6,NA,NA,1,6,11,14,29,32,12,6,1,NA,NA,NA,NA,NA,NA
"87","08NOR1362","08NOR1362_17",87,8,5,6,4,3,2,4,5,22,19,27,30,32,NA,NA,NA,NA,NA
"88","08NOR1370","08NOR1370_17",88,3,NA,1,1,4,6,24,27,20,13,5,2,2,1,NA,NA,NA,NA
"89","08NOR1750","08NOR1750_17",89,7,1,4,6,9,7,9,13,13,12,18,5,3,NA,NA,NA,NA,NA
"90","08NOR1756","08NOR1756_17",90,7,1,3,6,17,23,28,25,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","08NOR2115","08NOR2115_17",91,6,NA,3,1,3,12,10,18,16,11,12,8,6,1,2,NA,NA,NA
