"","SiteName","SampleName","SampleDate","NumberOfPools","ReachLength","pools_per_ft"
"1","08WES0622","08WES0622_17",2017-07-25 08:30:00,0,131,0
"2","08BEA3571","08BEA3571_17",2017-07-24 12:15:00,0,28.5,0
"3","09COV1756","09COV1756_17",2017-07-26 11:59:59,0,74.6,0
"4","09COV1862","09COV1862_17",2017-07-26 14:00:00,1,121,0.00826446280991736
"5","09JEN1357","09JEN1357_17",2017-07-30 23:59:59,0,24,0
"6","09JEN1318","09JEN1318_17",2017-07-31 11:00:00,0,17.8,0
"7","08EAS1964","08EAS1964_17",2017-08-01 13:45:00,1,188.9,0.00529380624669137
"8","08WES0903","08WES0903_17",2017-07-25 13:29:59,2,180.5,0.0110803324099723
"9","08WES0905","08WES0905_17",2017-07-25 10:35:00,2,142,0.0140845070422535
"10","09NEW2076","09NEW2076_17",2017-08-29 11:59:59,2,81,0.0246913580246914
"11","08BEA3826","08BEA3826_17",2017-08-22 09:30:00,2,115.5,0.0173160173160173
"12","09SOO1209","09SOO1209_17",2017-08-01 11:00:00,1,134,0.00746268656716418
"13","BSE_8_268hAveSE","BSE_8_268hAveSE_17",2017-08-30 13:45:00,1,51,0.0196078431372549
"14","BSE_1_MudMtnRd","BSE_1_MudMtnRd_17",2017-08-30 11:14:59,4,87.9,0.0455062571103527
"15","09BLA0716","09BLA0716_17",2017-08-23 11:14:59,0,52.5,0
"16","09DEE2208","09DEE2208_17",2017-08-29 09:15:00,3,203,0.0147783251231527
"17","09BLA0772","09BLA0772_17",2017-08-29 09:15:00,0,57,0
"18","08CED4192","08CED4192_17",2017-08-10 09:44:59,1,116,0.00862068965517241
"19","08CED2433","08CED2433_17",2017-08-28 08:30:00,1,70.1,0.014265335235378
"20","08LAK3540","08LAK3540_17",2017-08-28 11:45:00,1,72,0.0138888888888889
"21","09BLA0817","09BLA0817_17",2017-08-28 14:30:00,1,95.5,0.0104712041884817
"22","08EAS2546","08EAS2546_17",2017-08-14 10:00:00,1,24,0.0416666666666667
"23","09BLA0756","09BLA0756_17",2017-08-23 13:45:00,3,90,0.0333333333333333
"24","09BLA0675","09BLA0675_17",2017-08-23 09:15:00,0,35,0
"25","09SOO1134","09SOO1134_17",2017-08-02 09:30:00,0,68.5,0
"26","08BEA3914","08BEA3914_17",2017-08-22 13:00:00,2,97.3,0.0205549845837616
"27","08LAK3627","08LAK3627_17",2017-08-01 11:00:00,1,88.8,0.0112612612612613
"28","08BEA3474","08BEA3474_17",2017-07-27 10:29:59,0,178,0
"29","08EAS2631","08EAS2631_17",2017-08-03 08:45:00,4,100,0.04
"30","08EAS2058","08EAS2058_17",2017-08-03 11:00:00,2,158,0.0126582278481013
"32","08CED2518","08CED2518_17",2017-08-10 14:00:00,0,160,0
"33","09MID1958","09MID1958_17",2017-08-07 13:29:59,1,59.5,0.0168067226890756
"34","09COV1864","09COV1864_17",2017-08-03 09:15:00,0,45,0
"35","09COV1165","09COV1165_17",2017-08-03 12:30:00,2,209.5,0.00954653937947494
"36","09COV1418","09COV1418_17",2017-08-17 10:15:00,0,72,0
"37","09SOO1283","09SOO1283_17",2017-08-02 09:15:00,1,180.9,0.00552791597567717
"38","07PAT231079","07PAT231079_17",2017-08-15 08:59:59,0,58,0
"39","08LAK3699","08LAK3699_17",2017-08-15 11:59:59,1,44.7,0.0223713646532438
"40","09SOO1130","09SOO1130_17",2017-08-02 00:15:00,2,249,0.00803212851405622
"41","09MID1817","09MID1817_17",2017-08-16 11:59:59,2,53,0.0377358490566038
"42","08ISS4573","08ISS4573_17",2017-08-02 08:59:59,2,75,0.0266666666666667
"43","08ISS4884","08ISS4884_17",2017-08-02 13:00:00,0,80,0
"44","08SAM2674","08SAM2674_17",2017-09-18 09:15:00,0,40,0
"45","08BEA3650","08BEA3650_17",2017-09-18 11:00:00,3,52,0.0576923076923077
"46","08BEA3737","08BEA3737_17",2017-09-18 00:44:59,4,127.5,0.0313725490196078
"47","WalkerPreserve","WalkerPreserve_17",2017-09-13 11:30:00,0,20,0
"48","08CED4975","08CED4975_17",2017-07-31 14:00:00,1,48,0.0208333333333333
"49","08CED2711","08CED2711_17",2017-09-21 10:15:00,4,117,0.0341880341880342
"50","07RAG004615","07RAG004615_17",2017-08-07 08:59:59,0,200,0
"51","08LAK3628","08LAK3628_17",2017-09-25 09:15:00,0,66.2,0
"52","07LNT075179","07LNT075179_17",2017-09-27 13:15:00,0,100,0
"53","Miller_SWSSD","Miller_SWSSD_17",2017-09-13 13:00:00,3,112.7,0.0266193433895297
"54","08SAM1914","08SAM1914_17",2017-09-14 08:45:00,3,87,0.0344827586206897
"55","07SFS009443","07SFS009443_17",2017-09-11 13:45:00,0,130,0
"57","08SAM3045","08SAM3045_17",2017-08-23 13:00:00,0,81,0
"58","07SFS041891","07SFS041891_17",2017-08-23 13:29:59,0,300,0
"59","07SFS011059","07SFS011059_17",2017-08-23 11:14:59,0,74.1,0
"60","08SAM2865","08SAM2865_17",2017-08-24 11:59:59,0,47,0
"61","07LMS093027","07LMS093027_17",2017-09-05 09:15:00,1,187,0.0053475935828877
"62","Miller_Cove","Miller_Cove_17",2017-09-13 09:15:00,2,108,0.0185185185185185
"63","09DEE2211","09DEE2211_17",2017-08-18 09:30:00,0,59.6,0
"64","07GRN022903","07GRN022903_17",2017-09-11 11:30:00,2,124.3,0.0160901045856798
"65","08LAK3880","08LAK3880_17",2017-09-28 14:00:00,0,31,0
"67","07LNT062039","07LNT062039_17",2017-09-27 10:29:59,3,236,0.0127118644067797
"68","07SFS066611","07SFS066611_17",2017-08-24 10:15:00,0,5.7,0
"69","07STL184007","07STL184007_17",2017-08-23 08:59:59,0,249,0
"70","09NEW2128","09NEW2128_17",2017-10-07 12:15:00,0,96,0
"71","07SFS011475","07SFS011475_17",2017-08-24 11:45:00,0,61.9,0
"72","08EAS2272","08EAS2272_17",2017-08-14 12:15:00,0,207,0
"73","08SAM3047","08SAM3047_17",2017-07-27 11:59:59,0,95,0
"74","08SAM2855","08SAM2855_17",2017-07-27 09:30:00,0,83,0
"75","09MID2426","09MID2426_17",2017-08-16 09:30:00,2,62.4,0.0320512820512821
"76","09NEW1657","09NEW1657_17",2017-09-07 09:30:00,2,96.5,0.0207253886010363
"77","07RAG043443","07RAG043443_17",2017-08-06 23:59:59,6,294.6,0.0203665987780041
"78","07LMS026663","07LMS026663_17",2017-08-14 10:15:00,0,342.3,0
"79","08LAK3879","08LAK3879_17",2017-08-15 13:45:00,1,92,0.0108695652173913
"80","09SOO1022","09SOO1022_17",2017-08-02 11:14:59,2,57,0.0350877192982456
"81","09NEW2102","09NEW2102_17",2017-07-26 08:59:59,3,162.5,0.0184615384615385
"82","09DEE2163","09DEE2163_17",2017-08-16 09:30:00,0,11,0
"83","08LAK2827","08LAK2827_17",2017-08-01 08:30:00,0,62,0
"84","09MIL0390","09MIL0390_17",2017-07-20 02:00:00,0,66.5,0
"86","09SOO0943","09SOO0943_17",2017-08-08 11:59:59,1,115,0.00869565217391304
"87","09BLA0771","09BLA0771_17",2017-07-26 13:00:00,3,55.3,0.054249547920434
"88","09LOW0751","09LOW0751_17",2017-08-17 01:15:00,2,68.5,0.0291970802919708
"90","09MIL0340","09MIL0340_17",2017-07-20 11:30:00,1,39,0.0256410256410256
"91","09DEE2294","09DEE2294_17",2017-08-16 12:44:59,0,136,0
"92","08ISS4730","08ISS4730_17",2017-08-09 10:00:00,1,87.6,0.0114155251141553
"103","08EAS2540","08EAS2540_17",2017-07-20 09:15:00,3,63.9,0.0469483568075117
"119","08NOR2115","08NOR2115_17",2017-08-21 08:14:59,1,107,0.00934579439252336
"120","07RAG002867","07RAG002867_17",2017-08-06 23:59:59,1,89,0.0112359550561798
"121","07GRN077319","07GRN077319_17",2017-09-08 13:15:00,0,264,0
"122","07HAR070087","07HAR070087_17",2017-08-08 10:29:59,0,45.8,0
"123","07PAT001415","07PAT001415_17",2017-08-07 13:45:00,0,57,0
"124","07TKL072439","07TKL072439_17",2017-08-09 09:15:00,0,53.5,0
"125","08BEA3321","08BEA3321_17",2017-08-21 13:29:59,1,37,0.027027027027027
"126","07STL080295","07STL080295_17",2017-08-10 14:00:00,0,98,0
"127","08CED5046","08CED5046_17",2017-07-31 09:15:00,0,80.5,0
"128","08CED5032","08CED5032_17",2017-07-31 11:45:00,1,80.5,0.0124223602484472
"129","07LMS213875","07LMS213875_17",2017-09-12 11:45:00,1,40,0.025
"131","07LMS103591","07LMS103591_17",2017-09-12 10:00:00,2,78.3,0.0255427841634738
"134","07RAG022147","07RAG022147_17",2017-08-22 08:59:59,5,88.9,0.0562429696287964
