"","taxon","slope","inter","pval","trend","samples","sum.taxon"
"as.numeric(year)","Uenoidae..s.l.",40.9723183965834,-82292.9205210074,0.998643212465832,"none",13,13
"as.numeric(year)235","Kogotus.Rickera.Cultus",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)234","Clinocerinae",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)233","Zapada.Oregonensis.Group",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)232","Zapada.frigida",0.176742166638064,-354.64450770505,0.0977041044866913,"none",13,13
"as.numeric(year)231","Zapada.columbiana",0.0456889338628245,-90.5803965009551,0.649967227566075,"none",15,15
"as.numeric(year)230","Zapada.cinctipes",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)229","Zapada",0.34480678875516,-693.552487250697,0.0207150358923223,"positive",10,10
"as.numeric(year)228","Zaitzevia",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)227","Yoraperla",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)226","Wormaldia",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)225","Visoka.cataractae",0.773445174318324,-1548.45815745922,0.292112450246661,"none",18,18
"as.numeric(year)224","Unionidae",0.111784593016596,-226.332704061401,0.31397332210038,"none",4,4
"as.numeric(year)223","Ulomorpha",0.392909804541196,-791.149333325398,0.0209486489380445,"positive",8,8
"as.numeric(year)222","Tricorythodes",0.174067007132594,-351.450888458123,0.130815549957441,"none",5,5
"as.numeric(year)221","Trepaxonemata",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)220","Tipulidae.s.l.",0.227550039173728,-456.764510699769,0.0569791950615858,"none",13,13
"as.numeric(year)219","Tipula",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)218","Timpanoga.hecuba",-0.112600771567442,229.603784255731,0.585000011418569,"none",18,18
"as.numeric(year)217","Thaumaleidae",0.173344201206185,-346.253188301923,0.280224148987053,"none",17,17
"as.numeric(year)216","Taeniopterygidae",0.0290219366286012,-60.0722132919137,0.796837196000282,"none",3,3
"as.numeric(year)215","Tabanidae",0.0757223192358132,-152.678553620394,0.378975424727067,"none",8,8
"as.numeric(year)214","Sweltsa",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)213","Stygobromus",0.333492704723787,-674.20177762308,0.18310546686526,"none",2,2
"as.numeric(year)212","Stratiomyidae",0.0302684044262754,-61.9333788812408,0.745492025995854,"none",5,5
"as.numeric(year)211","Staphylinidae",-0.126446411058616,252.061343968897,0.388852106059256,"none",2,2
"as.numeric(year)210","Sphaeriidae",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)209","Soyedina",0.773445174318324,-1548.45815745922,0.292112450246661,"none",18,18
"as.numeric(year)208","Skwala",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)207","Simuliidae",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)206","Sialis",0.326577640868619,-652.886954793238,0.304655339649097,"none",18,18
"as.numeric(year)205","Serratella.levis_micheneri",0.293995732084305,-589.908322775011,0.0477743115471142,"positive",14,14
"as.numeric(year)204","Scirtidae",0.0290219366285974,-60.0722132919061,0.796837196000315,"none",3,3
"as.numeric(year)203","Sciomyzidae",0.0678882864608395,-137.384312052318,0.455773178336075,"none",6,6
"as.numeric(year)202","Rhyacophila",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)201","Rhithrogena",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
