"","taxon","rkt.pval","rkt.Sen","rkt.tau","RKTtrend","samples","sum.taxon"
"1","Uenoidae..s.l.","0.00212043480746127","0","0.013135593220339","positive","42","58.3797563205478"
"2","Kogotus.Rickera.Cultus","4.08503851598851e-05","0","0.055225988700565","positive","660","1456.72143885664"
"3","Clinocerinae","0.00173515111063649","0","0.028319209039548","positive","233","389.844750693648"
"4","Zapada.Oregonensis.Group","0.908190793788752","0","0.00148305084745763","none","566","1942.71620549536"
"5","Zapada.frigida","0.713904138207473","0","0.00112994350282486","none","26","33.1544170175919"
"6","Zapada.columbiana","0.48558000457091","0","-0.00240112994350283","none","28","137.754918147164"
"7","Zapada.cinctipes","0.0471409411322281","0","-0.0337570621468927","negative","1622","38391.4093647566"
"8","Zapada","0.0815059551344266","0","0.00572033898305085","none","22","235.055851551306"
"9","Zaitzevia","0","0","0.0995762711864407","positive","527","4333.1261835457"
"10","Yoraperla","0.0543789067658034","0","0.0115112994350282","none","146","1359.16035907389"
"11","Wormaldia","0.00165952140432957","0","0.0364406779661017","positive","493","3345.80067086246"
"12","Visoka.cataractae","0.178481335497872","0","-0.00416666666666667","none","39","81.8529033264166"
"13","Unionidae","0.175774331066865","0","0.00218926553672316","none","7","7.98863636363636"
"14","Ulomorpha","0.000248171854240198","0","0.00903954802259887","positive","14","6.71571129249148"
"15","Tricorythodes","0.02790012666955","0","0.00353107344632768","positive","6","21.4166666666667"
"16","Trichoptera","1","0","0","none","0","0"
"17","Trepaxonemata","0.903977491315764","0","0.0018361581920904","none","906","7935.36633119547"
"18","Tipulidae.s.l.","0.576065039192398","0","0.00211864406779661","none","37","28.2050907425907"
"19","Tipula","0.112201358333914","0","0.0169491525423729","none","398","391.268045481181"
"20","Timpanoga.hecuba","0.0812575709002263","0","-0.0105932203389831","none","89","110.664381222299"
"21","Thaumaleidae","0.116503407197669","0","0.00861581920903955","none","89","104.170583485972"
"22","Taeniopterygidae","0.798013829179648","0","-0.000494350282485876","none","6","14.6619047619048"
"23","Tabanidae","0.0423263397885942","0","0.00459039548022599","positive","12","6.0676705540836"
"24","Syrphidae","1","0","0","none","0","0"
"25","Sweltsa","6.28641583233502e-11","0","-0.106073446327684","negative","1454","21400.0972921745"
"26","Stygobromus","0.264961510249061","0","0.000988700564971751","none","2","0.6875"
"27","Stratiomyidae","0.764652450137343","0","0.000494350282485876","none","6","2.8318079190924"
"28","Staphylinidae","0.205778259198424","0","-0.00162429378531073","none","3","1.73333333333333"
"29","Sphaeriidae","1.38390632287155e-10","0","-0.0945621468926554","negative","949","6016.26899367043"
"30","Soyedina","0.703738102643066","0","-0.00233050847457627","none","108","171.845392289891"
"31","Skwala","9.97436577776512e-10","0","-0.0872881355932203","negative","966","5300.41405297202"
"32","Simuliidae","6.20430933435667e-05","-0.108745974235105","-0.0689971751412429","negative","1747","96664.6356957631"
"33","Sialis","0.324408585213329","0","0.00515536723163842","none","67","71.570249593766"
"34","Serratella.levis_micheneri","0.012943779009412","0","0.00649717514124294","positive","23","229.684521363309"
"35","Scirtidae","0.608302725315519","0","0.000635593220338983","none","3","4.33823529411765"
"36","Sciomyzidae","1","0","-7.06214689265537e-05","none","6","3.08925153793575"
"37","Rhyacophila","0.0141093442576046","0","-0.040819209039548","negative","1572","12341.5364088253"
"38","Rhithrogena","0.0441866582346775","0","-0.0247175141242938","negative","664","16696.1533964772"
"39","Rhabdomastix","0.896007207804134","0","-0.000423728813559322","none","38","46.2169950357147"
"40","Ramellogammarus","0.127539031307677","0","0.0028954802259887","none","19","2304.85904388805"
"41","Ptychoptera","0.59854493039293","0","-0.00247175141242938","none","55","99.0944554435073"
"42","Ptilodactylidae","0.562342605179145","0","0.000353107344632768","none","1","0.1875"
"43","Pteronarcys","1.54903674332019e-08","0","0.0500706214689266","positive","288","566.069898957202"
"44","Pteronarcyidae","0.10227165922194","0","0.00346045197740113","none","10","13.4354214413038"
"45","Pteronarcella","0.379922519437028","0","0.00480225988700565","none","85","492.533426931451"
"46","Psychomyia","0.0276913530308058","0","0.00240112994350283","positive","3","2.10565476190476"
"47","Psychoglypha","0.661665315184545","0","-0.00247175141242938","none","92","94.488437762724"
"48","Psychodidae","0.231363361871743","0","0.0123587570621469","none","394","2093.11547256949"
"49","Psephenidae","1","0","-7.06214689265537e-05","none","4","2.40073529411765"
"50","Protoptila","0.000528956716461026","0","0.00826271186440678","positive","14","100.438918923576"
"51","Protanyderus","0.137123581799443","0","0.00148305084745763","none","2","0.519736842105263"
"52","Prostoma","0","0","0.0717514124293785","positive","113","258.309020745766"
"53","Polychaeta","0.154728923485379","0","-0.000706214689265537","none","1","2.10526315789474"
"54","Polycentropus.s.l.","0.0805119009157131","0","0.00607344632768362","none","27","15.8682567432567"
"55","Plumiperla","0.358326466748881","0","0.000706214689265537","none","1","0.9375"
"56","Pleuroceridae.s.l.","0.00109307679177428","0","0.0185734463276836","positive","148","7583.03195358479"
"57","Plecoptera","0.430873878136833","0","-0.00176553672316384","none","11","59.2455032889816"
"58","Planorbidae","1.59769666940868e-06","0","-0.0488700564971751","negative","343","1275.60781129658"
"59","Pilaria","0.104558304873771","0","-0.00353107344632768","none","13","9.925538003663"
"60","Physidae","2.81134804198668e-05","0","-0.0293079096045198","negative","142","347.783231220325"
"61","Philopotamidae","0.0123743181524276","0","0.00790960451977401","positive","22","35.7626038781699"
"62","Perlinodes.aurea","0.497517776129988","0","-0.000706214689265537","none","2","1.46942640692641"
"63","Perlidae","0.290511254700316","0","0.00621468926553672","none","78","247.852824043359"
"64","Peltodytes","0.249283663687402","0","0.00105932203389831","none","2","1.15"
"65","Pedicia","0.263825139594099","0","0.00402542372881356","none","36","21.6752869222581"
"66","Parthina","0.805487097867692","0","0.000494350282485876","none","9","6.27916319829818"
"67","Parapsyche","0.248133716765576","0","-0.0139124293785311","none","659","3396.35033954758"
"68","Paraperla","0.648973726080169","0","0.00324858757062147","none","146","322.189982339254"
"69","Paraleptophlebia_.Neoleptophlebia","0.000223493097250671","0","-0.0543785310734463","negative","935","8439.13145226169"
"70","Paraleptophlebia.Bicornuta.Group","0.0168824144172675","0","0.0100282485875706","positive","41","62.9030483405483"
"71","Palaemonidae","0.918707405428289","0","-0.000141242937853107","none","1","2.5"
"72","Pacifastacus","0.0249238733394483","0","0.0144067796610169","positive","112","115.070326855592"
"73","Oxyethira","0.735291929833799","0","0.000564971751412429","none","5","10.0891743060861"
"74","Ostracoda","0.0344685385292793","0","-0.0137005649717514","negative","131","683.867300947487"
"75","Ormosia","0.511112655272467","0","-0.00155367231638418","none","18","27.5117305007667"
"76","Oreogeton","0.0113876243022417","0","0.00840395480225989","positive","35","25.5990894618341"
"77","Optioservus","0.158628071621667","0","-0.021045197740113","none","1050","28182.2532491178"
"78","Onocosmoecus","0.558028379759283","0","0.00261299435028249","none","49","42.791769535448"
"79","Oligophlebodes","0.706933301192971","0","-0.00148305084745763","none","64","3786.13876170343"
"80","Oligochaeta","0","-1.11607142857143","-0.322810734463277","negative","1846","57099.0092914462"
"81","Ochthebius","0.80246135962087","0","0.000353107344632768","none","3","4.1875"
"82","Neothremma","0.0383970232893982","0","-0.00536723163841808","negative","27","142.487690249766"
"83","Neophylax","0.979021341587076","0","0.000353107344632768","none","332","528.21130517378"
"84","Nemouridae","0.0442659149230131","0","0.00741525423728814","positive","31","76.6592894265987"
"85","Nematomorpha","0.759462865379934","0","-0.000282485875706215","none","1","1.66666666666667"
"86","Nemata","0.0055690669769366","0","-0.0463983050847458","negative","1293","4932.79636606151"
"87","Neaviperla_.Suwallia","0.871462341228324","0","0.00141242937853107","none","243","1732.51933192757"
"88","Narpus","0.703503944760589","0","0.00586158192090395","none","1100","4117.40380447391"
"89","Mystacides","0.210497700055337","0","0.00105932203389831","none","2","2.96875"
"90","Muscidae","0.02229145521389","0","-0.00367231638418079","negative","6","5.69589371980677"
"91","Molophilus","0.288345390908818","0","0.00331920903954802","none","29","17.3164447753706"
"92","Micrasema","0.984647547286627","0","-0.000282485875706215","none","414","2017.58596844332"
"93","Meringodixa","0.272167795475754","0","0.00508474576271186","none","57","78.1139992884482"
"94","Megarcys","0.763283246136093","0","-0.000847457627118644","none","16","44.8976864582598"
"95","Matriella.teresa","0.0158825383102776","0","0.00430790960451977","positive","7","6.109375"
"96","Maruina","0.00147058122998689","0","0.017090395480226","positive","79","80.4474580892017"
"97","Margaritifera.falcata","0.00747521971440546","0","-0.00812146892655367","negative","24","38.4235313297813"
"98","Malenka","6.41382502664101e-11","0","0.0991525423728814","positive","1017","12502.188925716"
"99","Lymnaeidae","0.0197086932154624","0","-0.0108050847457627","negative","61","102.711846410173"
"100","Lipsothrix","0.268381627292761","0","0.000564971751412429","none","1","1.07142857142857"
