"TNAME"	"SUBKINGDOM"	"INFRAKINGDOM"	"SUPERPHYLUM"	"PHYLUM"	"SUBPHYLUM"	"INFRAPHYLUM"	"SUPERCLASS"	"CLASS"	"SUBCLASS"	"INFRACLASS"	"SUPERORDER"	"ORDER"	"SUBORDER"	"INFRAORDER"	"SUPERFAMILY"	"FAMILY"	"SUBFAMILY"	"TRIBE"	"SUBTRIBE"	"GENUS"	"SPECIES"	"NUMOCC"	"otufin"	"otufin2"
"ACARI"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2344	"ARACHNIDA"	"ARACHNIDA"
"CLADOCERA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"BRANCHIOPODA"	"PHYLLOPODA"	NA	NA	"DIPLOSTRACA"	"CLADOCERA"	NA	NA	NA	NA	NA	NA	NA	NA	13	"CRUSTACEA"	NA
"PACIFASTACUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"EUCARIDA"	"DECAPODA"	"PLEOCYEMATA"	"ASTACIDEA"	"ASTACOIDEA"	"ASTACIDAE"	NA	NA	NA	"PACIFASTACUS"	NA	137	"DECAPODA"	"DECAPODA"
"PALAEMONIDAE"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"EUCARIDA"	"DECAPODA"	"PLEOCYEMATA"	"CARIDEA"	"PALAEMONOIDEA"	"PALAEMONIDAE"	NA	NA	NA	NA	NA	1	"DECAPODA"	"DECAPODA"
"DECAPODA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"EUCARIDA"	"DECAPODA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	"DECAPODA"	"DECAPODA"
"RAMELLOGAMMARUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"PERACARIDA"	"AMPHIPODA"	"GAMMARIDEA"	NA	NA	"ANISOGAMMARIDAE"	NA	NA	NA	"RAMELLOGAMMARUS"	NA	23	"GAMMARIDEA"	"GAMMARIDEA"
"AMERICOROPHIUM"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"PERACARIDA"	"AMPHIPODA"	"GAMMARIDEA"	NA	NA	"COROPHIIDAE"	NA	NA	NA	"AMERICOROPHIUM"	NA	1	"GAMMARIDEA"	"GAMMARIDEA"
"CRANGONYX"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"PERACARIDA"	"AMPHIPODA"	"GAMMARIDEA"	NA	NA	"CRANGONYCTIDAE"	NA	NA	NA	"CRANGONYX"	NA	1201	"GAMMARIDEA"	"GAMMARIDEA"
"STYGOBROMUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"PERACARIDA"	"AMPHIPODA"	"GAMMARIDEA"	NA	NA	"CRANGONYCTIDAE"	NA	NA	NA	"STYGOBROMUS"	NA	4	"GAMMARIDEA"	"GAMMARIDEA"
"CRANGONYCTIDAE"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"PERACARIDA"	"AMPHIPODA"	"GAMMARIDEA"	NA	NA	"CRANGONYCTIDAE"	NA	NA	NA	NA	NA	3	"GAMMARIDEA"	"GAMMARIDEA"
"GAMMARUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"PERACARIDA"	"AMPHIPODA"	"GAMMARIDEA"	NA	NA	"GAMMARIDAE"	NA	NA	NA	"GAMMARUS"	NA	17	"GAMMARIDEA"	"GAMMARIDEA"
"HYALELLA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"PERACARIDA"	"AMPHIPODA"	"GAMMARIDEA"	NA	NA	"HYALELLIDAE"	NA	NA	NA	"HYALELLA"	NA	11	"HYALELLA"	"GAMMARIDEA"
