"SUBKINGDOM"	"INFRAKINGDOM"	"SUPERPHYLUM"	"PHYLUM"	"SUBPHYLUM"	"INFRAPHYLUM"	"SUPERCLASS"	"CLASS"	"SUBCLASS"	"INFRACLASS"	"SUPERORDER"	"ORDER"	"SUBORDER"	"INFRAORDER"	"SUPERFAMILY"	"FAMILY"	"SUBFAMILY"	"TRIBE"	"SUBTRIBE"	"GENUS"	"SPECIES"	"TAXON"	"taxaname.orig"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ACARI"	"Acari"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"BRANCHIOPODA"	"PHYLLOPODA"	NA	NA	"DIPLOSTRACA"	"CLADOCERA"	NA	NA	NA	NA	NA	NA	NA	NA	"CLADOCERA"	"Cladocera"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"EUCARIDA"	"DECAPODA"	"PLEOCYEMATA"	"ASTACIDEA"	"ASTACOIDEA"	"ASTACIDAE"	NA	NA	NA	"PACIFASTACUS"	NA	"PACIFASTACUS"	"Pacifastacus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"EUCARIDA"	"DECAPODA"	"PLEOCYEMATA"	"CARIDEA"	"PALAEMONOIDEA"	"PALAEMONIDAE"	NA	NA	NA	NA	NA	"PALAEMONIDAE"	"Palaemonidae"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"EUCARIDA"	"DECAPODA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"DECAPODA"	"Decapoda"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"PERACARIDA"	"AMPHIPODA"	"GAMMARIDEA"	NA	NA	"ANISOGAMMARIDAE"	NA	NA	NA	"RAMELLOGAMMARUS"	NA	"RAMELLOGAMMARUS"	"Ramellogammarus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"PERACARIDA"	"AMPHIPODA"	"GAMMARIDEA"	NA	NA	"COROPHIIDAE"	NA	NA	NA	"AMERICOROPHIUM"	NA	"AMERICOROPHIUM"	"Americorophium"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"PERACARIDA"	"AMPHIPODA"	"GAMMARIDEA"	NA	NA	"CRANGONYCTIDAE"	NA	NA	NA	"CRANGONYX"	NA	"CRANGONYX"	"Crangonyx"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"PERACARIDA"	"AMPHIPODA"	"GAMMARIDEA"	NA	NA	"CRANGONYCTIDAE"	NA	NA	NA	"STYGOBROMUS"	NA	"STYGOBROMUS"	"Stygobromus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"PERACARIDA"	"AMPHIPODA"	"GAMMARIDEA"	NA	NA	"CRANGONYCTIDAE"	NA	NA	NA	NA	NA	"CRANGONYCTIDAE"	"Crangonyctidae"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"PERACARIDA"	"AMPHIPODA"	"GAMMARIDEA"	NA	NA	"GAMMARIDAE"	NA	NA	NA	"GAMMARUS"	NA	"GAMMARUS"	"Gammarus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"PERACARIDA"	"AMPHIPODA"	"GAMMARIDEA"	NA	NA	"HYALELLIDAE"	NA	NA	NA	"HYALELLA"	NA	"HYALELLA"	"Hyalella"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"PERACARIDA"	"AMPHIPODA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AMPHIPODA"	"Amphipoda"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"PERACARIDA"	"ISOPODA"	"ASELLOTA"	NA	"ASELLOIDEA"	"ASELLIDAE"	NA	NA	NA	"CAECIDOTEA"	NA	"CAECIDOTEA"	"Caecidotea"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"PERACARIDA"	"ISOPODA"	"FLABELLIFERA"	NA	NA	"SPHAEROMATIDAE"	NA	NA	NA	"GNORIMOSPHAEROMA"	NA	"GNORIMOSPHAEROMA"	"Gnorimosphaeroma"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"PERACARIDA"	"ISOPODA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ISOPODA"	"Isopoda"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MAXILLOPODA"	"COPEPODA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"COPEPODA"	"Copepoda"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"OSTRACODA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"OSTRACODA"	"Ostracoda"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"ADEPHAGA"	NA	NA	"DYTISCIDAE"	NA	NA	NA	NA	NA	"DYTISCIDAE"	"Dytiscidae"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"ADEPHAGA"	NA	NA	"GYRINIDAE"	NA	NA	NA	NA	NA	"GYRINIDAE"	"Gyrinidae"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"ADEPHAGA"	NA	NA	"HALIPLIDAE"	NA	NA	NA	"BRYCHIUS"	NA	"BRYCHIUS"	"Brychius"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"ADEPHAGA"	NA	NA	"HALIPLIDAE"	NA	NA	NA	"HALIPLUS"	NA	"HALIPLUS"	"Haliplus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"ADEPHAGA"	NA	NA	"HALIPLIDAE"	NA	NA	NA	"PELTODYTES"	NA	"PELTODYTES"	"Peltodytes"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"ADEPHAGA"	NA	NA	"HALIPLIDAE"	NA	NA	NA	NA	NA	"HALIPLIDAE"	"Haliplidae"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"AMPUMIXIS"	"AMPUMIXIS.DISPAR"	"AMPUMIXIS.DISPAR"	"Ampumixis dispar"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"CLEPTELMIS"	"CLEPTELMIS.ADDENDA"	"CLEPTELMIS.ADDENDA"	"Cleptelmis addenda"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"HETERLIMNIUS"	"HETERLIMNIUS.CORPULENTUS"	"HETERLIMNIUS.CORPULENTUS"	"Heterlimnius corpulentus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"LARA"	NA	"LARA"	"Lara"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"NARPUS"	NA	"NARPUS"	"Narpus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"OPTIOSERVUS"	NA	"OPTIOSERVUS"	"Optioservus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"ZAITZEVIA"	NA	"ZAITZEVIA"	"Zaitzevia"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	NA	NA	"ELMIDAE"	"Elmidae"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"LIMNICHIDAE"	NA	NA	NA	NA	NA	"LIMNICHIDAE"	"Limnichidae"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"PSEPHENIDAE"	NA	NA	NA	NA	NA	"PSEPHENIDAE"	"Psephenidae"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"PTILODACTYLIDAE"	NA	NA	NA	NA	NA	"PTILODACTYLIDAE"	"Ptilodactylidae"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"SCIRTOIDEA"	"SCIRTIDAE"	NA	NA	NA	NA	NA	"SCIRTIDAE"	"Scirtidae"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"HYDROPHILOIDEA"	"HYDROCHIDAE"	NA	NA	NA	"HYDROCHUS"	NA	"HYDROCHUS"	"Hydrochus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"HYDROPHILOIDEA"	"HYDROPHILIDAE"	"HYDROPHILINAE"	"ANACAENINI"	NA	"ANACAENA"	NA	"ANACAENA"	"Anacaena"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"HYDROPHILOIDEA"	"HYDROPHILIDAE"	"HYDROPHILINAE"	"LACCOBIINI"	NA	"LACCOBIUS"	NA	"LACCOBIUS"	"Laccobius"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"HYDROPHILOIDEA"	"HYDROPHILIDAE"	"HYDROPHILINAE"	"SPERCHOPSINI"	NA	"AMETOR"	NA	"AMETOR"	"Ametor"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"HYDROPHILOIDEA"	"HYDROPHILIDAE"	NA	NA	NA	NA	NA	"HYDROPHILIDAE"	"Hydrophilidae"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"STAPHYLINOIDEA"	"HYDRAENIDAE"	"HYDRAENINAE"	"HYDRAENINI"	NA	"HYDRAENA"	NA	"HYDRAENA"	"Hydraena"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"STAPHYLINOIDEA"	"HYDRAENIDAE"	"OCHTHEBIINAE"	"OCHTHEBIINI"	"OCHTHEBIINA"	"OCHTHEBIUS"	NA	"OCHTHEBIUS"	"Ochthebius"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"STAPHYLINOIDEA"	"HYDRAENIDAE"	NA	NA	NA	NA	NA	"HYDRAENIDAE"	"Hydraenidae"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"STAPHYLINOIDEA"	"STAPHYLINIDAE"	NA	NA	NA	NA	NA	"STAPHYLINIDAE"	"Staphylinidae"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"DIPTERA"	"BRACHYCERA"	"MUSCOMORPHA"	NA	"DOLICHOPODIDAE"	NA	NA	NA	NA	NA	"DOLICHOPODIDAE"	"Dolichopodidae"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"DIPTERA"	"BRACHYCERA"	"MUSCOMORPHA"	NA	"EMPIDIDAE"	"CLINOCERINAE"	NA	NA	"CLINOCERA"	NA	"CLINOCERA"	"Clinocera"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"DIPTERA"	"BRACHYCERA"	"MUSCOMORPHA"	NA	"EMPIDIDAE"	"CLINOCERINAE"	NA	NA	"ROEDERIODES"	NA	"ROEDERIODES"	"Roederiodes"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"DIPTERA"	"BRACHYCERA"	"MUSCOMORPHA"	NA	"EMPIDIDAE"	"CLINOCERINAE"	NA	NA	"TRICHOCLINOCERA"	NA	"TRICHOCLINOCERA"	"Trichoclinocera"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"DIPTERA"	"BRACHYCERA"	"MUSCOMORPHA"	NA	"EMPIDIDAE"	"CLINOCERINAE"	NA	NA	"WIEDEMANNIA"	NA	"WIEDEMANNIA"	"Wiedemannia"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"DIPTERA"	"BRACHYCERA"	"MUSCOMORPHA"	NA	"EMPIDIDAE"	"HEMERODROMIINAE"	"HEMERODROMIINI"	NA	"HEMERODROMIA"	NA	"HEMERODROMIA"	"Hemerodromia"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"DIPTERA"	"BRACHYCERA"	"MUSCOMORPHA"	NA	"EMPIDIDAE"	"HEMERODROMIINAE"	"HEMERODROMIINI"	NA	"NEOPLASTA"	NA	"NEOPLASTA"	"Neoplasta"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"DIPTERA"	"BRACHYCERA"	"MUSCOMORPHA"	NA	"EMPIDIDAE"	"HEMERODROMIINAE"	"HEMERODROMIINI"	NA	NA	NA	"HEMERODROMIINI"	"Chelifera/Metachela"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"DIPTERA"	"BRACHYCERA"	"MUSCOMORPHA"	NA	"EMPIDIDAE"	"HEMERODROMIINAE"	NA	NA	NA	NA	"HEMERODROMIINAE"	"Hemerodromiinae"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"DIPTERA"	"BRACHYCERA"	"MUSCOMORPHA"	NA	"EMPIDIDAE"	"OREOGETONINAE"	NA	NA	"OREOGETON"	NA	"OREOGETON"	"Oreogeton"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"DIPTERA"	"BRACHYCERA"	"MUSCOMORPHA"	NA	"EMPIDIDAE"	NA	NA	NA	NA	NA	"EMPIDIDAE"	"Empididae"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"DIPTERA"	"BRACHYCERA"	"MUSCOMORPHA"	NA	"EMPIDIDAE"	NA	NA	NA	NA	NA	"EMPIDIDAE"	"Empididae Genus A"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"DIPTERA"	"BRACHYCERA"	"MUSCOMORPHA"	NA	"EMPIDIDAE"	NA	NA	NA	NA	NA	"EMPIDIDAE"	"Empididae Genus B"
